,source,target,value
Harry_Reid,39,0,0.208478574396
Thomas_Harkin,39,1,0.340306286086
Max_Baucus,39,2,0.0208275332173
Mitch_McConnell,39,3,0.208901960735
Mark_Pryor,39,4,0.360373462945
Susan_Collins,39,5,0.188277200863
Carl_Levin,39,6,0.0746168894573
James_Inhofe,39,7,0.149105948823
Jefferson_Sessions,39,8,0.271438498473
David_Vitter,39,9,0.187871777907
John_Rockefeller,39,10,0.250162978879
Bernard_Sanders,39,11,0.193826992489
Thomas_Carper,39,12,0.193885513406
Saxby_Chambliss,39,13,0.210552925324
Richard_Burr,39,14,0.226873546412
Robert_Casey,39,15,0.382655754706
John_Boozman,39,16,0.312504760535
Patty_Murray,39,17,0.168795393436
Mary_Landrieu,39,18,0.316458636764
Jerry_Moran,39,19,0.170473212007
Claire_McCaskill,39,20,0.237430644417
Mark_Udall,39,21,0.374051824319
Kay_Hagan,39,22,0.187530346232
John_Cornyn,39,23,0.242357130458
Michael_Crapo,39,24,0.270444038424
Bob_Corker,39,25,0.315604571562
John_Barrasso,39,26,0.333856500494
Michael_Enzi,39,27,0.322802806441
Thomas_Coburn,39,28,0.11396014213
Sheldon_Whitehouse,39,29,0.274391611225
Jeanne_Shaheen,39,30,0.329634735383
Martin_Heinrich,39,31,0.224670711633
Daniel_Coats,39,32,0.328560350667
Charles_Schumer,39,33,0.384968390908
Richard_Durbin,39,34,0.239871287479
Roy_Blunt,39,35,0.209001562505
Mark_Warner,39,36,0.377069088382
James_Risch,39,37,0.316068565186
Tim_Johnson,39,38,0.322113109536
Alan_Franken,39,39,1.0
Mark_Begich,39,40,0.192151994742
Brian_Schatz,39,41,0.24156750696
Deb_Fischer,39,42,0.151345707887
Kirsten_Gillibrand,39,43,0.299460110079
Tammy_Baldwin,39,44,0.280122349441
John_Walsh,39,45,0.182726330595
Mark_Kirk,39,46,0.183564512408
Dean_Heller,39,47,0.245577767914
Jeff_Flake,39,48,0.142314969126
Thad_Cochran,39,49,0.226862554835
Mike_Johanns,39,50,0.306726855698
Robert_Portman,39,51,0.172538097483
Edward_Markey,39,52,0.223133040753
Cory_Booker,39,53,0.251920723618
Roger_Wicker,39,54,0.205204361287
Benjamin_Cardin,39,55,0.286497279791
Tom_Udall,39,56,0.176279266808
Mike_Lee,39,57,0.0302936239126
Ted_Cruz,39,58,0.164304207984
Amy_Klobuchar,39,59,0.252778835029
Pat_Roberts,39,60,0.257881867723
Patrick_Leahy,39,61,0.189420290933
Orrin_Hatch,39,62,0.196623143504
Charles_Grassley,39,63,0.154249082186
Ron_Wyden,39,64,0.149507776791
Debbie_Stabenow,39,65,0.270198222267
Dianne_Feinstein,39,66,0.211301239355
John_Isakson,39,67,0.144481392183
Barbara_Boxer,39,68,0.322300778758
Chris_Coons,39,69,0.340457096441
John_McCain,39,70,0.149711004438
Lisa_Murkowski,39,71,0.303715200424
John_Hoeven,39,72,0.286094242751
Jon_Tester,39,73,0.270450047722
Maria_Cantwell,39,74,0.19784923826
Heidi_Heitkamp,39,75,0.184943971997
Marco_Rubio,39,76,0.260459074443
Barbara_Mikulski,39,77,0.230955864991
Angus_King,39,78,0.402096262038
Mazie_Hirono,39,79,0.271685775787
John_Reed,39,80,0.328289809538
Tim_Scott,39,81,0.18421666769
Bill_Nelson,39,82,0.367272620446
Richard_Blumenthal,39,83,0.347037883808
Joe_Donnelly,39,84,0.157616006961
Elizabeth_Warren,39,85,0.336786186018
Timothy_Kaine,39,86,0.141645979819
John_Thune,39,87,0.154524866679
Sherrod_Brown,39,88,0.277819950215
Michael_Bennet,39,89,0.243022726671
Richard_Shelby,39,90,0.0460069798698
Lamar_Alexander,39,91,0.268093071084
Lindsey_Graham,39,92,0.170222932696
Jeff_Merkley,39,93,0.225857367009
Christopher_Murphy,39,94,0.205139096882
Kelly_Ayotte,39,95,0.150950329155
Joe_Manchin,39,96,0.28644666565
Patrick_Toomey,39,97,0.20967742753
Robert_MenÌ.ndez,39,98,0.229505277378
Ron_Johnson,39,99,0.0802932025721
Rand_Paul,39,100,0.0341757549251
