,source,target,value
Harry_Reid,59,0,0.107764962209
Thomas_Harkin,59,1,0.172947188765
Max_Baucus,59,2,0.0493844990684
Mitch_McConnell,59,3,0.17724576179
Mark_Pryor,59,4,0.147205773896
Susan_Collins,59,5,0.138453391115
Carl_Levin,59,6,0.0771265433839
James_Inhofe,59,7,0.0963944296468
Jefferson_Sessions,59,8,0.0891500522989
David_Vitter,59,9,0.0846827079683
John_Rockefeller,59,10,0.0745284495765
Bernard_Sanders,59,11,0.162135059436
Thomas_Carper,59,12,0.157181715634
Saxby_Chambliss,59,13,0.130613626098
Richard_Burr,59,14,0.199738413072
Robert_Casey,59,15,0.224370143113
John_Boozman,59,16,0.143871372751
Patty_Murray,59,17,0.131685789293
Mary_Landrieu,59,18,0.140737832752
Jerry_Moran,59,19,0.105259632944
Claire_McCaskill,59,20,0.15536564199
Mark_Udall,59,21,0.235295330744
Kay_Hagan,59,22,0.133763565804
John_Cornyn,59,23,0.0773061885326
Michael_Crapo,59,24,0.267315798916
Bob_Corker,59,25,0.167701968829
John_Barrasso,59,26,0.127175663438
Michael_Enzi,59,27,0.140227735335
Thomas_Coburn,59,28,0.269735620451
Sheldon_Whitehouse,59,29,0.237702271856
Jeanne_Shaheen,59,30,0.224004155444
Martin_Heinrich,59,31,0.293260607444
Daniel_Coats,59,32,0.106468391674
Charles_Schumer,59,33,0.21674881474
Richard_Durbin,59,34,0.237044704318
Roy_Blunt,59,35,0.108675961741
Mark_Warner,59,36,0.114092466276
James_Risch,59,37,0.12724100952
Tim_Johnson,59,38,0.239290617881
Alan_Franken,59,39,0.252778835029
Mark_Begich,59,40,0.181045297075
Brian_Schatz,59,41,0.204422293825
Deb_Fischer,59,42,0.149875043106
Kirsten_Gillibrand,59,43,0.176604247242
Tammy_Baldwin,59,44,0.152674321443
John_Walsh,59,45,0.204764131817
Mark_Kirk,59,46,0.139510772187
Dean_Heller,59,47,0.0986756888871
Jeff_Flake,59,48,0.0981977053196
Thad_Cochran,59,49,0.191329455735
Mike_Johanns,59,50,0.135733765205
Robert_Portman,59,51,0.10314150087
Edward_Markey,59,52,0.16976220342
Cory_Booker,59,53,0.136062850487
Roger_Wicker,59,54,0.157631466682
Benjamin_Cardin,59,55,0.158393346439
Tom_Udall,59,56,0.213871671473
Mike_Lee,59,57,0.200819359231
Ted_Cruz,59,58,0.144041410651
Amy_Klobuchar,59,59,1.0
Pat_Roberts,59,60,0.237341519759
Patrick_Leahy,59,61,0.163754306105
Orrin_Hatch,59,62,0.0706936512618
Charles_Grassley,59,63,0.205191419953
Ron_Wyden,59,64,0.224652329443
Debbie_Stabenow,59,65,0.277406289716
Dianne_Feinstein,59,66,0.184713332876
John_Isakson,59,67,0.17595459715
Barbara_Boxer,59,68,0.196922978272
Chris_Coons,59,69,0.092272191988
John_McCain,59,70,0.116360038173
Lisa_Murkowski,59,71,0.140326036423
John_Hoeven,59,72,0.199517780464
Jon_Tester,59,73,0.122650947078
Maria_Cantwell,59,74,0.289404385317
Heidi_Heitkamp,59,75,0.109028552054
Marco_Rubio,59,76,0.0934854188776
Barbara_Mikulski,59,77,0.137576495809
Angus_King,59,78,0.176971228146
Mazie_Hirono,59,79,0.181356336719
John_Reed,59,80,0.225107366806
Tim_Scott,59,81,0.155514498244
Bill_Nelson,59,82,0.125623138017
Richard_Blumenthal,59,83,0.161361192542
Joe_Donnelly,59,84,0.172765013822
Elizabeth_Warren,59,85,0.177120582773
Timothy_Kaine,59,86,0.143049138374
John_Thune,59,87,0.087042058815
Sherrod_Brown,59,88,0.183524438392
Michael_Bennet,59,89,0.188019312009
Richard_Shelby,59,90,0.0710725608798
Lamar_Alexander,59,91,0.198010289141
Lindsey_Graham,59,92,0.141638555599
Jeff_Merkley,59,93,0.174725902398
Christopher_Murphy,59,94,0.124453343126
Kelly_Ayotte,59,95,0.154222251522
Joe_Manchin,59,96,0.154806361517
Patrick_Toomey,59,97,0.106165712984
Robert_MenÌ.ndez,59,98,0.246213722275
Ron_Johnson,59,99,0.0921892982043
Rand_Paul,59,100,0.143483300515
