,source,target,value
Harry_Reid,78,0,0.330422466621
Thomas_Harkin,78,1,0.262853462827
Max_Baucus,78,2,0.0281789890191
Mitch_McConnell,78,3,0.267758801759
Mark_Pryor,78,4,0.310540407698
Susan_Collins,78,5,0.240403891921
Carl_Levin,78,6,0.185745116852
James_Inhofe,78,7,0.165007864495
Jefferson_Sessions,78,8,0.274785478719
David_Vitter,78,9,0.226444156386
John_Rockefeller,78,10,0.356371794713
Bernard_Sanders,78,11,0.119036240623
Thomas_Carper,78,12,0.20493315063
Saxby_Chambliss,78,13,0.255190278177
Richard_Burr,78,14,0.349644297188
Robert_Casey,78,15,0.278597964191
John_Boozman,78,16,0.247979313077
Patty_Murray,78,17,0.183083528622
Mary_Landrieu,78,18,0.278765297124
Jerry_Moran,78,19,0.259118009668
Claire_McCaskill,78,20,0.138376414971
Mark_Udall,78,21,0.394885011316
Kay_Hagan,78,22,0.210465028601
John_Cornyn,78,23,0.246959899776
Michael_Crapo,78,24,0.309534466757
Bob_Corker,78,25,0.313043686021
John_Barrasso,78,26,0.437492758692
Michael_Enzi,78,27,0.29553784078
Thomas_Coburn,78,28,0.170306783344
Sheldon_Whitehouse,78,29,0.241719370202
Jeanne_Shaheen,78,30,0.385662003089
Martin_Heinrich,78,31,0.256006869267
Daniel_Coats,78,32,0.320107833857
Charles_Schumer,78,33,0.298298849167
Richard_Durbin,78,34,0.304113519335
Roy_Blunt,78,35,0.277288092771
Mark_Warner,78,36,0.281378056448
James_Risch,78,37,0.294127085155
Tim_Johnson,78,38,0.329765420894
Alan_Franken,78,39,0.402096262038
Mark_Begich,78,40,0.287805327194
Brian_Schatz,78,41,0.26353256416
Deb_Fischer,78,42,0.16738725892
Kirsten_Gillibrand,78,43,0.308371326602
Tammy_Baldwin,78,44,0.264816922291
John_Walsh,78,45,0.22461147776
Mark_Kirk,78,46,0.239094891115
Dean_Heller,78,47,0.313331122853
Jeff_Flake,78,48,0.282146325361
Thad_Cochran,78,49,0.305532251237
Mike_Johanns,78,50,0.262754309632
Robert_Portman,78,51,0.214591605189
Edward_Markey,78,52,0.120196681375
Cory_Booker,78,53,0.257792203936
Roger_Wicker,78,54,0.218881843022
Benjamin_Cardin,78,55,0.345135748819
Tom_Udall,78,56,0.273244311708
Mike_Lee,78,57,0.0847230480423
Ted_Cruz,78,58,0.0905351641496
Amy_Klobuchar,78,59,0.176971228146
Pat_Roberts,78,60,0.276276895458
Patrick_Leahy,78,61,0.113398658203
Orrin_Hatch,78,62,0.223654108139
Charles_Grassley,78,63,0.248611234062
Ron_Wyden,78,64,0.185635973449
Debbie_Stabenow,78,65,0.265212409535
Dianne_Feinstein,78,66,0.223757133663
John_Isakson,78,67,0.278075120948
Barbara_Boxer,78,68,0.264801280757
Chris_Coons,78,69,0.272748550194
John_McCain,78,70,0.198323346516
Lisa_Murkowski,78,71,0.315249794732
John_Hoeven,78,72,0.239592687398
Jon_Tester,78,73,0.19651823703
Maria_Cantwell,78,74,0.223491720017
Heidi_Heitkamp,78,75,0.154198285143
Marco_Rubio,78,76,0.209143012763
Barbara_Mikulski,78,77,0.227775554387
Angus_King,78,78,1.0
Mazie_Hirono,78,79,0.363985568033
John_Reed,78,80,0.418726205239
Tim_Scott,78,81,0.295369368856
Bill_Nelson,78,82,0.318672749552
Richard_Blumenthal,78,83,0.313238921335
Joe_Donnelly,78,84,0.178692666721
Elizabeth_Warren,78,85,0.228324682347
Timothy_Kaine,78,86,0.223258783702
John_Thune,78,87,0.211283379513
Sherrod_Brown,78,88,0.241787305282
Michael_Bennet,78,89,0.294474168159
Richard_Shelby,78,90,0.0988396561672
Lamar_Alexander,78,91,0.322525338964
Lindsey_Graham,78,92,0.251735720003
Jeff_Merkley,78,93,0.221457304427
Christopher_Murphy,78,94,0.237795260902
Kelly_Ayotte,78,95,0.213188175422
Joe_Manchin,78,96,0.302711484154
Patrick_Toomey,78,97,0.242031945354
Robert_MenÌ.ndez,78,98,0.165303397762
Ron_Johnson,78,99,0.132671679143
Rand_Paul,78,100,0.0870062813384
