,source,target,value
Harry_Reid,68,0,0.0799930788613
Thomas_Harkin,68,1,0.201735342196
Max_Baucus,68,2,0.0643011642932
Mitch_McConnell,68,3,0.114251011467
Mark_Pryor,68,4,0.166318583849
Susan_Collins,68,5,0.144690694463
Carl_Levin,68,6,0.0439523846362
James_Inhofe,68,7,0.0880659716471
Jefferson_Sessions,68,8,0.169145757707
David_Vitter,68,9,0.0863375843411
John_Rockefeller,68,10,0.190361726475
Bernard_Sanders,68,11,0.148575763031
Thomas_Carper,68,12,0.119579732518
Saxby_Chambliss,68,13,0.110581990025
Richard_Burr,68,14,0.163669593198
Robert_Casey,68,15,0.270851225402
John_Boozman,68,16,0.175964263419
Patty_Murray,68,17,0.106325811421
Mary_Landrieu,68,18,0.104416750273
Jerry_Moran,68,19,0.115730064978
Claire_McCaskill,68,20,0.178928095406
Mark_Udall,68,21,0.249194268841
Kay_Hagan,68,22,0.16954676358
John_Cornyn,68,23,0.151983209412
Michael_Crapo,68,24,0.167938379181
Bob_Corker,68,25,0.250809201572
John_Barrasso,68,26,0.208371949469
Michael_Enzi,68,27,0.186914054224
Thomas_Coburn,68,28,0.184615263569
Sheldon_Whitehouse,68,29,0.302615369556
Jeanne_Shaheen,68,30,0.269415094926
Martin_Heinrich,68,31,0.301985985529
Daniel_Coats,68,32,0.205717151772
Charles_Schumer,68,33,0.243859665447
Richard_Durbin,68,34,0.207301891902
Roy_Blunt,68,35,0.148257770215
Mark_Warner,68,36,0.265508951447
James_Risch,68,37,0.177181470615
Tim_Johnson,68,38,0.196919911865
Alan_Franken,68,39,0.322300778758
Mark_Begich,68,40,0.190096517989
Brian_Schatz,68,41,0.234404798638
Deb_Fischer,68,42,0.0982752146433
Kirsten_Gillibrand,68,43,0.304217997477
Tammy_Baldwin,68,44,0.149512369808
John_Walsh,68,45,0.140670138788
Mark_Kirk,68,46,0.128358736082
Dean_Heller,68,47,0.160182549283
Jeff_Flake,68,48,0.0278145817199
Thad_Cochran,68,49,0.140447856907
Mike_Johanns,68,50,0.157111399873
Robert_Portman,68,51,0.197147305459
Edward_Markey,68,52,0.195586109764
Cory_Booker,68,53,0.219370427094
Roger_Wicker,68,54,0.131064245423
Benjamin_Cardin,68,55,0.151541394144
Tom_Udall,68,56,0.157975721553
Mike_Lee,68,57,0.0876384227858
Ted_Cruz,68,58,0.0697461205547
Amy_Klobuchar,68,59,0.196922978272
Pat_Roberts,68,60,0.139447017516
Patrick_Leahy,68,61,0.18085727209
Orrin_Hatch,68,62,0.149958229504
Charles_Grassley,68,63,0.113365423537
Ron_Wyden,68,64,0.115832933545
Debbie_Stabenow,68,65,0.29342288863
Dianne_Feinstein,68,66,0.208046714863
John_Isakson,68,67,0.108299017524
Barbara_Boxer,68,68,1.0
Chris_Coons,68,69,0.271616879137
John_McCain,68,70,0.102793323358
Lisa_Murkowski,68,71,0.171989426263
John_Hoeven,68,72,0.159001623317
Jon_Tester,68,73,0.209395993337
Maria_Cantwell,68,74,0.121926880285
Heidi_Heitkamp,68,75,0.136060889586
Marco_Rubio,68,76,0.170766620929
Barbara_Mikulski,68,77,0.158968801083
Angus_King,68,78,0.264801280757
Mazie_Hirono,68,79,0.23305916807
John_Reed,68,80,0.226757282662
Tim_Scott,68,81,0.0994588887922
Bill_Nelson,68,82,0.218059485802
Richard_Blumenthal,68,83,0.353861192553
Joe_Donnelly,68,84,0.214087463527
Elizabeth_Warren,68,85,0.2804029471
Timothy_Kaine,68,86,0.114019206035
John_Thune,68,87,0.10764480188
Sherrod_Brown,68,88,0.339641093151
Michael_Bennet,68,89,0.245458007605
Richard_Shelby,68,90,0.0479428203204
Lamar_Alexander,68,91,0.156767482952
Lindsey_Graham,68,92,0.029610011787
Jeff_Merkley,68,93,0.215750231641
Christopher_Murphy,68,94,0.200549233679
Kelly_Ayotte,68,95,0.259265964854
Joe_Manchin,68,96,0.164413375489
Patrick_Toomey,68,97,0.214559690694
Robert_MenÌ.ndez,68,98,0.30595725585
Ron_Johnson,68,99,0.081146283078
Rand_Paul,68,100,0.0863719749276
