,source,target,value
Harry_Reid,77,0,0.093533279443
Thomas_Harkin,77,1,0.241048952437
Max_Baucus,77,2,0.0863276687066
Mitch_McConnell,77,3,0.0275866733593
Mark_Pryor,77,4,0.0770757189861
Susan_Collins,77,5,0.141555348215
Carl_Levin,77,6,0.136451502387
James_Inhofe,77,7,0.0682858633404
Jefferson_Sessions,77,8,0.123772862124
David_Vitter,77,9,0.0775888081899
John_Rockefeller,77,10,0.117813157233
Bernard_Sanders,77,11,0.160513360548
Thomas_Carper,77,12,0.114146414492
Saxby_Chambliss,77,13,0.260173131567
Richard_Burr,77,14,0.0802754876052
Robert_Casey,77,15,0.222623629646
John_Boozman,77,16,0.0891844395024
Patty_Murray,77,17,0.157024606045
Mary_Landrieu,77,18,0.259793009398
Jerry_Moran,77,19,0.109667872102
Claire_McCaskill,77,20,0.170340369067
Mark_Udall,77,21,0.106004521104
Kay_Hagan,77,22,0.112142640788
John_Cornyn,77,23,0.139027358689
Michael_Crapo,77,24,0.183003394186
Bob_Corker,77,25,0.138655707644
John_Barrasso,77,26,0.20099284435
Michael_Enzi,77,27,0.160890596348
Thomas_Coburn,77,28,0.106964276334
Sheldon_Whitehouse,77,29,0.224121401134
Jeanne_Shaheen,77,30,0.181960485967
Martin_Heinrich,77,31,0.246047154034
Daniel_Coats,77,32,0.134958488642
Charles_Schumer,77,33,0.138853270709
Richard_Durbin,77,34,0.175619751475
Roy_Blunt,77,35,0.123645947917
Mark_Warner,77,36,0.203948145737
James_Risch,77,37,0.149349575455
Tim_Johnson,77,38,0.173769231488
Alan_Franken,77,39,0.230955864991
Mark_Begich,77,40,0.166566892171
Brian_Schatz,77,41,0.163567486752
Deb_Fischer,77,42,0.0454711488101
Kirsten_Gillibrand,77,43,0.247277710633
Tammy_Baldwin,77,44,0.237213365412
John_Walsh,77,45,0.13209686788
Mark_Kirk,77,46,0.180918620332
Dean_Heller,77,47,0.101665084044
Jeff_Flake,77,48,0.0372645995483
Thad_Cochran,77,49,0.143270551314
Mike_Johanns,77,50,0.0933481011984
Robert_Portman,77,51,0.138937161009
Edward_Markey,77,52,0.302885440126
Cory_Booker,77,53,0.271552211216
Roger_Wicker,77,54,0.125935844696
Benjamin_Cardin,77,55,0.257904685325
Tom_Udall,77,56,0.238032462826
Mike_Lee,77,57,0.0107548003715
Ted_Cruz,77,58,0.0634995735156
Amy_Klobuchar,77,59,0.137576495809
Pat_Roberts,77,60,0.137054221261
Patrick_Leahy,77,61,0.194898225278
Orrin_Hatch,77,62,0.107615156852
Charles_Grassley,77,63,0.104486428943
Ron_Wyden,77,64,0.243144031244
Debbie_Stabenow,77,65,0.178965423659
Dianne_Feinstein,77,66,0.247397325673
John_Isakson,77,67,0.172147153375
Barbara_Boxer,77,68,0.158968801083
Chris_Coons,77,69,0.167980980247
John_McCain,77,70,0.0717656995481
Lisa_Murkowski,77,71,0.152160845879
John_Hoeven,77,72,0.101402406028
Jon_Tester,77,73,0.207315313627
Maria_Cantwell,77,74,0.155683979692
Heidi_Heitkamp,77,75,0.174052008947
Marco_Rubio,77,76,0.123252756166
Barbara_Mikulski,77,77,1.0
Angus_King,77,78,0.227775554387
Mazie_Hirono,77,79,0.263698701579
John_Reed,77,80,0.227842945865
Tim_Scott,77,81,0.0758399083851
Bill_Nelson,77,82,0.153057690065
Richard_Blumenthal,77,83,0.222175211471
Joe_Donnelly,77,84,0.122219050643
Elizabeth_Warren,77,85,0.299209915079
Timothy_Kaine,77,86,0.103950787394
John_Thune,77,87,0.0994985054298
Sherrod_Brown,77,88,0.243155437048
Michael_Bennet,77,89,0.182391673308
Richard_Shelby,77,90,0.0165053814155
Lamar_Alexander,77,91,0.14386119713
Lindsey_Graham,77,92,0.0246463559593
Jeff_Merkley,77,93,0.171382570061
Christopher_Murphy,77,94,0.278035325446
Kelly_Ayotte,77,95,0.0999737108959
Joe_Manchin,77,96,0.162894558737
Patrick_Toomey,77,97,0.120234773874
Robert_MenÌ.ndez,77,98,0.119542765272
Ron_Johnson,77,99,0.118588810465
Rand_Paul,77,100,0.0266083215648
