,source,target,value
Harry_Reid,55,0,0.201274404324
Thomas_Harkin,55,1,0.25423847544
Max_Baucus,55,2,0.0121820314674
Mitch_McConnell,55,3,0.138791819369
Mark_Pryor,55,4,0.240726258934
Susan_Collins,55,5,0.315304429788
Carl_Levin,55,6,0.166500808691
James_Inhofe,55,7,0.133335350058
Jefferson_Sessions,55,8,0.277230949669
David_Vitter,55,9,0.227057830974
John_Rockefeller,55,10,0.189539807685
Bernard_Sanders,55,11,0.28414070449
Thomas_Carper,55,12,0.163992450268
Saxby_Chambliss,55,13,0.281633963066
Richard_Burr,55,14,0.29092658294
Robert_Casey,55,15,0.364955039235
John_Boozman,55,16,0.177780073016
Patty_Murray,55,17,0.341257621842
Mary_Landrieu,55,18,0.252463294734
Jerry_Moran,55,19,0.247676458027
Claire_McCaskill,55,20,0.386322238869
Mark_Udall,55,21,0.242106449538
Kay_Hagan,55,22,0.236408020632
John_Cornyn,55,23,0.226150963665
Michael_Crapo,55,24,0.261793268088
Bob_Corker,55,25,0.30302406259
John_Barrasso,55,26,0.360837272304
Michael_Enzi,55,27,0.241011436425
Thomas_Coburn,55,28,0.0898797039394
Sheldon_Whitehouse,55,29,0.285533092121
Jeanne_Shaheen,55,30,0.340380704198
Martin_Heinrich,55,31,0.204816647019
Daniel_Coats,55,32,0.298024038629
Charles_Schumer,55,33,0.231749079751
Richard_Durbin,55,34,0.375157227345
Roy_Blunt,55,35,0.316845133161
Mark_Warner,55,36,0.321838580352
James_Risch,55,37,0.283988071843
Tim_Johnson,55,38,0.29602762635
Alan_Franken,55,39,0.286497279791
Mark_Begich,55,40,0.314197786976
Brian_Schatz,55,41,0.277711886001
Deb_Fischer,55,42,0.150755713299
Kirsten_Gillibrand,55,43,0.323138791945
Tammy_Baldwin,55,44,0.277946197029
John_Walsh,55,45,0.249902735844
Mark_Kirk,55,46,0.26871307232
Dean_Heller,55,47,0.20639736488
Jeff_Flake,55,48,0.222099275247
Thad_Cochran,55,49,0.213753579753
Mike_Johanns,55,50,0.112914471101
Robert_Portman,55,51,0.170927177473
Edward_Markey,55,52,0.267979083688
Cory_Booker,55,53,0.388781920313
Roger_Wicker,55,54,0.156504720988
Benjamin_Cardin,55,55,1.0
Tom_Udall,55,56,0.180397325917
Mike_Lee,55,57,0.00786650594038
Ted_Cruz,55,58,0.141252100295
Amy_Klobuchar,55,59,0.158393346439
Pat_Roberts,55,60,0.227101491181
Patrick_Leahy,55,61,0.283055544169
Orrin_Hatch,55,62,0.166831166732
Charles_Grassley,55,63,0.086118644336
Ron_Wyden,55,64,0.329607843172
Debbie_Stabenow,55,65,0.283955959801
Dianne_Feinstein,55,66,0.206825587076
John_Isakson,55,67,0.226100420765
Barbara_Boxer,55,68,0.151541394144
Chris_Coons,55,69,0.385911066372
John_McCain,55,70,0.155923607132
Lisa_Murkowski,55,71,0.253250489326
John_Hoeven,55,72,0.183188608903
Jon_Tester,55,73,0.211124993611
Maria_Cantwell,55,74,0.255922767571
Heidi_Heitkamp,55,75,0.247385778913
Marco_Rubio,55,76,0.323494711731
Barbara_Mikulski,55,77,0.257904685325
Angus_King,55,78,0.345135748819
Mazie_Hirono,55,79,0.424332528272
John_Reed,55,80,0.394974244888
Tim_Scott,55,81,0.225523148315
Bill_Nelson,55,82,0.223717962667
Richard_Blumenthal,55,83,0.283730876883
Joe_Donnelly,55,84,0.0947477849628
Elizabeth_Warren,55,85,0.343918802176
Timothy_Kaine,55,86,0.30525438714
John_Thune,55,87,0.146452704309
Sherrod_Brown,55,88,0.260816028948
Michael_Bennet,55,89,0.359828697623
Richard_Shelby,55,90,0.0545976466005
Lamar_Alexander,55,91,0.246401245964
Lindsey_Graham,55,92,0.175053738983
Jeff_Merkley,55,93,0.311861165999
Christopher_Murphy,55,94,0.414267605517
Kelly_Ayotte,55,95,0.103869120661
Joe_Manchin,55,96,0.273315117211
Patrick_Toomey,55,97,0.19180815708
Robert_MenÌ.ndez,55,98,0.274666435189
Ron_Johnson,55,99,0.104578826377
Rand_Paul,55,100,0.0159320935954
