,source,target,value
Harry_Reid,11,0,0.116957398518
Thomas_Harkin,11,1,0.187891227557
Max_Baucus,11,2,0.0316373931245
Mitch_McConnell,11,3,0.0129847587915
Mark_Pryor,11,4,0.111207191393
Susan_Collins,11,5,0.060420332969
Carl_Levin,11,6,0.154315466396
James_Inhofe,11,7,0.0300750480427
Jefferson_Sessions,11,8,0.0215194767197
David_Vitter,11,9,0.037552349052
John_Rockefeller,11,10,0.17606345076
Bernard_Sanders,11,11,1.0
Thomas_Carper,11,12,0.123683976624
Saxby_Chambliss,11,13,0.04115337383
Richard_Burr,11,14,0.076124972205
Robert_Casey,11,15,0.231216134595
John_Boozman,11,16,0.155328598333
Patty_Murray,11,17,0.245042550926
Mary_Landrieu,11,18,0.123542848111
Jerry_Moran,11,19,0.0636444467495
Claire_McCaskill,11,20,0.18927432476
Mark_Udall,11,21,0.271035649608
Kay_Hagan,11,22,0.177209449644
John_Cornyn,11,23,0.0734180273424
Michael_Crapo,11,24,0.15597506839
Bob_Corker,11,25,0.0195983444876
John_Barrasso,11,26,0.0699155250558
Michael_Enzi,11,27,0.21659926425
Thomas_Coburn,11,28,0.113026449899
Sheldon_Whitehouse,11,29,0.211160360316
Jeanne_Shaheen,11,30,0.171186188889
Martin_Heinrich,11,31,0.214504409185
Daniel_Coats,11,32,0.0164992101813
Charles_Schumer,11,33,0.180272798333
Richard_Durbin,11,34,0.135470578424
Roy_Blunt,11,35,0.0514915133704
Mark_Warner,11,36,0.104608471691
James_Risch,11,37,0.0390080323985
Tim_Johnson,11,38,0.275487843387
Alan_Franken,11,39,0.193826992489
Mark_Begich,11,40,0.114902727132
Brian_Schatz,11,41,0.284365712969
Deb_Fischer,11,42,0.086960313064
Kirsten_Gillibrand,11,43,0.139984699518
Tammy_Baldwin,11,44,0.364709923981
John_Walsh,11,45,0.114301251554
Mark_Kirk,11,46,0.0727756713044
Dean_Heller,11,47,0.0266888996375
Jeff_Flake,11,48,0.0450100411185
Thad_Cochran,11,49,0.0801187067579
Mike_Johanns,11,50,0.0669719956826
Robert_Portman,11,51,0.075568101985
Edward_Markey,11,52,0.236050860193
Cory_Booker,11,53,0.301286294027
Roger_Wicker,11,54,0.162610169672
Benjamin_Cardin,11,55,0.28414070449
Tom_Udall,11,56,0.186291734045
Mike_Lee,11,57,0.0
Ted_Cruz,11,58,0.0656136200849
Amy_Klobuchar,11,59,0.162135059436
Pat_Roberts,11,60,0.0730799663393
Patrick_Leahy,11,61,0.375643099043
Orrin_Hatch,11,62,0.0173644956177
Charles_Grassley,11,63,0.1077582166
Ron_Wyden,11,64,0.255945471261
Debbie_Stabenow,11,65,0.230115942056
Dianne_Feinstein,11,66,0.112258183521
John_Isakson,11,67,0.125337453381
Barbara_Boxer,11,68,0.148575763031
Chris_Coons,11,69,0.270304100494
John_McCain,11,70,0.00801288164016
Lisa_Murkowski,11,71,0.0659396092374
John_Hoeven,11,72,0.0491876629527
Jon_Tester,11,73,0.125197350732
Maria_Cantwell,11,74,0.166694969567
Heidi_Heitkamp,11,75,0.181639525984
Marco_Rubio,11,76,0.0465381471548
Barbara_Mikulski,11,77,0.160513360548
Angus_King,11,78,0.119036240623
Mazie_Hirono,11,79,0.194092334927
John_Reed,11,80,0.154383433201
Tim_Scott,11,81,0.0593928338328
Bill_Nelson,11,82,0.175742555803
Richard_Blumenthal,11,83,0.128925483195
Joe_Donnelly,11,84,0.212633702314
Elizabeth_Warren,11,85,0.280207201223
Timothy_Kaine,11,86,0.272539627335
John_Thune,11,87,0.0464351796236
Sherrod_Brown,11,88,0.185232143024
Michael_Bennet,11,89,0.224200244363
Richard_Shelby,11,90,0.011902302553
Lamar_Alexander,11,91,0.0757050401488
Lindsey_Graham,11,92,0.0199026664453
Jeff_Merkley,11,93,0.196800015657
Christopher_Murphy,11,94,0.17510628368
Kelly_Ayotte,11,95,0.0797595850139
Joe_Manchin,11,96,0.182136042304
Patrick_Toomey,11,97,0.139731162843
Robert_MenÌ.ndez,11,98,0.194830285066
Ron_Johnson,11,99,0.142920033564
Rand_Paul,11,100,0.0333902554191
