,source,target,value
Harry_Reid,82,0,0.213022700169
Thomas_Harkin,82,1,0.251452188193
Max_Baucus,82,2,0.0885086725422
Mitch_McConnell,82,3,0.244629583485
Mark_Pryor,82,4,0.369208924576
Susan_Collins,82,5,0.174257583552
Carl_Levin,82,6,0.0621098572551
James_Inhofe,82,7,0.207441428141
Jefferson_Sessions,82,8,0.267998145967
David_Vitter,82,9,0.218239585961
John_Rockefeller,82,10,0.16494084936
Bernard_Sanders,82,11,0.175742555803
Thomas_Carper,82,12,0.350629721863
Saxby_Chambliss,82,13,0.208339644845
Richard_Burr,82,14,0.243858306176
Robert_Casey,82,15,0.279794104062
John_Boozman,82,16,0.289503578642
Patty_Murray,82,17,0.184189016261
Mary_Landrieu,82,18,0.318285508459
Jerry_Moran,82,19,0.142741773415
Claire_McCaskill,82,20,0.129587415958
Mark_Udall,82,21,0.254565548429
Kay_Hagan,82,22,0.284660050776
John_Cornyn,82,23,0.221865687248
Michael_Crapo,82,24,0.23682952012
Bob_Corker,82,25,0.327178891281
John_Barrasso,82,26,0.269462040782
Michael_Enzi,82,27,0.302966626314
Thomas_Coburn,82,28,0.102360266523
Sheldon_Whitehouse,82,29,0.312847298141
Jeanne_Shaheen,82,30,0.270374928696
Martin_Heinrich,82,31,0.216465166884
Daniel_Coats,82,32,0.311658638671
Charles_Schumer,82,33,0.400065795314
Richard_Durbin,82,34,0.237671833959
Roy_Blunt,82,35,0.15693978342
Mark_Warner,82,36,0.359520334047
James_Risch,82,37,0.284869638637
Tim_Johnson,82,38,0.25774557441
Alan_Franken,82,39,0.367272620446
Mark_Begich,82,40,0.154001732082
Brian_Schatz,82,41,0.236157087914
Deb_Fischer,82,42,0.151126304603
Kirsten_Gillibrand,82,43,0.221696013774
Tammy_Baldwin,82,44,0.168253111454
John_Walsh,82,45,0.261653153728
Mark_Kirk,82,46,0.236210577097
Dean_Heller,82,47,0.214825228649
Jeff_Flake,82,48,0.122641042469
Thad_Cochran,82,49,0.202790731888
Mike_Johanns,82,50,0.234070211086
Robert_Portman,82,51,0.234146031591
Edward_Markey,82,52,0.25425178362
Cory_Booker,82,53,0.241305193775
Roger_Wicker,82,54,0.185624998798
Benjamin_Cardin,82,55,0.223717962667
Tom_Udall,82,56,0.124341866758
Mike_Lee,82,57,0.121229563397
Ted_Cruz,82,58,0.053656523951
Amy_Klobuchar,82,59,0.125623138017
Pat_Roberts,82,60,0.206206869767
Patrick_Leahy,82,61,0.0506868556888
Orrin_Hatch,82,62,0.228716230878
Charles_Grassley,82,63,0.250098686273
Ron_Wyden,82,64,0.0766879399288
Debbie_Stabenow,82,65,0.278824253943
Dianne_Feinstein,82,66,0.340103286364
John_Isakson,82,67,0.159644788993
Barbara_Boxer,82,68,0.218059485802
Chris_Coons,82,69,0.282589818479
John_McCain,82,70,0.159464386086
Lisa_Murkowski,82,71,0.28724385771
John_Hoeven,82,72,0.279138133527
Jon_Tester,82,73,0.220755879439
Maria_Cantwell,82,74,0.150744167121
Heidi_Heitkamp,82,75,0.160004822362
Marco_Rubio,82,76,0.216031059692
Barbara_Mikulski,82,77,0.153057690065
Angus_King,82,78,0.318672749552
Mazie_Hirono,82,79,0.215282241453
John_Reed,82,80,0.312805671656
Tim_Scott,82,81,0.22501950331
Bill_Nelson,82,82,1.0
Richard_Blumenthal,82,83,0.195349836206
Joe_Donnelly,82,84,0.212919601578
Elizabeth_Warren,82,85,0.217161461234
Timothy_Kaine,82,86,0.270296366702
John_Thune,82,87,0.224556058196
Sherrod_Brown,82,88,0.258542051063
Michael_Bennet,82,89,0.309948588275
Richard_Shelby,82,90,0.0508226791958
Lamar_Alexander,82,91,0.275304963964
Lindsey_Graham,82,92,0.169002972809
Jeff_Merkley,82,93,0.0970693859994
Christopher_Murphy,82,94,0.281075308217
Kelly_Ayotte,82,95,0.159099198079
Joe_Manchin,82,96,0.324122381104
Patrick_Toomey,82,97,0.341434295973
Robert_MenÌ.ndez,82,98,0.285007882617
Ron_Johnson,82,99,0.0304609336257
Rand_Paul,82,100,0.0503783312103
