,source,target,value
Harry_Reid,25,0,0.273521540542
Thomas_Harkin,25,1,0.290445503926
Max_Baucus,25,2,0.0
Mitch_McConnell,25,3,0.45689954146
Mark_Pryor,25,4,0.225075508876
Susan_Collins,25,5,0.323499201785
Carl_Levin,25,6,0.0565351833305
James_Inhofe,25,7,0.327802326115
Jefferson_Sessions,25,8,0.64279738778
David_Vitter,25,9,0.289845262079
John_Rockefeller,25,10,0.154615995333
Bernard_Sanders,25,11,0.0195983444876
Thomas_Carper,25,12,0.212514746898
Saxby_Chambliss,25,13,0.402349264316
Richard_Burr,25,14,0.419085309891
Robert_Casey,25,15,0.397033221644
John_Boozman,25,16,0.287870167973
Patty_Murray,25,17,0.150910691311
Mary_Landrieu,25,18,0.199142278452
Jerry_Moran,25,19,0.242521391731
Claire_McCaskill,25,20,0.080073368684
Mark_Udall,25,21,0.269007485208
Kay_Hagan,25,22,0.201612031484
John_Cornyn,25,23,0.410061676045
Michael_Crapo,25,24,0.472255824409
Bob_Corker,25,25,1.0
John_Barrasso,25,26,0.532668523548
Michael_Enzi,25,27,0.51112731483
Thomas_Coburn,25,28,0.334081185397
Sheldon_Whitehouse,25,29,0.297068954767
Jeanne_Shaheen,25,30,0.29543311949
Martin_Heinrich,25,31,0.296811582449
Daniel_Coats,25,32,0.736083122439
Charles_Schumer,25,33,0.212569069534
Richard_Durbin,25,34,0.429508655785
Roy_Blunt,25,35,0.25404289149
Mark_Warner,25,36,0.299513964348
James_Risch,25,37,0.632066387311
Tim_Johnson,25,38,0.281405781786
Alan_Franken,25,39,0.315604571562
Mark_Begich,25,40,0.178856616563
Brian_Schatz,25,41,0.266657283853
Deb_Fischer,25,42,0.252945058274
Kirsten_Gillibrand,25,43,0.27759859835
Tammy_Baldwin,25,44,0.117432271097
John_Walsh,25,45,0.312367778021
Mark_Kirk,25,46,0.451070270792
Dean_Heller,25,47,0.289017360372
Jeff_Flake,25,48,0.282219609186
Thad_Cochran,25,49,0.444769079258
Mike_Johanns,25,50,0.172492355957
Robert_Portman,25,51,0.251154066269
Edward_Markey,25,52,0.0736860230321
Cory_Booker,25,53,0.100901360367
Roger_Wicker,25,54,0.284359513804
Benjamin_Cardin,25,55,0.30302406259
Tom_Udall,25,56,0.0741036716862
Mike_Lee,25,57,0.238741907966
Ted_Cruz,25,58,0.201652201648
Amy_Klobuchar,25,59,0.167701968829
Pat_Roberts,25,60,0.467267432942
Patrick_Leahy,25,61,0.0112478796044
Orrin_Hatch,25,62,0.35480234065
Charles_Grassley,25,63,0.22002262634
Ron_Wyden,25,64,0.0911156430141
Debbie_Stabenow,25,65,0.214179099278
Dianne_Feinstein,25,66,0.195089942606
John_Isakson,25,67,0.176673108331
Barbara_Boxer,25,68,0.250809201572
Chris_Coons,25,69,0.259316085663
John_McCain,25,70,0.363466947165
Lisa_Murkowski,25,71,0.362875346173
John_Hoeven,25,72,0.499056210764
Jon_Tester,25,73,0.233435909462
Maria_Cantwell,25,74,0.113715015287
Heidi_Heitkamp,25,75,0.21803710256
Marco_Rubio,25,76,0.342322462251
Barbara_Mikulski,25,77,0.138655707644
Angus_King,25,78,0.313043686021
Mazie_Hirono,25,79,0.354116834523
John_Reed,25,80,0.303606036788
Tim_Scott,25,81,0.371281707189
Bill_Nelson,25,82,0.327178891281
Richard_Blumenthal,25,83,0.256761699703
Joe_Donnelly,25,84,0.0137290087894
Elizabeth_Warren,25,85,0.196480808565
Timothy_Kaine,25,86,0.224821363916
John_Thune,25,87,0.303869471109
Sherrod_Brown,25,88,0.174193918166
Michael_Bennet,25,89,0.308321188194
Richard_Shelby,25,90,0.131342014537
Lamar_Alexander,25,91,0.554433087845
Lindsey_Graham,25,92,0.253988074636
Jeff_Merkley,25,93,0.0597897915921
Christopher_Murphy,25,94,0.203443232195
Kelly_Ayotte,25,95,0.191777733724
Joe_Manchin,25,96,0.46068544715
Patrick_Toomey,25,97,0.403450212143
Robert_MenÌ.ndez,25,98,0.209318138476
Ron_Johnson,25,99,0.162608313282
Rand_Paul,25,100,0.283396486502
