,source,target,value
Harry_Reid,41,0,0.237628421754
Thomas_Harkin,41,1,0.192901612891
Max_Baucus,41,2,0.0418051333692
Mitch_McConnell,41,3,0.210385556373
Mark_Pryor,41,4,0.307320306108
Susan_Collins,41,5,0.181820721386
Carl_Levin,41,6,0.12798784036
James_Inhofe,41,7,0.165413098871
Jefferson_Sessions,41,8,0.201752211349
David_Vitter,41,9,0.139461742596
John_Rockefeller,41,10,0.224281307652
Bernard_Sanders,41,11,0.284365712969
Thomas_Carper,41,12,0.178794880988
Saxby_Chambliss,41,13,0.155964832919
Richard_Burr,41,14,0.217809241107
Robert_Casey,41,15,0.345096503379
John_Boozman,41,16,0.226367369865
Patty_Murray,41,17,0.208247305964
Mary_Landrieu,41,18,0.231396827209
Jerry_Moran,41,19,0.195767104079
Claire_McCaskill,41,20,0.121496812468
Mark_Udall,41,21,0.255489984172
Kay_Hagan,41,22,0.278860744832
John_Cornyn,41,23,0.15172161757
Michael_Crapo,41,24,0.26456375987
Bob_Corker,41,25,0.266657283853
John_Barrasso,41,26,0.220738212436
Michael_Enzi,41,27,0.270504424255
Thomas_Coburn,41,28,0.147838073194
Sheldon_Whitehouse,41,29,0.274637574679
Jeanne_Shaheen,41,30,0.27133353456
Martin_Heinrich,41,31,0.318980876802
Daniel_Coats,41,32,0.239876879089
Charles_Schumer,41,33,0.269521688439
Richard_Durbin,41,34,0.236931774761
Roy_Blunt,41,35,0.150360734101
Mark_Warner,41,36,0.292315132231
James_Risch,41,37,0.236865358315
Tim_Johnson,41,38,0.22001068225
Alan_Franken,41,39,0.24156750696
Mark_Begich,41,40,0.274826151627
Brian_Schatz,41,41,1.0
Deb_Fischer,41,42,0.239960917781
Kirsten_Gillibrand,41,43,0.300494009049
Tammy_Baldwin,41,44,0.268282630421
John_Walsh,41,45,0.331841373368
Mark_Kirk,41,46,0.160422685915
Dean_Heller,41,47,0.173271228931
Jeff_Flake,41,48,0.153858854999
Thad_Cochran,41,49,0.182619806451
Mike_Johanns,41,50,0.196358263245
Robert_Portman,41,51,0.165118747763
Edward_Markey,41,52,0.311185811429
Cory_Booker,41,53,0.329940188952
Roger_Wicker,41,54,0.217907779362
Benjamin_Cardin,41,55,0.277711886001
Tom_Udall,41,56,0.19866707385
Mike_Lee,41,57,0.116212707036
Ted_Cruz,41,58,0.0778042887396
Amy_Klobuchar,41,59,0.204422293825
Pat_Roberts,41,60,0.249753715166
Patrick_Leahy,41,61,0.0826298313497
Orrin_Hatch,41,62,0.150801908433
Charles_Grassley,41,63,0.125605122513
Ron_Wyden,41,64,0.255347979991
Debbie_Stabenow,41,65,0.218207239549
Dianne_Feinstein,41,66,0.227838253932
John_Isakson,41,67,0.165536153522
Barbara_Boxer,41,68,0.234404798638
Chris_Coons,41,69,0.290550451452
John_McCain,41,70,0.157347864672
Lisa_Murkowski,41,71,0.187846421332
John_Hoeven,41,72,0.237405140972
Jon_Tester,41,73,0.267903085022
Maria_Cantwell,41,74,0.293497480711
Heidi_Heitkamp,41,75,0.29545874524
Marco_Rubio,41,76,0.180541610413
Barbara_Mikulski,41,77,0.163567486752
Angus_King,41,78,0.26353256416
Mazie_Hirono,41,79,0.467330428116
John_Reed,41,80,0.309231490306
Tim_Scott,41,81,0.18811153878
Bill_Nelson,41,82,0.236157087914
Richard_Blumenthal,41,83,0.244035583469
Joe_Donnelly,41,84,0.246738648746
Elizabeth_Warren,41,85,0.28124390951
Timothy_Kaine,41,86,0.372054440959
John_Thune,41,87,0.209911310213
Sherrod_Brown,41,88,0.213685844028
Michael_Bennet,41,89,0.292081293295
Richard_Shelby,41,90,0.0326702028663
Lamar_Alexander,41,91,0.258151743322
Lindsey_Graham,41,92,0.127684633216
Jeff_Merkley,41,93,0.205146514725
Christopher_Murphy,41,94,0.277711427378
Kelly_Ayotte,41,95,0.199433422303
Joe_Manchin,41,96,0.300298813361
Patrick_Toomey,41,97,0.206083758441
Robert_MenÌ.ndez,41,98,0.22389926304
Ron_Johnson,41,99,0.0787702927981
Rand_Paul,41,100,0.106030928825
