,source,target,value
Harry_Reid,6,0,0.127564968772
Thomas_Harkin,6,1,0.130291781535
Max_Baucus,6,2,0.0414109607989
Mitch_McConnell,6,3,0.0563940302255
Mark_Pryor,6,4,0.128810179433
Susan_Collins,6,5,0.0762006611704
Carl_Levin,6,6,1.0
James_Inhofe,6,7,0.0260324301442
Jefferson_Sessions,6,8,0.0442681863348
David_Vitter,6,9,0.0536558459996
John_Rockefeller,6,10,0.25727736553
Bernard_Sanders,6,11,0.154315466396
Thomas_Carper,6,12,0.0501838172988
Saxby_Chambliss,6,13,0.0880499825774
Richard_Burr,6,14,0.0587602977084
Robert_Casey,6,15,0.225231879251
John_Boozman,6,16,0.0512605868604
Patty_Murray,6,17,0.215024656522
Mary_Landrieu,6,18,0.0812355914741
Jerry_Moran,6,19,0.028373855742
Claire_McCaskill,6,20,0.0797710142692
Mark_Udall,6,21,0.0785703669147
Kay_Hagan,6,22,0.0886169797599
John_Cornyn,6,23,0.0287566756086
Michael_Crapo,6,24,0.0843929194199
Bob_Corker,6,25,0.0565351833305
John_Barrasso,6,26,0.030744271128
Michael_Enzi,6,27,0.0401165770701
Thomas_Coburn,6,28,0.0422142880215
Sheldon_Whitehouse,6,29,0.125509335812
Jeanne_Shaheen,6,30,0.0867464635515
Martin_Heinrich,6,31,0.106928256906
Daniel_Coats,6,32,0.0512571596973
Charles_Schumer,6,33,0.240548345986
Richard_Durbin,6,34,0.178856393225
Roy_Blunt,6,35,0.0614107378562
Mark_Warner,6,36,0.112107232642
James_Risch,6,37,0.0676578936929
Tim_Johnson,6,38,0.0874769720969
Alan_Franken,6,39,0.0746168894573
Mark_Begich,6,40,0.15318103888
Brian_Schatz,6,41,0.12798784036
Deb_Fischer,6,42,0.0191748249766
Kirsten_Gillibrand,6,43,0.196111818259
Tammy_Baldwin,6,44,0.321665493433
John_Walsh,6,45,0.178556239358
Mark_Kirk,6,46,0.0820145253876
Dean_Heller,6,47,0.0365043139839
Jeff_Flake,6,48,0.0584177417179
Thad_Cochran,6,49,0.0938367968346
Mike_Johanns,6,50,0.0633940197473
Robert_Portman,6,51,0.0299828841422
Edward_Markey,6,52,0.124003645872
Cory_Booker,6,53,0.280019193109
Roger_Wicker,6,54,0.0939914640906
Benjamin_Cardin,6,55,0.166500808691
Tom_Udall,6,56,0.223835096344
Mike_Lee,6,57,0.0
Ted_Cruz,6,58,0.0634563102276
Amy_Klobuchar,6,59,0.0771265433839
Pat_Roberts,6,60,0.0784058834781
Patrick_Leahy,6,61,0.253490942689
Orrin_Hatch,6,62,0.027685003158
Charles_Grassley,6,63,0.0570009376654
Ron_Wyden,6,64,0.0648402215768
Debbie_Stabenow,6,65,0.136285768081
Dianne_Feinstein,6,66,0.125297366001
John_Isakson,6,67,0.0751933787542
Barbara_Boxer,6,68,0.0439523846362
Chris_Coons,6,69,0.133131926151
John_McCain,6,70,0.018227400193
Lisa_Murkowski,6,71,0.0527110911531
John_Hoeven,6,72,0.0165253763317
Jon_Tester,6,73,0.217167851915
Maria_Cantwell,6,74,0.0646025145062
Heidi_Heitkamp,6,75,0.0786135867714
Marco_Rubio,6,76,0.0316246583737
Barbara_Mikulski,6,77,0.136451502387
Angus_King,6,78,0.185745116852
Mazie_Hirono,6,79,0.245657673361
John_Reed,6,80,0.212368792825
Tim_Scott,6,81,0.0151105924953
Bill_Nelson,6,82,0.0621098572551
Richard_Blumenthal,6,83,0.130686612011
Joe_Donnelly,6,84,0.0937990952187
Elizabeth_Warren,6,85,0.270009772484
Timothy_Kaine,6,86,0.219126206145
John_Thune,6,87,0.0487233492413
Sherrod_Brown,6,88,0.301349199259
Michael_Bennet,6,89,0.1114157234
Richard_Shelby,6,90,0.0445449625396
Lamar_Alexander,6,91,0.066743745694
Lindsey_Graham,6,92,0.0641726462857
Jeff_Merkley,6,93,0.0828320495474
Christopher_Murphy,6,94,0.13903896801
Kelly_Ayotte,6,95,0.0552706476647
Joe_Manchin,6,96,0.0641541964552
Patrick_Toomey,6,97,0.045211053854
Robert_MenÌ.ndez,6,98,0.297386298842
Ron_Johnson,6,99,0.0433508144507
Rand_Paul,6,100,0.0210335751053
