,source,target,value
Harry_Reid,63,0,0.393449310594
Thomas_Harkin,63,1,0.0832255433242
Max_Baucus,63,2,0.0750647272986
Mitch_McConnell,63,3,0.397302068362
Mark_Pryor,63,4,0.221910079528
Susan_Collins,63,5,0.117250575821
Carl_Levin,63,6,0.0570009376654
James_Inhofe,63,7,0.237098971455
Jefferson_Sessions,63,8,0.133588984032
David_Vitter,63,9,0.273050742063
John_Rockefeller,63,10,0.123292939293
Bernard_Sanders,63,11,0.1077582166
Thomas_Carper,63,12,0.36629018863
Saxby_Chambliss,63,13,0.158937131448
Richard_Burr,63,14,0.277606365333
Robert_Casey,63,15,0.113122910982
John_Boozman,63,16,0.186589365631
Patty_Murray,63,17,0.0972903604108
Mary_Landrieu,63,18,0.103747575751
Jerry_Moran,63,19,0.0866614085332
Claire_McCaskill,63,20,0.133444285735
Mark_Udall,63,21,0.323114462571
Kay_Hagan,63,22,0.065310536209
John_Cornyn,63,23,0.200786099834
Michael_Crapo,63,24,0.23938783054
Bob_Corker,63,25,0.22002262634
John_Barrasso,63,26,0.179245472302
Michael_Enzi,63,27,0.310469073147
Thomas_Coburn,63,28,0.417078654476
Sheldon_Whitehouse,63,29,0.274426347689
Jeanne_Shaheen,63,30,0.219176264507
Martin_Heinrich,63,31,0.283267659854
Daniel_Coats,63,32,0.173333971011
Charles_Schumer,63,33,0.140247310361
Richard_Durbin,63,34,0.231039662896
Roy_Blunt,63,35,0.108771116647
Mark_Warner,63,36,0.231586244943
James_Risch,63,37,0.19903908837
Tim_Johnson,63,38,0.209232565039
Alan_Franken,63,39,0.154249082186
Mark_Begich,63,40,0.151526346951
Brian_Schatz,63,41,0.125605122513
Deb_Fischer,63,42,0.275609388458
Kirsten_Gillibrand,63,43,0.171291438207
Tammy_Baldwin,63,44,0.08565839568
John_Walsh,63,45,0.207885951678
Mark_Kirk,63,46,0.233164660582
Dean_Heller,63,47,0.180882237337
Jeff_Flake,63,48,0.140903850853
Thad_Cochran,63,49,0.280504322449
Mike_Johanns,63,50,0.144767747437
Robert_Portman,63,51,0.442434924649
Edward_Markey,63,52,0.167206581824
Cory_Booker,63,53,0.160328562005
Roger_Wicker,63,54,0.285990397783
Benjamin_Cardin,63,55,0.086118644336
Tom_Udall,63,56,0.288276196413
Mike_Lee,63,57,0.40892696354
Ted_Cruz,63,58,0.261762551367
Amy_Klobuchar,63,59,0.205191419953
Pat_Roberts,63,60,0.257259589118
Patrick_Leahy,63,61,0.103227757143
Orrin_Hatch,63,62,0.234891947858
Charles_Grassley,63,63,1.0
Ron_Wyden,63,64,0.164454556076
Debbie_Stabenow,63,65,0.246375698764
Dianne_Feinstein,63,66,0.264874700037
John_Isakson,63,67,0.275932517885
Barbara_Boxer,63,68,0.113365423537
Chris_Coons,63,69,0.146448918126
John_McCain,63,70,0.188796834043
Lisa_Murkowski,63,71,0.238738437505
John_Hoeven,63,72,0.338719751687
Jon_Tester,63,73,0.0735517469738
Maria_Cantwell,63,74,0.24554021996
Heidi_Heitkamp,63,75,0.0873708718508
Marco_Rubio,63,76,0.101972963224
Barbara_Mikulski,63,77,0.104486428943
Angus_King,63,78,0.248611234062
Mazie_Hirono,63,79,0.207742089501
John_Reed,63,80,0.124883192997
Tim_Scott,63,81,0.293840153293
Bill_Nelson,63,82,0.250098686273
Richard_Blumenthal,63,83,0.095987953603
Joe_Donnelly,63,84,0.320462097193
Elizabeth_Warren,63,85,0.118363347671
Timothy_Kaine,63,86,0.261793911334
John_Thune,63,87,0.312081833299
Sherrod_Brown,63,88,0.143843917538
Michael_Bennet,63,89,0.302641544958
Richard_Shelby,63,90,0.133454325291
Lamar_Alexander,63,91,0.372213088594
Lindsey_Graham,63,92,0.211314539989
Jeff_Merkley,63,93,0.142805626431
Christopher_Murphy,63,94,0.221069416041
Kelly_Ayotte,63,95,0.240356904605
Joe_Manchin,63,96,0.177886635692
Patrick_Toomey,63,97,0.247376640869
Robert_MenÌ.ndez,63,98,0.250671137694
Ron_Johnson,63,99,0.159339615314
Rand_Paul,63,100,0.186945579379
