,source,target,value
Harry_Reid,33,0,0.151101426037
Thomas_Harkin,33,1,0.222652088555
Max_Baucus,33,2,0.027606938766
Mitch_McConnell,33,3,0.173291379742
Mark_Pryor,33,4,0.292064231477
Susan_Collins,33,5,0.172483076219
Carl_Levin,33,6,0.240548345986
James_Inhofe,33,7,0.11195125417
Jefferson_Sessions,33,8,0.190110273111
David_Vitter,33,9,0.149237676616
John_Rockefeller,33,10,0.220084679286
Bernard_Sanders,33,11,0.180272798333
Thomas_Carper,33,12,0.183712736085
Saxby_Chambliss,33,13,0.168037945405
Richard_Burr,33,14,0.208509501885
Robert_Casey,33,15,0.426846522803
John_Boozman,33,16,0.339610929441
Patty_Murray,33,17,0.225680842465
Mary_Landrieu,33,18,0.306876783525
Jerry_Moran,33,19,0.142923339341
Claire_McCaskill,33,20,0.105309059679
Mark_Udall,33,21,0.31063875291
Kay_Hagan,33,22,0.193110004103
John_Cornyn,33,23,0.167479347688
Michael_Crapo,33,24,0.260311958127
Bob_Corker,33,25,0.212569069534
John_Barrasso,33,26,0.175511639729
Michael_Enzi,33,27,0.191539479693
Thomas_Coburn,33,28,0.00815512007585
Sheldon_Whitehouse,33,29,0.262464055366
Jeanne_Shaheen,33,30,0.270373842024
Martin_Heinrich,33,31,0.173943004939
Daniel_Coats,33,32,0.248266119216
Charles_Schumer,33,33,1.0
Richard_Durbin,33,34,0.207089287891
Roy_Blunt,33,35,0.141408711344
Mark_Warner,33,36,0.362026716424
James_Risch,33,37,0.201185583077
Tim_Johnson,33,38,0.167894793658
Alan_Franken,33,39,0.384968390908
Mark_Begich,33,40,0.219528804671
Brian_Schatz,33,41,0.269521688439
Deb_Fischer,33,42,0.0831829637553
Kirsten_Gillibrand,33,43,0.234239344775
Tammy_Baldwin,33,44,0.252619857152
John_Walsh,33,45,0.234898709237
Mark_Kirk,33,46,0.192562750706
Dean_Heller,33,47,0.226612669652
Jeff_Flake,33,48,0.122387680551
Thad_Cochran,33,49,0.174921912949
Mike_Johanns,33,50,0.263342259853
Robert_Portman,33,51,0.154916389085
Edward_Markey,33,52,0.208134674895
Cory_Booker,33,53,0.238507676452
Roger_Wicker,33,54,0.163379896016
Benjamin_Cardin,33,55,0.231749079751
Tom_Udall,33,56,0.17904278248
Mike_Lee,33,57,0.0586936579067
Ted_Cruz,33,58,0.0471899450192
Amy_Klobuchar,33,59,0.21674881474
Pat_Roberts,33,60,0.148420261273
Patrick_Leahy,33,61,0.155756428354
Orrin_Hatch,33,62,0.150869189969
Charles_Grassley,33,63,0.140247310361
Ron_Wyden,33,64,0.0963420577057
Debbie_Stabenow,33,65,0.246159239434
Dianne_Feinstein,33,66,0.274908793173
John_Isakson,33,67,0.112174761244
Barbara_Boxer,33,68,0.243859665447
Chris_Coons,33,69,0.368581905094
John_McCain,33,70,0.122205683101
Lisa_Murkowski,33,71,0.266061953827
John_Hoeven,33,72,0.207002784415
Jon_Tester,33,73,0.239230748053
Maria_Cantwell,33,74,0.106280075909
Heidi_Heitkamp,33,75,0.171872287855
Marco_Rubio,33,76,0.204551060123
Barbara_Mikulski,33,77,0.138853270709
Angus_King,33,78,0.298298849167
Mazie_Hirono,33,79,0.216193474276
John_Reed,33,80,0.343520457053
Tim_Scott,33,81,0.155728872451
Bill_Nelson,33,82,0.400065795314
Richard_Blumenthal,33,83,0.213568642949
Joe_Donnelly,33,84,0.347152259408
Elizabeth_Warren,33,85,0.269905231122
Timothy_Kaine,33,86,0.231547013759
John_Thune,33,87,0.132311383464
Sherrod_Brown,33,88,0.363724253028
Michael_Bennet,33,89,0.232337519125
Richard_Shelby,33,90,0.0382589375202
Lamar_Alexander,33,91,0.216340837617
Lindsey_Graham,33,92,0.157044449847
Jeff_Merkley,33,93,0.130691736
Christopher_Murphy,33,94,0.236368413599
Kelly_Ayotte,33,95,0.164361987202
Joe_Manchin,33,96,0.216358178641
Patrick_Toomey,33,97,0.250583030727
Robert_MenÌ.ndez,33,98,0.350045452472
Ron_Johnson,33,99,0.00360506566979
Rand_Paul,33,100,0.0181864645966
