,source,target,value
Harry_Reid,69,0,0.128539458597
Thomas_Harkin,69,1,0.244423928025
Max_Baucus,69,2,0.0313639664957
Mitch_McConnell,69,3,0.165602081206
Mark_Pryor,69,4,0.292638326756
Susan_Collins,69,5,0.299128672804
Carl_Levin,69,6,0.133131926151
James_Inhofe,69,7,0.149469673768
Jefferson_Sessions,69,8,0.253702126496
David_Vitter,69,9,0.195637954737
John_Rockefeller,69,10,0.231136252858
Bernard_Sanders,69,11,0.270304100494
Thomas_Carper,69,12,0.310192944045
Saxby_Chambliss,69,13,0.167813551195
Richard_Burr,69,14,0.208553532449
Robert_Casey,69,15,0.318745979635
John_Boozman,69,16,0.242894815976
Patty_Murray,69,17,0.234196933875
Mary_Landrieu,69,18,0.175824247678
Jerry_Moran,69,19,0.131996081648
Claire_McCaskill,69,20,0.178872767998
Mark_Udall,69,21,0.22226578104
Kay_Hagan,69,22,0.236822769406
John_Cornyn,69,23,0.16453186316
Michael_Crapo,69,24,0.209132160885
Bob_Corker,69,25,0.259316085663
John_Barrasso,69,26,0.210873140508
Michael_Enzi,69,27,0.211710706592
Thomas_Coburn,69,28,0.078918269736
Sheldon_Whitehouse,69,29,0.337490111516
Jeanne_Shaheen,69,30,0.254636442409
Martin_Heinrich,69,31,0.221074026652
Daniel_Coats,69,32,0.291666298993
Charles_Schumer,69,33,0.368581905094
Richard_Durbin,69,34,0.305229083957
Roy_Blunt,69,35,0.185773790565
Mark_Warner,69,36,0.342789463762
James_Risch,69,37,0.225776811363
Tim_Johnson,69,38,0.272224588251
Alan_Franken,69,39,0.340457096441
Mark_Begich,69,40,0.234004058295
Brian_Schatz,69,41,0.290550451452
Deb_Fischer,69,42,0.175130101581
Kirsten_Gillibrand,69,43,0.405292934328
Tammy_Baldwin,69,44,0.325851310083
John_Walsh,69,45,0.156922478582
Mark_Kirk,69,46,0.289871159759
Dean_Heller,69,47,0.185858256835
Jeff_Flake,69,48,0.142105037776
Thad_Cochran,69,49,0.170335826977
Mike_Johanns,69,50,0.180982614987
Robert_Portman,69,51,0.157087315009
Edward_Markey,69,52,0.300833455494
Cory_Booker,69,53,0.346443381302
Roger_Wicker,69,54,0.17894398548
Benjamin_Cardin,69,55,0.385911066372
Tom_Udall,69,56,0.176677581072
Mike_Lee,69,57,0.0657088949867
Ted_Cruz,69,58,0.0762750601298
Amy_Klobuchar,69,59,0.092272191988
Pat_Roberts,69,60,0.193994702252
Patrick_Leahy,69,61,0.190365003246
Orrin_Hatch,69,62,0.164687788634
Charles_Grassley,69,63,0.146448918126
Ron_Wyden,69,64,0.176505655784
Debbie_Stabenow,69,65,0.333360255115
Dianne_Feinstein,69,66,0.22053213941
John_Isakson,69,67,0.117311606153
Barbara_Boxer,69,68,0.271616879137
Chris_Coons,69,69,1.0
John_McCain,69,70,0.160981758012
Lisa_Murkowski,69,71,0.249390907164
John_Hoeven,69,72,0.20120163609
Jon_Tester,69,73,0.284737128258
Maria_Cantwell,69,74,0.115044371077
Heidi_Heitkamp,69,75,0.201290673711
Marco_Rubio,69,76,0.180799598603
Barbara_Mikulski,69,77,0.167980980247
Angus_King,69,78,0.272748550194
Mazie_Hirono,69,79,0.291363457808
John_Reed,69,80,0.207875478659
Tim_Scott,69,81,0.134635751165
Bill_Nelson,69,82,0.282589818479
Richard_Blumenthal,69,83,0.334019628096
Joe_Donnelly,69,84,0.262336628882
Elizabeth_Warren,69,85,0.285259648559
Timothy_Kaine,69,86,0.232495355973
John_Thune,69,87,0.129888536032
Sherrod_Brown,69,88,0.301401149476
Michael_Bennet,69,89,0.429914800689
Richard_Shelby,69,90,0.0419027586486
Lamar_Alexander,69,91,0.192123347918
Lindsey_Graham,69,92,0.229570856826
Jeff_Merkley,69,93,0.225221306927
Christopher_Murphy,69,94,0.335683562821
Kelly_Ayotte,69,95,0.184710225295
Joe_Manchin,69,96,0.239033290716
Patrick_Toomey,69,97,0.221888821505
Robert_MenÌ.ndez,69,98,0.334108816461
Ron_Johnson,69,99,0.0808508278126
Rand_Paul,69,100,0.0481920204066
