,source,target,value
Harry_Reid,94,0,0.158393593577
Thomas_Harkin,94,1,0.203523048835
Max_Baucus,94,2,0.1141163
Mitch_McConnell,94,3,0.0741052717644
Mark_Pryor,94,4,0.145362934292
Susan_Collins,94,5,0.236937249787
Carl_Levin,94,6,0.13903896801
James_Inhofe,94,7,0.112593215363
Jefferson_Sessions,94,8,0.16316156954
David_Vitter,94,9,0.25030944359
John_Rockefeller,94,10,0.134245219282
Bernard_Sanders,94,11,0.17510628368
Thomas_Carper,94,12,0.233103454348
Saxby_Chambliss,94,13,0.251998875185
Richard_Burr,94,14,0.220745163864
Robert_Casey,94,15,0.23359375004
John_Boozman,94,16,0.0893816536966
Patty_Murray,94,17,0.259107803099
Mary_Landrieu,94,18,0.259507252109
Jerry_Moran,94,19,0.104369158722
Claire_McCaskill,94,20,0.234090918622
Mark_Udall,94,21,0.158624120929
Kay_Hagan,94,22,0.179812367558
John_Cornyn,94,23,0.158326542443
Michael_Crapo,94,24,0.134851669488
Bob_Corker,94,25,0.203443232195
John_Barrasso,94,26,0.20230500758
Michael_Enzi,94,27,0.200927736176
Thomas_Coburn,94,28,0.0900582390507
Sheldon_Whitehouse,94,29,0.290754374658
Jeanne_Shaheen,94,30,0.262272669381
Martin_Heinrich,94,31,0.29091259296
Daniel_Coats,94,32,0.17418744815
Charles_Schumer,94,33,0.236368413599
Richard_Durbin,94,34,0.238226569498
Roy_Blunt,94,35,0.17927439045
Mark_Warner,94,36,0.264136630638
James_Risch,94,37,0.207179243075
Tim_Johnson,94,38,0.150396704587
Alan_Franken,94,39,0.205139096882
Mark_Begich,94,40,0.260915826707
Brian_Schatz,94,41,0.277711427378
Deb_Fischer,94,42,0.0482731711276
Kirsten_Gillibrand,94,43,0.372817775936
Tammy_Baldwin,94,44,0.206662514041
John_Walsh,94,45,0.221855696973
Mark_Kirk,94,46,0.248744356961
Dean_Heller,94,47,0.153807718679
Jeff_Flake,94,48,0.111347398536
Thad_Cochran,94,49,0.138296085428
Mike_Johanns,94,50,0.054935160033
Robert_Portman,94,51,0.204186795707
Edward_Markey,94,52,0.308296650064
Cory_Booker,94,53,0.342751180753
Roger_Wicker,94,54,0.190091811482
Benjamin_Cardin,94,55,0.414267605517
Tom_Udall,94,56,0.248124417132
Mike_Lee,94,57,0.0870216723931
Ted_Cruz,94,58,0.0639000224117
Amy_Klobuchar,94,59,0.124453343126
Pat_Roberts,94,60,0.136210767771
Patrick_Leahy,94,61,0.20266947221
Orrin_Hatch,94,62,0.142111963345
Charles_Grassley,94,63,0.221069416041
Ron_Wyden,94,64,0.169461482702
Debbie_Stabenow,94,65,0.317645091102
Dianne_Feinstein,94,66,0.334295015447
John_Isakson,94,67,0.187770499132
Barbara_Boxer,94,68,0.200549233679
Chris_Coons,94,69,0.335683562821
John_McCain,94,70,0.153198547431
Lisa_Murkowski,94,71,0.222385952724
John_Hoeven,94,72,0.149020727617
Jon_Tester,94,73,0.251820682069
Maria_Cantwell,94,74,0.231252556662
Heidi_Heitkamp,94,75,0.265825747527
Marco_Rubio,94,76,0.184443625938
Barbara_Mikulski,94,77,0.278035325446
Angus_King,94,78,0.237795260902
Mazie_Hirono,94,79,0.337743687074
John_Reed,94,80,0.282247558273
Tim_Scott,94,81,0.153747847295
Bill_Nelson,94,82,0.281075308217
Richard_Blumenthal,94,83,0.300473965425
Joe_Donnelly,94,84,0.251621936385
Elizabeth_Warren,94,85,0.32188253081
Timothy_Kaine,94,86,0.260154631204
John_Thune,94,87,0.232432706944
Sherrod_Brown,94,88,0.325446597324
Michael_Bennet,94,89,0.309125625841
Richard_Shelby,94,90,0.046463491148
Lamar_Alexander,94,91,0.167344607529
Lindsey_Graham,94,92,0.149371608619
Jeff_Merkley,94,93,0.285270772028
Christopher_Murphy,94,94,1.0
Kelly_Ayotte,94,95,0.178668892155
Joe_Manchin,94,96,0.215763363054
Patrick_Toomey,94,97,0.146560727335
Robert_MenÌ.ndez,94,98,0.366356388761
Ron_Johnson,94,99,0.0520396302234
Rand_Paul,94,100,0.027775098204
