,source,target,value
Harry_Reid,20,0,0.145730727621
Thomas_Harkin,20,1,0.104113885675
Max_Baucus,20,2,0.0652039765738
Mitch_McConnell,20,3,0.180050411436
Mark_Pryor,20,4,0.254619591813
Susan_Collins,20,5,0.217400667557
Carl_Levin,20,6,0.0797710142692
James_Inhofe,20,7,0.0250614183757
Jefferson_Sessions,20,8,0.0761444863387
David_Vitter,20,9,0.164603315885
John_Rockefeller,20,10,0.0958012605743
Bernard_Sanders,20,11,0.18927432476
Thomas_Carper,20,12,0.190639726861
Saxby_Chambliss,20,13,0.0843501179351
Richard_Burr,20,14,0.131697041287
Robert_Casey,20,15,0.192330976505
John_Boozman,20,16,0.0979280314092
Patty_Murray,20,17,0.106694126225
Mary_Landrieu,20,18,0.266482005091
Jerry_Moran,20,19,0.0469242487295
Claire_McCaskill,20,20,1.0
Mark_Udall,20,21,0.206954206919
Kay_Hagan,20,22,0.277706722418
John_Cornyn,20,23,0.109489706009
Michael_Crapo,20,24,0.156757979587
Bob_Corker,20,25,0.080073368684
John_Barrasso,20,26,0.103936895651
Michael_Enzi,20,27,0.083849383466
Thomas_Coburn,20,28,0.169990863778
Sheldon_Whitehouse,20,29,0.330111155687
Jeanne_Shaheen,20,30,0.235576804436
Martin_Heinrich,20,31,0.147647853682
Daniel_Coats,20,32,0.0740796057101
Charles_Schumer,20,33,0.105309059679
Richard_Durbin,20,34,0.171743810587
Roy_Blunt,20,35,0.209657332293
Mark_Warner,20,36,0.260197808476
James_Risch,20,37,0.0773651173932
Tim_Johnson,20,38,0.168175989289
Alan_Franken,20,39,0.237430644417
Mark_Begich,20,40,0.199031435303
Brian_Schatz,20,41,0.121496812468
Deb_Fischer,20,42,0.0657486089662
Kirsten_Gillibrand,20,43,0.185586026139
Tammy_Baldwin,20,44,0.135033173203
John_Walsh,20,45,0.100335384799
Mark_Kirk,20,46,0.138531547221
Dean_Heller,20,47,0.0465848083708
Jeff_Flake,20,48,0.0685650580251
Thad_Cochran,20,49,0.108879216387
Mike_Johanns,20,50,0.0912428443439
Robert_Portman,20,51,0.221150723203
Edward_Markey,20,52,0.144819004146
Cory_Booker,20,53,0.235840998393
Roger_Wicker,20,54,0.127897558421
Benjamin_Cardin,20,55,0.386322238869
Tom_Udall,20,56,0.224470665981
Mike_Lee,20,57,0.0277019060176
Ted_Cruz,20,58,0.167806376892
Amy_Klobuchar,20,59,0.15536564199
Pat_Roberts,20,60,0.122592658926
Patrick_Leahy,20,61,0.291019905554
Orrin_Hatch,20,62,0.0830080310766
Charles_Grassley,20,63,0.133444285735
Ron_Wyden,20,64,0.324708556505
Debbie_Stabenow,20,65,0.141667735165
Dianne_Feinstein,20,66,0.217859215396
John_Isakson,20,67,0.136418344576
Barbara_Boxer,20,68,0.178928095406
Chris_Coons,20,69,0.178872767998
John_McCain,20,70,0.0516143087803
Lisa_Murkowski,20,71,0.190010888689
John_Hoeven,20,72,0.113048355399
Jon_Tester,20,73,0.0750756588464
Maria_Cantwell,20,74,0.175575684184
Heidi_Heitkamp,20,75,0.0585624260488
Marco_Rubio,20,76,0.2018706646
Barbara_Mikulski,20,77,0.170340369067
Angus_King,20,78,0.138376414971
Mazie_Hirono,20,79,0.228907106987
John_Reed,20,80,0.259355546899
Tim_Scott,20,81,0.0482109512494
Bill_Nelson,20,82,0.129587415958
Richard_Blumenthal,20,83,0.213926281595
Joe_Donnelly,20,84,0.128611497053
Elizabeth_Warren,20,85,0.30538599437
Timothy_Kaine,20,86,0.144938461375
John_Thune,20,87,0.0726949725342
Sherrod_Brown,20,88,0.177756073654
Michael_Bennet,20,89,0.388716489217
Richard_Shelby,20,90,0.0568919266886
Lamar_Alexander,20,91,0.0964589104213
Lindsey_Graham,20,92,0.0442875886394
Jeff_Merkley,20,93,0.315348502467
Christopher_Murphy,20,94,0.234090918622
Kelly_Ayotte,20,95,0.126854528522
Joe_Manchin,20,96,0.0829877499606
Patrick_Toomey,20,97,0.097732534678
Robert_MenÌ.ndez,20,98,0.183637625534
Ron_Johnson,20,99,0.0843412613942
Rand_Paul,20,100,0.0203802062163
