,source,target,value
Harry_Reid,53,0,0.192685297235
Thomas_Harkin,53,1,0.166408155333
Max_Baucus,53,2,0.0268318265416
Mitch_McConnell,53,3,0.0631395224086
Mark_Pryor,53,4,0.233546955435
Susan_Collins,53,5,0.110495709116
Carl_Levin,53,6,0.280019193109
James_Inhofe,53,7,0.0571538737141
Jefferson_Sessions,53,8,0.0916296893758
David_Vitter,53,9,0.0781026258566
John_Rockefeller,53,10,0.226781683815
Bernard_Sanders,53,11,0.301286294027
Thomas_Carper,53,12,0.268016170429
Saxby_Chambliss,53,13,0.139666345167
Richard_Burr,53,14,0.164375477126
Robert_Casey,53,15,0.147912350466
John_Boozman,53,16,0.0827665300293
Patty_Murray,53,17,0.255288951516
Mary_Landrieu,53,18,0.154227634625
Jerry_Moran,53,19,0.118920760382
Claire_McCaskill,53,20,0.235840998393
Mark_Udall,53,21,0.205607788798
Kay_Hagan,53,22,0.197276829409
John_Cornyn,53,23,0.0887158372241
Michael_Crapo,53,24,0.119480917985
Bob_Corker,53,25,0.100901360367
John_Barrasso,53,26,0.150140757225
Michael_Enzi,53,27,0.151081481454
Thomas_Coburn,53,28,0.0556601505635
Sheldon_Whitehouse,53,29,0.251903186397
Jeanne_Shaheen,53,30,0.242936088613
Martin_Heinrich,53,31,0.341965407169
Daniel_Coats,53,32,0.0918371120401
Charles_Schumer,53,33,0.238507676452
Richard_Durbin,53,34,0.24260761804
Roy_Blunt,53,35,0.116149037996
Mark_Warner,53,36,0.347759551428
James_Risch,53,37,0.0854383115496
Tim_Johnson,53,38,0.199361033888
Alan_Franken,53,39,0.251920723618
Mark_Begich,53,40,0.204728914256
Brian_Schatz,53,41,0.329940188952
Deb_Fischer,53,42,0.0772221583024
Kirsten_Gillibrand,53,43,0.264546753261
Tammy_Baldwin,53,44,0.278231713874
John_Walsh,53,45,0.253078544935
Mark_Kirk,53,46,0.179820917438
Dean_Heller,53,47,0.108076453819
Jeff_Flake,53,48,0.0726360771161
Thad_Cochran,53,49,0.0679963196115
Mike_Johanns,53,50,0.0773786841158
Robert_Portman,53,51,0.172265331189
Edward_Markey,53,52,0.40062167988
Cory_Booker,53,53,1.0
Roger_Wicker,53,54,0.0937523760491
Benjamin_Cardin,53,55,0.388781920313
Tom_Udall,53,56,0.19749909238
Mike_Lee,53,57,0.0595521768663
Ted_Cruz,53,58,0.0254312410594
Amy_Klobuchar,53,59,0.136062850487
Pat_Roberts,53,60,0.139370052704
Patrick_Leahy,53,61,0.339518334237
Orrin_Hatch,53,62,0.0846369358672
Charles_Grassley,53,63,0.160328562005
Ron_Wyden,53,64,0.195127050737
Debbie_Stabenow,53,65,0.251145259533
Dianne_Feinstein,53,66,0.280426191996
John_Isakson,53,67,0.15406932829
Barbara_Boxer,53,68,0.219370427094
Chris_Coons,53,69,0.346443381302
John_McCain,53,70,0.0592566378363
Lisa_Murkowski,53,71,0.110261041164
John_Hoeven,53,72,0.0922952281272
Jon_Tester,53,73,0.274471649914
Maria_Cantwell,53,74,0.364405737836
Heidi_Heitkamp,53,75,0.166349579523
Marco_Rubio,53,76,0.0816109258495
Barbara_Mikulski,53,77,0.271552211216
Angus_King,53,78,0.257792203936
Mazie_Hirono,53,79,0.3933654475
John_Reed,53,80,0.285917081167
Tim_Scott,53,81,0.137363077625
Bill_Nelson,53,82,0.241305193775
Richard_Blumenthal,53,83,0.249551387583
Joe_Donnelly,53,84,0.128123232995
Elizabeth_Warren,53,85,0.329799227424
Timothy_Kaine,53,86,0.275862602953
John_Thune,53,87,0.138745325421
Sherrod_Brown,53,88,0.299415858915
Michael_Bennet,53,89,0.261610663312
Richard_Shelby,53,90,0.0201514504461
Lamar_Alexander,53,91,0.139464455437
Lindsey_Graham,53,92,0.147411089826
Jeff_Merkley,53,93,0.272433652368
Christopher_Murphy,53,94,0.342751180753
Kelly_Ayotte,53,95,0.109711451446
Joe_Manchin,53,96,0.157077344252
Patrick_Toomey,53,97,0.115329717748
Robert_MenÌ.ndez,53,98,0.415257621488
Ron_Johnson,53,99,0.0638419124215
Rand_Paul,53,100,0.0185282494839
