,source,target,value
Harry_Reid,32,0,0.331241644283
Thomas_Harkin,32,1,0.292403086588
Max_Baucus,32,2,0.0789880948421
Mitch_McConnell,32,3,0.4931621812
Mark_Pryor,32,4,0.258276652687
Susan_Collins,32,5,0.322916785538
Carl_Levin,32,6,0.0512571596973
James_Inhofe,32,7,0.321923199189
Jefferson_Sessions,32,8,0.594018038035
David_Vitter,32,9,0.360072201301
John_Rockefeller,32,10,0.20077154281
Bernard_Sanders,32,11,0.0164992101813
Thomas_Carper,32,12,0.1998847149
Saxby_Chambliss,32,13,0.386014317584
Richard_Burr,32,14,0.409474814592
Robert_Casey,32,15,0.363936003508
John_Boozman,32,16,0.310641459849
Patty_Murray,32,17,0.246730642451
Mary_Landrieu,32,18,0.200365700056
Jerry_Moran,32,19,0.408871261202
Claire_McCaskill,32,20,0.0740796057101
Mark_Udall,32,21,0.246392281675
Kay_Hagan,32,22,0.214773582467
John_Cornyn,32,23,0.509368310525
Michael_Crapo,32,24,0.535417734316
Bob_Corker,32,25,0.736083122439
John_Barrasso,32,26,0.51890570775
Michael_Enzi,32,27,0.501016660228
Thomas_Coburn,32,28,0.190321080794
Sheldon_Whitehouse,32,29,0.263708324107
Jeanne_Shaheen,32,30,0.242369911149
Martin_Heinrich,32,31,0.238898456091
Daniel_Coats,32,32,1.0
Charles_Schumer,32,33,0.248266119216
Richard_Durbin,32,34,0.373590379629
Roy_Blunt,32,35,0.27035808856
Mark_Warner,32,36,0.352521355423
James_Risch,32,37,0.593275117337
Tim_Johnson,32,38,0.333108574573
Alan_Franken,32,39,0.328560350667
Mark_Begich,32,40,0.168784290489
Brian_Schatz,32,41,0.239876879089
Deb_Fischer,32,42,0.353767344218
Kirsten_Gillibrand,32,43,0.215615189932
Tammy_Baldwin,32,44,0.178539556829
John_Walsh,32,45,0.306884554276
Mark_Kirk,32,46,0.347627234986
Dean_Heller,32,47,0.275575299135
Jeff_Flake,32,48,0.366678116349
Thad_Cochran,32,49,0.445844416753
Mike_Johanns,32,50,0.23252831843
Robert_Portman,32,51,0.295565143075
Edward_Markey,32,52,0.088036968097
Cory_Booker,32,53,0.0918371120401
Roger_Wicker,32,54,0.384037855116
Benjamin_Cardin,32,55,0.298024038629
Tom_Udall,32,56,0.0708533176763
Mike_Lee,32,57,0.201115724409
Ted_Cruz,32,58,0.260246837737
Amy_Klobuchar,32,59,0.106468391674
Pat_Roberts,32,60,0.519701717482
Patrick_Leahy,32,61,0.0322422854039
Orrin_Hatch,32,62,0.435473232477
Charles_Grassley,32,63,0.173333971011
Ron_Wyden,32,64,0.0783853732266
Debbie_Stabenow,32,65,0.188939473112
Dianne_Feinstein,32,66,0.230056967232
John_Isakson,32,67,0.158802151228
Barbara_Boxer,32,68,0.205717151772
Chris_Coons,32,69,0.291666298993
John_McCain,32,70,0.485827096912
Lisa_Murkowski,32,71,0.39424130156
John_Hoeven,32,72,0.546699646627
Jon_Tester,32,73,0.235938706529
Maria_Cantwell,32,74,0.0639196757407
Heidi_Heitkamp,32,75,0.196865045286
Marco_Rubio,32,76,0.372103091826
Barbara_Mikulski,32,77,0.134958488642
Angus_King,32,78,0.320107833857
Mazie_Hirono,32,79,0.330157720769
John_Reed,32,80,0.321155582698
Tim_Scott,32,81,0.372894815431
Bill_Nelson,32,82,0.311658638671
Richard_Blumenthal,32,83,0.27349052467
Joe_Donnelly,32,84,0.0176174268688
Elizabeth_Warren,32,85,0.158470943134
Timothy_Kaine,32,86,0.240403597054
John_Thune,32,87,0.312600917022
Sherrod_Brown,32,88,0.200055938839
Michael_Bennet,32,89,0.270112714297
Richard_Shelby,32,90,0.129376709179
Lamar_Alexander,32,91,0.49654264613
Lindsey_Graham,32,92,0.34052736491
Jeff_Merkley,32,93,0.0655910441243
Christopher_Murphy,32,94,0.17418744815
Kelly_Ayotte,32,95,0.255229178353
Joe_Manchin,32,96,0.444429761373
Patrick_Toomey,32,97,0.436279235255
Robert_MenÌ.ndez,32,98,0.146644517336
Ron_Johnson,32,99,0.0814918144472
Rand_Paul,32,100,0.139938409514
