,source,target,value
Harry_Reid,9,0,0.336070062584
Thomas_Harkin,9,1,0.157791412584
Max_Baucus,9,2,0.176382995683
Mitch_McConnell,9,3,0.353891723572
Mark_Pryor,9,4,0.221797342685
Susan_Collins,9,5,0.239310915763
Carl_Levin,9,6,0.0536558459996
James_Inhofe,9,7,0.230511715898
Jefferson_Sessions,9,8,0.294323474102
David_Vitter,9,9,1.0
John_Rockefeller,9,10,0.15061176146
Bernard_Sanders,9,11,0.037552349052
Thomas_Carper,9,12,0.12940685742
Saxby_Chambliss,9,13,0.246987514296
Richard_Burr,9,14,0.309981921916
Robert_Casey,9,15,0.15253499997
John_Boozman,9,16,0.290724153313
Patty_Murray,9,17,0.244869259082
Mary_Landrieu,9,18,0.273921901258
Jerry_Moran,9,19,0.22736453517
Claire_McCaskill,9,20,0.164603315885
Mark_Udall,9,21,0.273846860236
Kay_Hagan,9,22,0.209914998206
John_Cornyn,9,23,0.199390194572
Michael_Crapo,9,24,0.388518343713
Bob_Corker,9,25,0.289845262079
John_Barrasso,9,26,0.292343853814
Michael_Enzi,9,27,0.324307188086
Thomas_Coburn,9,28,0.0988577916796
Sheldon_Whitehouse,9,29,0.156234319677
Jeanne_Shaheen,9,30,0.1595121564
Martin_Heinrich,9,31,0.161223766289
Daniel_Coats,9,32,0.360072201301
Charles_Schumer,9,33,0.149237676616
Richard_Durbin,9,34,0.253977894492
Roy_Blunt,9,35,0.299808840917
Mark_Warner,9,36,0.216933189159
James_Risch,9,37,0.317236007524
Tim_Johnson,9,38,0.312636118423
Alan_Franken,9,39,0.187871777907
Mark_Begich,9,40,0.158483003972
Brian_Schatz,9,41,0.139461742596
Deb_Fischer,9,42,0.241195776696
Kirsten_Gillibrand,9,43,0.0995826138931
Tammy_Baldwin,9,44,0.121211297283
John_Walsh,9,45,0.196368148009
Mark_Kirk,9,46,0.256651054309
Dean_Heller,9,47,0.19021613131
Jeff_Flake,9,48,0.327131885902
Thad_Cochran,9,49,0.324780035739
Mike_Johanns,9,50,0.144820655654
Robert_Portman,9,51,0.309479229761
Edward_Markey,9,52,0.145326787052
Cory_Booker,9,53,0.0781026258566
Roger_Wicker,9,54,0.26157505855
Benjamin_Cardin,9,55,0.227057830974
Tom_Udall,9,56,0.196975367649
Mike_Lee,9,57,0.22598601657
Ted_Cruz,9,58,0.162744893695
Amy_Klobuchar,9,59,0.0846827079683
Pat_Roberts,9,60,0.270538403979
Patrick_Leahy,9,61,0.0655149390425
Orrin_Hatch,9,62,0.256583038106
Charles_Grassley,9,63,0.273050742063
Ron_Wyden,9,64,0.0894400356043
Debbie_Stabenow,9,65,0.133015741214
Dianne_Feinstein,9,66,0.157173015577
John_Isakson,9,67,0.220565306681
Barbara_Boxer,9,68,0.0863375843411
Chris_Coons,9,69,0.195637954737
John_McCain,9,70,0.340487423113
Lisa_Murkowski,9,71,0.325816429717
John_Hoeven,9,72,0.327152613068
Jon_Tester,9,73,0.126272288188
Maria_Cantwell,9,74,0.129927191423
Heidi_Heitkamp,9,75,0.122161546456
Marco_Rubio,9,76,0.248323371963
Barbara_Mikulski,9,77,0.0775888081899
Angus_King,9,78,0.226444156386
Mazie_Hirono,9,79,0.232524752107
John_Reed,9,80,0.201853051797
Tim_Scott,9,81,0.331203816592
Bill_Nelson,9,82,0.218239585961
Richard_Blumenthal,9,83,0.181578433159
Joe_Donnelly,9,84,0.110752581326
Elizabeth_Warren,9,85,0.0859378911912
Timothy_Kaine,9,86,0.280021780852
John_Thune,9,87,0.355050539444
Sherrod_Brown,9,88,0.104053325392
Michael_Bennet,9,89,0.307339833535
Richard_Shelby,9,90,0.112313270395
Lamar_Alexander,9,91,0.323999397945
Lindsey_Graham,9,92,0.225340283752
Jeff_Merkley,9,93,0.141863893131
Christopher_Murphy,9,94,0.25030944359
Kelly_Ayotte,9,95,0.173323625859
Joe_Manchin,9,96,0.252694867767
Patrick_Toomey,9,97,0.295973311162
Robert_MenÌ.ndez,9,98,0.176996048063
Ron_Johnson,9,99,0.0277016797859
Rand_Paul,9,100,0.00514648721191
