,source,target,value
Harry_Reid,47,0,0.184124578396
Thomas_Harkin,47,1,0.134476138164
Max_Baucus,47,2,0.0130371205415
Mitch_McConnell,47,3,0.227118573401
Mark_Pryor,47,4,0.231038659431
Susan_Collins,47,5,0.160503686855
Carl_Levin,47,6,0.0365043139839
James_Inhofe,47,7,0.202050962256
Jefferson_Sessions,47,8,0.253724791247
David_Vitter,47,9,0.19021613131
John_Rockefeller,47,10,0.0857398823735
Bernard_Sanders,47,11,0.0266888996375
Thomas_Carper,47,12,0.0826780152573
Saxby_Chambliss,47,13,0.244460642004
Richard_Burr,47,14,0.306051695809
Robert_Casey,47,15,0.234778255026
John_Boozman,47,16,0.300899503555
Patty_Murray,47,17,0.085781948259
Mary_Landrieu,47,18,0.16673381992
Jerry_Moran,47,19,0.253789275453
Claire_McCaskill,47,20,0.0465848083708
Mark_Udall,47,21,0.302679500617
Kay_Hagan,47,22,0.137975409336
John_Cornyn,47,23,0.239967294047
Michael_Crapo,47,24,0.206267323647
Bob_Corker,47,25,0.289017360372
John_Barrasso,47,26,0.28562754712
Michael_Enzi,47,27,0.261598155125
Thomas_Coburn,47,28,0.0953319194141
Sheldon_Whitehouse,47,29,0.114252101682
Jeanne_Shaheen,47,30,0.260353032423
Martin_Heinrich,47,31,0.148892554198
Daniel_Coats,47,32,0.275575299135
Charles_Schumer,47,33,0.226612669652
Richard_Durbin,47,34,0.172258444797
Roy_Blunt,47,35,0.21961681257
Mark_Warner,47,36,0.289275685903
James_Risch,47,37,0.293553182839
Tim_Johnson,47,38,0.121612781785
Alan_Franken,47,39,0.245577767914
Mark_Begich,47,40,0.158348088775
Brian_Schatz,47,41,0.173271228931
Deb_Fischer,47,42,0.1288361793
Kirsten_Gillibrand,47,43,0.109182681523
Tammy_Baldwin,47,44,0.0667723167651
John_Walsh,47,45,0.168885137456
Mark_Kirk,47,46,0.18945007844
Dean_Heller,47,47,1.0
Jeff_Flake,47,48,0.227319037824
Thad_Cochran,47,49,0.166655127475
Mike_Johanns,47,50,0.32247754234
Robert_Portman,47,51,0.242034639545
Edward_Markey,47,52,0.0751946871309
Cory_Booker,47,53,0.108076453819
Roger_Wicker,47,54,0.146345661544
Benjamin_Cardin,47,55,0.20639736488
Tom_Udall,47,56,0.0887906396379
Mike_Lee,47,57,0.109157807885
Ted_Cruz,47,58,0.0545195495767
Amy_Klobuchar,47,59,0.0986756888871
Pat_Roberts,47,60,0.199877876239
Patrick_Leahy,47,61,0.0624366362452
Orrin_Hatch,47,62,0.191235745091
Charles_Grassley,47,63,0.180882237337
Ron_Wyden,47,64,0.0576900650787
Debbie_Stabenow,47,65,0.0942051613278
Dianne_Feinstein,47,66,0.110331101478
John_Isakson,47,67,0.182396463282
Barbara_Boxer,47,68,0.160182549283
Chris_Coons,47,69,0.185858256835
John_McCain,47,70,0.211257200381
Lisa_Murkowski,47,71,0.240053952545
John_Hoeven,47,72,0.246826466711
Jon_Tester,47,73,0.159303465746
Maria_Cantwell,47,74,0.107453936328
Heidi_Heitkamp,47,75,0.12713918133
Marco_Rubio,47,76,0.195081127364
Barbara_Mikulski,47,77,0.101665084044
Angus_King,47,78,0.313331122853
Mazie_Hirono,47,79,0.192110423994
John_Reed,47,80,0.219346871295
Tim_Scott,47,81,0.363296885848
Bill_Nelson,47,82,0.214825228649
Richard_Blumenthal,47,83,0.122786206673
Joe_Donnelly,47,84,0.15439824066
Elizabeth_Warren,47,85,0.112311802557
Timothy_Kaine,47,86,0.113512905288
John_Thune,47,87,0.269719541949
Sherrod_Brown,47,88,0.112054070798
Michael_Bennet,47,89,0.16070787841
Richard_Shelby,47,90,0.0792892544473
Lamar_Alexander,47,91,0.242971549771
Lindsey_Graham,47,92,0.192570026251
Jeff_Merkley,47,93,0.0751580249965
Christopher_Murphy,47,94,0.153807718679
Kelly_Ayotte,47,95,0.169694919236
Joe_Manchin,47,96,0.200621689296
Patrick_Toomey,47,97,0.278332505996
Robert_MenÌ.ndez,47,98,0.172491671532
Ron_Johnson,47,99,0.0538722648984
Rand_Paul,47,100,0.0233584806505
