,source,target,value
Harry_Reid,42,0,0.23778436846
Thomas_Harkin,42,1,0.094126001257
Max_Baucus,42,2,0.0274509983564
Mitch_McConnell,42,3,0.388598885963
Mark_Pryor,42,4,0.230689343527
Susan_Collins,42,5,0.227263596666
Carl_Levin,42,6,0.0191748249766
James_Inhofe,42,7,0.338535692081
Jefferson_Sessions,42,8,0.171952701414
David_Vitter,42,9,0.241195776696
John_Rockefeller,42,10,0.132374150088
Bernard_Sanders,42,11,0.086960313064
Thomas_Carper,42,12,0.179929018244
Saxby_Chambliss,42,13,0.183562727916
Richard_Burr,42,14,0.204038394422
Robert_Casey,42,15,0.154264152984
John_Boozman,42,16,0.248904254424
Patty_Murray,42,17,0.160909271726
Mary_Landrieu,42,18,0.129528006125
Jerry_Moran,42,19,0.215532624547
Claire_McCaskill,42,20,0.0657486089662
Mark_Udall,42,21,0.265346891434
Kay_Hagan,42,22,0.23098645188
John_Cornyn,42,23,0.250034924748
Michael_Crapo,42,24,0.32624935633
Bob_Corker,42,25,0.252945058274
John_Barrasso,42,26,0.2337421181
Michael_Enzi,42,27,0.311734938337
Thomas_Coburn,42,28,0.24817785772
Sheldon_Whitehouse,42,29,0.177252202701
Jeanne_Shaheen,42,30,0.174694813575
Martin_Heinrich,42,31,0.184971066888
Daniel_Coats,42,32,0.353767344218
Charles_Schumer,42,33,0.0831829637553
Richard_Durbin,42,34,0.202334411631
Roy_Blunt,42,35,0.0926630030426
Mark_Warner,42,36,0.23417541478
James_Risch,42,37,0.255440107918
Tim_Johnson,42,38,0.220541557128
Alan_Franken,42,39,0.151345707887
Mark_Begich,42,40,0.148519566623
Brian_Schatz,42,41,0.239960917781
Deb_Fischer,42,42,1.0
Kirsten_Gillibrand,42,43,0.134399786214
Tammy_Baldwin,42,44,0.155985371948
John_Walsh,42,45,0.291431882825
Mark_Kirk,42,46,0.231024151804
Dean_Heller,42,47,0.1288361793
Jeff_Flake,42,48,0.206953991218
Thad_Cochran,42,49,0.300681294384
Mike_Johanns,42,50,0.212784102265
Robert_Portman,42,51,0.232248991117
Edward_Markey,42,52,0.0998985695013
Cory_Booker,42,53,0.0772221583024
Roger_Wicker,42,54,0.269434982146
Benjamin_Cardin,42,55,0.150755713299
Tom_Udall,42,56,0.139813518984
Mike_Lee,42,57,0.255675568421
Ted_Cruz,42,58,0.171540694202
Amy_Klobuchar,42,59,0.149875043106
Pat_Roberts,42,60,0.367702716674
Patrick_Leahy,42,61,0.0381684541441
Orrin_Hatch,42,62,0.251308278079
Charles_Grassley,42,63,0.275609388458
Ron_Wyden,42,64,0.164234893334
Debbie_Stabenow,42,65,0.169632318592
Dianne_Feinstein,42,66,0.150602684362
John_Isakson,42,67,0.16727501279
Barbara_Boxer,42,68,0.0982752146433
Chris_Coons,42,69,0.175130101581
John_McCain,42,70,0.359309268533
Lisa_Murkowski,42,71,0.284727778937
John_Hoeven,42,72,0.377551776032
Jon_Tester,42,73,0.0863732158183
Maria_Cantwell,42,74,0.197875846072
Heidi_Heitkamp,42,75,0.140531918707
Marco_Rubio,42,76,0.252834075135
Barbara_Mikulski,42,77,0.0454711488101
Angus_King,42,78,0.16738725892
Mazie_Hirono,42,79,0.212136164279
John_Reed,42,80,0.126154501142
Tim_Scott,42,81,0.295211791202
Bill_Nelson,42,82,0.151126304603
Richard_Blumenthal,42,83,0.111455244756
Joe_Donnelly,42,84,0.081878747083
Elizabeth_Warren,42,85,0.0957163296283
Timothy_Kaine,42,86,0.273099925197
John_Thune,42,87,0.226534976627
Sherrod_Brown,42,88,0.0378277660231
Michael_Bennet,42,89,0.285480361291
Richard_Shelby,42,90,0.0182393639168
Lamar_Alexander,42,91,0.286301361849
Lindsey_Graham,42,92,0.29209392084
Jeff_Merkley,42,93,0.0774402075787
Christopher_Murphy,42,94,0.0482731711276
Kelly_Ayotte,42,95,0.262553178567
Joe_Manchin,42,96,0.199179633391
Patrick_Toomey,42,97,0.188617083654
Robert_MenÌ.ndez,42,98,0.096497706053
Ron_Johnson,42,99,0.0781069296515
Rand_Paul,42,100,0.16517997812
