,source,target,value
Harry_Reid,65,0,0.185716550008
Thomas_Harkin,65,1,0.231474105652
Max_Baucus,65,2,0.0262152881023
Mitch_McConnell,65,3,0.230274265641
Mark_Pryor,65,4,0.223881877827
Susan_Collins,65,5,0.182390898252
Carl_Levin,65,6,0.136285768081
James_Inhofe,65,7,0.139246969513
Jefferson_Sessions,65,8,0.145170049934
David_Vitter,65,9,0.133015741214
John_Rockefeller,65,10,0.236735728308
Bernard_Sanders,65,11,0.230115942056
Thomas_Carper,65,12,0.306222921514
Saxby_Chambliss,65,13,0.184889659685
Richard_Burr,65,14,0.20438902601
Robert_Casey,65,15,0.283543742194
John_Boozman,65,16,0.150648335105
Patty_Murray,65,17,0.224363717919
Mary_Landrieu,65,18,0.205572328504
Jerry_Moran,65,19,0.13690668758
Claire_McCaskill,65,20,0.141667735165
Mark_Udall,65,21,0.28557929373
Kay_Hagan,65,22,0.268878445059
John_Cornyn,65,23,0.103987672862
Michael_Crapo,65,24,0.256044576941
Bob_Corker,65,25,0.214179099278
John_Barrasso,65,26,0.155106856687
Michael_Enzi,65,27,0.211501652641
Thomas_Coburn,65,28,0.224814585332
Sheldon_Whitehouse,65,29,0.322021676956
Jeanne_Shaheen,65,30,0.292474683157
Martin_Heinrich,65,31,0.286735326894
Daniel_Coats,65,32,0.188939473112
Charles_Schumer,65,33,0.246159239434
Richard_Durbin,65,34,0.316608371693
Roy_Blunt,65,35,0.149672344974
Mark_Warner,65,36,0.260569255278
James_Risch,65,37,0.1872448444
Tim_Johnson,65,38,0.392180081347
Alan_Franken,65,39,0.270198222267
Mark_Begich,65,40,0.16575090305
Brian_Schatz,65,41,0.218207239549
Deb_Fischer,65,42,0.169632318592
Kirsten_Gillibrand,65,43,0.362726109952
Tammy_Baldwin,65,44,0.267317086011
John_Walsh,65,45,0.187303804221
Mark_Kirk,65,46,0.224591263843
Dean_Heller,65,47,0.0942051613278
Jeff_Flake,65,48,0.11552587031
Thad_Cochran,65,49,0.210043239345
Mike_Johanns,65,50,0.127742865612
Robert_Portman,65,51,0.0809925038372
Edward_Markey,65,52,0.268601712864
Cory_Booker,65,53,0.251145259533
Roger_Wicker,65,54,0.202829185191
Benjamin_Cardin,65,55,0.283955959801
Tom_Udall,65,56,0.196497359902
Mike_Lee,65,57,0.121183859615
Ted_Cruz,65,58,0.107812382514
Amy_Klobuchar,65,59,0.277406289716
Pat_Roberts,65,60,0.266946707915
Patrick_Leahy,65,61,0.213270819713
Orrin_Hatch,65,62,0.108736129504
Charles_Grassley,65,63,0.246375698764
Ron_Wyden,65,64,0.126744015405
Debbie_Stabenow,65,65,1.0
Dianne_Feinstein,65,66,0.237230321297
John_Isakson,65,67,0.122500642863
Barbara_Boxer,65,68,0.29342288863
Chris_Coons,65,69,0.333360255115
John_McCain,65,70,0.141991604414
Lisa_Murkowski,65,71,0.133737240335
John_Hoeven,65,72,0.166236577419
Jon_Tester,65,73,0.23435841019
Maria_Cantwell,65,74,0.1874317728
Heidi_Heitkamp,65,75,0.0911196620705
Marco_Rubio,65,76,0.107647388701
Barbara_Mikulski,65,77,0.178965423659
Angus_King,65,78,0.265212409535
Mazie_Hirono,65,79,0.277396579345
John_Reed,65,80,0.311231153853
Tim_Scott,65,81,0.119445042195
Bill_Nelson,65,82,0.278824253943
Richard_Blumenthal,65,83,0.22821003362
Joe_Donnelly,65,84,0.176884995157
Elizabeth_Warren,65,85,0.261665682726
Timothy_Kaine,65,86,0.253971409101
John_Thune,65,87,0.11046318046
Sherrod_Brown,65,88,0.227829290856
Michael_Bennet,65,89,0.309036990918
Richard_Shelby,65,90,0.0505214555261
Lamar_Alexander,65,91,0.225310058136
Lindsey_Graham,65,92,0.170305445005
Jeff_Merkley,65,93,0.293406599212
Christopher_Murphy,65,94,0.317645091102
Kelly_Ayotte,65,95,0.157247319357
Joe_Manchin,65,96,0.234257810813
Patrick_Toomey,65,97,0.182268111745
Robert_MenÌ.ndez,65,98,0.267768212252
Ron_Johnson,65,99,0.0758962777765
Rand_Paul,65,100,0.118332203185
