,source,target,value
Harry_Reid,66,0,0.373729759485
Thomas_Harkin,66,1,0.148099280034
Max_Baucus,66,2,0.0723270329274
Mitch_McConnell,66,3,0.234149672247
Mark_Pryor,66,4,0.17369140161
Susan_Collins,66,5,0.278470359232
Carl_Levin,66,6,0.125297366001
James_Inhofe,66,7,0.132019334841
Jefferson_Sessions,66,8,0.171221181853
David_Vitter,66,9,0.157173015577
John_Rockefeller,66,10,0.150539538028
Bernard_Sanders,66,11,0.112258183521
Thomas_Carper,66,12,0.369051982787
Saxby_Chambliss,66,13,0.171617089474
Richard_Burr,66,14,0.225377045129
Robert_Casey,66,15,0.194025446347
John_Boozman,66,16,0.173830866199
Patty_Murray,66,17,0.193534488257
Mary_Landrieu,66,18,0.224297108697
Jerry_Moran,66,19,0.132118219656
Claire_McCaskill,66,20,0.217859215396
Mark_Udall,66,21,0.180257949676
Kay_Hagan,66,22,0.17118197563
John_Cornyn,66,23,0.203831565621
Michael_Crapo,66,24,0.244736672776
Bob_Corker,66,25,0.195089942606
John_Barrasso,66,26,0.226829470979
Michael_Enzi,66,27,0.230304902142
Thomas_Coburn,66,28,0.0987291190701
Sheldon_Whitehouse,66,29,0.365693231351
Jeanne_Shaheen,66,30,0.22815641637
Martin_Heinrich,66,31,0.168903785714
Daniel_Coats,66,32,0.230056967232
Charles_Schumer,66,33,0.274908793173
Richard_Durbin,66,34,0.214399590556
Roy_Blunt,66,35,0.152429716396
Mark_Warner,66,36,0.344355258015
James_Risch,66,37,0.226311620222
Tim_Johnson,66,38,0.210990843636
Alan_Franken,66,39,0.211301239355
Mark_Begich,66,40,0.114457801618
Brian_Schatz,66,41,0.227838253932
Deb_Fischer,66,42,0.150602684362
Kirsten_Gillibrand,66,43,0.196171466431
Tammy_Baldwin,66,44,0.188044032552
John_Walsh,66,45,0.193490043275
Mark_Kirk,66,46,0.238281107705
Dean_Heller,66,47,0.110331101478
Jeff_Flake,66,48,0.120730903671
Thad_Cochran,66,49,0.156228080201
Mike_Johanns,66,50,0.134333799545
Robert_Portman,66,51,0.225854641023
Edward_Markey,66,52,0.209742880066
Cory_Booker,66,53,0.280426191996
Roger_Wicker,66,54,0.244306691844
Benjamin_Cardin,66,55,0.206825587076
Tom_Udall,66,56,0.13782798434
Mike_Lee,66,57,0.0577211895382
Ted_Cruz,66,58,0.0365478620663
Amy_Klobuchar,66,59,0.184713332876
Pat_Roberts,66,60,0.175823480145
Patrick_Leahy,66,61,0.163860603328
Orrin_Hatch,66,62,0.19957395306
Charles_Grassley,66,63,0.264874700037
Ron_Wyden,66,64,0.167536600249
Debbie_Stabenow,66,65,0.237230321297
Dianne_Feinstein,66,66,1.0
John_Isakson,66,67,0.118683004472
Barbara_Boxer,66,68,0.208046714863
Chris_Coons,66,69,0.22053213941
John_McCain,66,70,0.131577026805
Lisa_Murkowski,66,71,0.200364275336
John_Hoeven,66,72,0.240761452711
Jon_Tester,66,73,0.107997857549
Maria_Cantwell,66,74,0.214798766836
Heidi_Heitkamp,66,75,0.186947731454
Marco_Rubio,66,76,0.216065807774
Barbara_Mikulski,66,77,0.247397325673
Angus_King,66,78,0.223757133663
Mazie_Hirono,66,79,0.349151483164
John_Reed,66,80,0.256282360927
Tim_Scott,66,81,0.176886916994
Bill_Nelson,66,82,0.340103286364
Richard_Blumenthal,66,83,0.229811404558
Joe_Donnelly,66,84,0.236779385639
Elizabeth_Warren,66,85,0.217603637527
Timothy_Kaine,66,86,0.236860382096
John_Thune,66,87,0.266215308814
Sherrod_Brown,66,88,0.227645840444
Michael_Bennet,66,89,0.260308254423
Richard_Shelby,66,90,0.0182890586354
Lamar_Alexander,66,91,0.22536013457
Lindsey_Graham,66,92,0.18716132604
Jeff_Merkley,66,93,0.182858051436
Christopher_Murphy,66,94,0.334295015447
Kelly_Ayotte,66,95,0.2443053849
Joe_Manchin,66,96,0.283935581747
Patrick_Toomey,66,97,0.171344510373
Robert_MenÌ.ndez,66,98,0.305381946277
Ron_Johnson,66,99,0.0678439352803
Rand_Paul,66,100,0.00770680448405
