,source,target,value
Harry_Reid,52,0,0.0742514113246
Thomas_Harkin,52,1,0.189745166794
Max_Baucus,52,2,0.0750936222539
Mitch_McConnell,52,3,0.0620209189596
Mark_Pryor,52,4,0.183461691209
Susan_Collins,52,5,0.105904178894
Carl_Levin,52,6,0.124003645872
James_Inhofe,52,7,0.0762504879936
Jefferson_Sessions,52,8,0.0656775517484
David_Vitter,52,9,0.145326787052
John_Rockefeller,52,10,0.0896669158719
Bernard_Sanders,52,11,0.236050860193
Thomas_Carper,52,12,0.248554366119
Saxby_Chambliss,52,13,0.163343913242
Richard_Burr,52,14,0.0990349945173
Robert_Casey,52,15,0.224405869017
John_Boozman,52,16,0.0848453504714
Patty_Murray,52,17,0.213621974644
Mary_Landrieu,52,18,0.244406916482
Jerry_Moran,52,19,0.0702486601642
Claire_McCaskill,52,20,0.144819004146
Mark_Udall,52,21,0.155233501262
Kay_Hagan,52,22,0.218950172027
John_Cornyn,52,23,0.0757317546285
Michael_Crapo,52,24,0.12344951842
Bob_Corker,52,25,0.0736860230321
John_Barrasso,52,26,0.0927331324845
Michael_Enzi,52,27,0.108087008446
Thomas_Coburn,52,28,0.0499180320457
Sheldon_Whitehouse,52,29,0.249098372066
Jeanne_Shaheen,52,30,0.193628457825
Martin_Heinrich,52,31,0.256728338569
Daniel_Coats,52,32,0.088036968097
Charles_Schumer,52,33,0.208134674895
Richard_Durbin,52,34,0.182865804639
Roy_Blunt,52,35,0.0879548948165
Mark_Warner,52,36,0.23919272486
James_Risch,52,37,0.0868492221134
Tim_Johnson,52,38,0.237496630796
Alan_Franken,52,39,0.223133040753
Mark_Begich,52,40,0.155731664706
Brian_Schatz,52,41,0.311185811429
Deb_Fischer,52,42,0.0998985695013
Kirsten_Gillibrand,52,43,0.304079546842
Tammy_Baldwin,52,44,0.213956982534
John_Walsh,52,45,0.189042267973
Mark_Kirk,52,46,0.221822746082
Dean_Heller,52,47,0.0751946871309
Jeff_Flake,52,48,0.0433725908523
Thad_Cochran,52,49,0.0852207911366
Mike_Johanns,52,50,0.0866027561792
Robert_Portman,52,51,0.128682524853
Edward_Markey,52,52,1.0
Cory_Booker,52,53,0.40062167988
Roger_Wicker,52,54,0.0965341951991
Benjamin_Cardin,52,55,0.267979083688
Tom_Udall,52,56,0.211629761676
Mike_Lee,52,57,0.0742705428349
Ted_Cruz,52,58,0.0418241988606
Amy_Klobuchar,52,59,0.16976220342
Pat_Roberts,52,60,0.131598670884
Patrick_Leahy,52,61,0.260894570214
Orrin_Hatch,52,62,0.0776912244512
Charles_Grassley,52,63,0.167206581824
Ron_Wyden,52,64,0.283320367975
Debbie_Stabenow,52,65,0.268601712864
Dianne_Feinstein,52,66,0.209742880066
John_Isakson,52,67,0.118731671863
Barbara_Boxer,52,68,0.195586109764
Chris_Coons,52,69,0.300833455494
John_McCain,52,70,0.0766945027934
Lisa_Murkowski,52,71,0.16100067514
John_Hoeven,52,72,0.0994199173366
Jon_Tester,52,73,0.221341084333
Maria_Cantwell,52,74,0.21702147822
Heidi_Heitkamp,52,75,0.19594203674
Marco_Rubio,52,76,0.099531005063
Barbara_Mikulski,52,77,0.302885440126
Angus_King,52,78,0.120196681375
Mazie_Hirono,52,79,0.271190764386
John_Reed,52,80,0.232939040124
Tim_Scott,52,81,0.0821316056014
Bill_Nelson,52,82,0.25425178362
Richard_Blumenthal,52,83,0.236672506146
Joe_Donnelly,52,84,0.155729874094
Elizabeth_Warren,52,85,0.340583705037
Timothy_Kaine,52,86,0.179247375421
John_Thune,52,87,0.102679769185
Sherrod_Brown,52,88,0.284667494544
Michael_Bennet,52,89,0.187200333566
Richard_Shelby,52,90,0.027081023871
Lamar_Alexander,52,91,0.135610045591
Lindsey_Graham,52,92,0.111939047575
Jeff_Merkley,52,93,0.250651422196
Christopher_Murphy,52,94,0.308296650064
Kelly_Ayotte,52,95,0.108246080526
Joe_Manchin,52,96,0.126555459916
Patrick_Toomey,52,97,0.140614938313
Robert_MenÌ.ndez,52,98,0.294303432285
Ron_Johnson,52,99,0.0303056705514
Rand_Paul,52,100,0.0
