,source,target,value
Harry_Reid,85,0,0.0805915491081
Thomas_Harkin,85,1,0.269511392525
Max_Baucus,85,2,0.0372070761138
Mitch_McConnell,85,3,0.121043460943
Mark_Pryor,85,4,0.158811183402
Susan_Collins,85,5,0.230403355442
Carl_Levin,85,6,0.270009772484
James_Inhofe,85,7,0.114875866416
Jefferson_Sessions,85,8,0.212907772136
David_Vitter,85,9,0.0859378911912
John_Rockefeller,85,10,0.25530675415
Bernard_Sanders,85,11,0.280207201223
Thomas_Carper,85,12,0.097255531304
Saxby_Chambliss,85,13,0.194440977861
Richard_Burr,85,14,0.165894013179
Robert_Casey,85,15,0.337991537023
John_Boozman,85,16,0.113217930842
Patty_Murray,85,17,0.204992949085
Mary_Landrieu,85,18,0.232161780271
Jerry_Moran,85,19,0.068211028166
Claire_McCaskill,85,20,0.30538599437
Mark_Udall,85,21,0.156949494966
Kay_Hagan,85,22,0.186813426044
John_Cornyn,85,23,0.131462815856
Michael_Crapo,85,24,0.11760415835
Bob_Corker,85,25,0.196480808565
John_Barrasso,85,26,0.15277021327
Michael_Enzi,85,27,0.176228588347
Thomas_Coburn,85,28,0.1050868625
Sheldon_Whitehouse,85,29,0.350927427358
Jeanne_Shaheen,85,30,0.303335589945
Martin_Heinrich,85,31,0.310013182129
Daniel_Coats,85,32,0.158470943134
Charles_Schumer,85,33,0.269905231122
Richard_Durbin,85,34,0.204306080614
Roy_Blunt,85,35,0.128450075767
Mark_Warner,85,36,0.213666177803
James_Risch,85,37,0.165895723036
Tim_Johnson,85,38,0.192498119472
Alan_Franken,85,39,0.336786186018
Mark_Begich,85,40,0.195950749608
Brian_Schatz,85,41,0.28124390951
Deb_Fischer,85,42,0.0957163296283
Kirsten_Gillibrand,85,43,0.389542024685
Tammy_Baldwin,85,44,0.287198056419
John_Walsh,85,45,0.203683394397
Mark_Kirk,85,46,0.211634245244
Dean_Heller,85,47,0.112311802557
Jeff_Flake,85,48,0.0514694641573
Thad_Cochran,85,49,0.176278717411
Mike_Johanns,85,50,0.0725625985288
Robert_Portman,85,51,0.179211418243
Edward_Markey,85,52,0.340583705037
Cory_Booker,85,53,0.329799227424
Roger_Wicker,85,54,0.158970609352
Benjamin_Cardin,85,55,0.343918802176
Tom_Udall,85,56,0.269090672926
Mike_Lee,85,57,0.0749198218471
Ted_Cruz,85,58,0.146033274011
Amy_Klobuchar,85,59,0.177120582773
Pat_Roberts,85,60,0.137465105975
Patrick_Leahy,85,61,0.281191916546
Orrin_Hatch,85,62,0.153232811235
Charles_Grassley,85,63,0.118363347671
Ron_Wyden,85,64,0.174451451674
Debbie_Stabenow,85,65,0.261665682726
Dianne_Feinstein,85,66,0.217603637527
John_Isakson,85,67,0.149991381813
Barbara_Boxer,85,68,0.2804029471
Chris_Coons,85,69,0.285259648559
John_McCain,85,70,0.0801698912109
Lisa_Murkowski,85,71,0.184320424858
John_Hoeven,85,72,0.151528885785
Jon_Tester,85,73,0.311660344218
Maria_Cantwell,85,74,0.191952716873
Heidi_Heitkamp,85,75,0.21746292955
Marco_Rubio,85,76,0.185944636411
Barbara_Mikulski,85,77,0.299209915079
Angus_King,85,78,0.228324682347
Mazie_Hirono,85,79,0.26689212635
John_Reed,85,80,0.278298619741
Tim_Scott,85,81,0.110085163878
Bill_Nelson,85,82,0.217161461234
Richard_Blumenthal,85,83,0.292456304007
Joe_Donnelly,85,84,0.144272666272
Elizabeth_Warren,85,85,1.0
Timothy_Kaine,85,86,0.213092264601
John_Thune,85,87,0.144718557586
Sherrod_Brown,85,88,0.36182175574
Michael_Bennet,85,89,0.329853031669
Richard_Shelby,85,90,0.0555469236147
Lamar_Alexander,85,91,0.187802946955
Lindsey_Graham,85,92,0.0774345060286
Jeff_Merkley,85,93,0.293433949455
Christopher_Murphy,85,94,0.32188253081
Kelly_Ayotte,85,95,0.192620957543
Joe_Manchin,85,96,0.18335843976
Patrick_Toomey,85,97,0.200867616116
Robert_MenÌ.ndez,85,98,0.262543345768
Ron_Johnson,85,99,0.0756399486593
Rand_Paul,85,100,0.0792507136595
