,source,target,value
Harry_Reid,0,0,1.0
Thomas_Harkin,0,1,0.193118586418
Max_Baucus,0,2,0.190733618047
Mitch_McConnell,0,3,0.446225940664
Mark_Pryor,0,4,0.321163426537
Susan_Collins,0,5,0.291366544604
Carl_Levin,0,6,0.127564968772
James_Inhofe,0,7,0.248615465767
Jefferson_Sessions,0,8,0.258468707168
David_Vitter,0,9,0.336070062584
John_Rockefeller,0,10,0.37829052796
Bernard_Sanders,0,11,0.116957398518
Thomas_Carper,0,12,0.269496033847
Saxby_Chambliss,0,13,0.2649326996
Richard_Burr,0,14,0.228039487407
Robert_Casey,0,15,0.141065276416
John_Boozman,0,16,0.278224394827
Patty_Murray,0,17,0.218634219368
Mary_Landrieu,0,18,0.156145286944
Jerry_Moran,0,19,0.199008286832
Claire_McCaskill,0,20,0.145730727621
Mark_Udall,0,21,0.366786818449
Kay_Hagan,0,22,0.187369236816
John_Cornyn,0,23,0.208778569478
Michael_Crapo,0,24,0.367445988893
Bob_Corker,0,25,0.273521540542
John_Barrasso,0,26,0.326034862566
Michael_Enzi,0,27,0.425106423526
Thomas_Coburn,0,28,0.162631000853
Sheldon_Whitehouse,0,29,0.221067897327
Jeanne_Shaheen,0,30,0.248708391314
Martin_Heinrich,0,31,0.177673928762
Daniel_Coats,0,32,0.331241644283
Charles_Schumer,0,33,0.151101426037
Richard_Durbin,0,34,0.247926181836
Roy_Blunt,0,35,0.227189594781
Mark_Warner,0,36,0.282724511878
James_Risch,0,37,0.343538585618
Tim_Johnson,0,38,0.351441967157
Alan_Franken,0,39,0.208478574396
Mark_Begich,0,40,0.126250741022
Brian_Schatz,0,41,0.237628421754
Deb_Fischer,0,42,0.23778436846
Kirsten_Gillibrand,0,43,0.0464981555194
Tammy_Baldwin,0,44,0.320676915242
John_Walsh,0,45,0.323946249171
Mark_Kirk,0,46,0.192727637748
Dean_Heller,0,47,0.184124578396
Jeff_Flake,0,48,0.26710979146
Thad_Cochran,0,49,0.277458530318
Mike_Johanns,0,50,0.167940741712
Robert_Portman,0,51,0.304688255605
Edward_Markey,0,52,0.0742514113246
Cory_Booker,0,53,0.192685297235
Roger_Wicker,0,54,0.400152171394
Benjamin_Cardin,0,55,0.201274404324
Tom_Udall,0,56,0.177429775214
Mike_Lee,0,57,0.189592864044
Ted_Cruz,0,58,0.0928077015014
Amy_Klobuchar,0,59,0.107764962209
Pat_Roberts,0,60,0.336360984718
Patrick_Leahy,0,61,0.162114608202
Orrin_Hatch,0,62,0.281255231385
Charles_Grassley,0,63,0.393449310594
Ron_Wyden,0,64,0.19997056003
Debbie_Stabenow,0,65,0.185716550008
Dianne_Feinstein,0,66,0.373729759485
John_Isakson,0,67,0.251500812576
Barbara_Boxer,0,68,0.0799930788613
Chris_Coons,0,69,0.128539458597
John_McCain,0,70,0.164570678047
Lisa_Murkowski,0,71,0.286363552165
John_Hoeven,0,72,0.264439130489
Jon_Tester,0,73,0.0509990716219
Maria_Cantwell,0,74,0.247493009557
Heidi_Heitkamp,0,75,0.154421998051
Marco_Rubio,0,76,0.164482815166
Barbara_Mikulski,0,77,0.093533279443
Angus_King,0,78,0.330422466621
Mazie_Hirono,0,79,0.35779482125
John_Reed,0,80,0.29640907694
Tim_Scott,0,81,0.292981996022
Bill_Nelson,0,82,0.213022700169
Richard_Blumenthal,0,83,0.136981712753
Joe_Donnelly,0,84,0.200164567881
Elizabeth_Warren,0,85,0.0805915491081
Timothy_Kaine,0,86,0.489060475853
John_Thune,0,87,0.499729486022
Sherrod_Brown,0,88,0.0978514651919
Michael_Bennet,0,89,0.330588149854
Richard_Shelby,0,90,0.0890871484703
Lamar_Alexander,0,91,0.439538937935
Lindsey_Graham,0,92,0.173193785205
Jeff_Merkley,0,93,0.0959258068703
Christopher_Murphy,0,94,0.158393593577
Kelly_Ayotte,0,95,0.32652145994
Joe_Manchin,0,96,0.421001811127
Patrick_Toomey,0,97,0.28030805105
Robert_MenÌ.ndez,0,98,0.196122847929
Ron_Johnson,0,99,0.149302596322
Rand_Paul,0,100,0.0
