,source,target,value
Harry_Reid,75,0,0.154421998051
Thomas_Harkin,75,1,0.167276231467
Max_Baucus,75,2,0.0392947217111
Mitch_McConnell,75,3,0.0435331201727
Mark_Pryor,75,4,0.104722691234
Susan_Collins,75,5,0.20131082041
Carl_Levin,75,6,0.0786135867714
James_Inhofe,75,7,0.087591626564
Jefferson_Sessions,75,8,0.186437391451
David_Vitter,75,9,0.122161546456
John_Rockefeller,75,10,0.11913388681
Bernard_Sanders,75,11,0.181639525984
Thomas_Carper,75,12,0.0407033041947
Saxby_Chambliss,75,13,0.139162494859
Richard_Burr,75,14,0.177452314238
Robert_Casey,75,15,0.237454290982
John_Boozman,75,16,0.0914562946364
Patty_Murray,75,17,0.0873726032429
Mary_Landrieu,75,18,0.191855418281
Jerry_Moran,75,19,0.0970263746257
Claire_McCaskill,75,20,0.0585624260488
Mark_Udall,75,21,0.055377452973
Kay_Hagan,75,22,0.166876228672
John_Cornyn,75,23,0.208031314135
Michael_Crapo,75,24,0.119014595801
Bob_Corker,75,25,0.21803710256
John_Barrasso,75,26,0.228816172234
Michael_Enzi,75,27,0.232908251056
Thomas_Coburn,75,28,0.0669292134833
Sheldon_Whitehouse,75,29,0.154884534206
Jeanne_Shaheen,75,30,0.160516709171
Martin_Heinrich,75,31,0.298990952352
Daniel_Coats,75,32,0.196865045286
Charles_Schumer,75,33,0.171872287855
Richard_Durbin,75,34,0.147648243182
Roy_Blunt,75,35,0.0918927379168
Mark_Warner,75,36,0.29871854631
James_Risch,75,37,0.238702979896
Tim_Johnson,75,38,0.0984066141438
Alan_Franken,75,39,0.184943971997
Mark_Begich,75,40,0.226016621244
Brian_Schatz,75,41,0.29545874524
Deb_Fischer,75,42,0.140531918707
Kirsten_Gillibrand,75,43,0.268243605604
Tammy_Baldwin,75,44,0.271323277303
John_Walsh,75,45,0.22986225705
Mark_Kirk,75,46,0.143629949736
Dean_Heller,75,47,0.12713918133
Jeff_Flake,75,48,0.0554489382157
Thad_Cochran,75,49,0.125983268377
Mike_Johanns,75,50,0.0326744737497
Robert_Portman,75,51,0.176372298828
Edward_Markey,75,52,0.19594203674
Cory_Booker,75,53,0.166349579523
Roger_Wicker,75,54,0.207446712046
Benjamin_Cardin,75,55,0.247385778913
Tom_Udall,75,56,0.244252151173
Mike_Lee,75,57,0.110121737086
Ted_Cruz,75,58,0.0169288455814
Amy_Klobuchar,75,59,0.109028552054
Pat_Roberts,75,60,0.115190011982
Patrick_Leahy,75,61,0.0630206646732
Orrin_Hatch,75,62,0.121826097635
Charles_Grassley,75,63,0.0873708718508
Ron_Wyden,75,64,0.223482979359
Debbie_Stabenow,75,65,0.0911196620705
Dianne_Feinstein,75,66,0.186947731454
John_Isakson,75,67,0.104962968794
Barbara_Boxer,75,68,0.136060889586
Chris_Coons,75,69,0.201290673711
John_McCain,75,70,0.107623220512
Lisa_Murkowski,75,71,0.191901845234
John_Hoeven,75,72,0.359130086868
Jon_Tester,75,73,0.2696999341
Maria_Cantwell,75,74,0.238841033643
Heidi_Heitkamp,75,75,1.0
Marco_Rubio,75,76,0.135467365139
Barbara_Mikulski,75,77,0.174052008947
Angus_King,75,78,0.154198285143
Mazie_Hirono,75,79,0.251437584818
John_Reed,75,80,0.164067796247
Tim_Scott,75,81,0.163864133975
Bill_Nelson,75,82,0.160004822362
Richard_Blumenthal,75,83,0.104059166507
Joe_Donnelly,75,84,0.126006094227
Elizabeth_Warren,75,85,0.21746292955
Timothy_Kaine,75,86,0.260386677093
John_Thune,75,87,0.20427009741
Sherrod_Brown,75,88,0.19264052743
Michael_Bennet,75,89,0.137219741729
Richard_Shelby,75,90,0.025285069406
Lamar_Alexander,75,91,0.106943401846
Lindsey_Graham,75,92,0.0817213646706
Jeff_Merkley,75,93,0.0778954035633
Christopher_Murphy,75,94,0.265825747527
Kelly_Ayotte,75,95,0.150303209497
Joe_Manchin,75,96,0.341912681033
Patrick_Toomey,75,97,0.192068928254
Robert_MenÌ.ndez,75,98,0.179994160099
Ron_Johnson,75,99,0.0075317982948
Rand_Paul,75,100,1.05428912532e-05
