,source,target,value
Harry_Reid,7,0,0.248615465767
Thomas_Harkin,7,1,0.12131964436
Max_Baucus,7,2,0.0550823665216
Mitch_McConnell,7,3,0.374913412591
Mark_Pryor,7,4,0.185492854259
Susan_Collins,7,5,0.294514184556
Carl_Levin,7,6,0.0260324301442
James_Inhofe,7,7,1.0
Jefferson_Sessions,7,8,0.242927301322
David_Vitter,7,9,0.230511715898
John_Rockefeller,7,10,0.105293018243
Bernard_Sanders,7,11,0.0300750480427
Thomas_Carper,7,12,0.130775146663
Saxby_Chambliss,7,13,0.238915763328
Richard_Burr,7,14,0.238208145426
Robert_Casey,7,15,0.178047844305
John_Boozman,7,16,0.220504181021
Patty_Murray,7,17,0.153735394059
Mary_Landrieu,7,18,0.133541924899
Jerry_Moran,7,19,0.294504159487
Claire_McCaskill,7,20,0.0250614183757
Mark_Udall,7,21,0.206764154561
Kay_Hagan,7,22,0.15784010544
John_Cornyn,7,23,0.222666660367
Michael_Crapo,7,24,0.238510813229
Bob_Corker,7,25,0.327802326115
John_Barrasso,7,26,0.254348974534
Michael_Enzi,7,27,0.368830487279
Thomas_Coburn,7,28,0.17420005307
Sheldon_Whitehouse,7,29,0.142533727043
Jeanne_Shaheen,7,30,0.179859467263
Martin_Heinrich,7,31,0.15397964862
Daniel_Coats,7,32,0.321923199189
Charles_Schumer,7,33,0.11195125417
Richard_Durbin,7,34,0.209018367628
Roy_Blunt,7,35,0.205409074476
Mark_Warner,7,36,0.18062423582
James_Risch,7,37,0.322005572884
Tim_Johnson,7,38,0.168147338346
Alan_Franken,7,39,0.149105948823
Mark_Begich,7,40,0.151832850124
Brian_Schatz,7,41,0.165413098871
Deb_Fischer,7,42,0.338535692081
Kirsten_Gillibrand,7,43,0.107940756461
Tammy_Baldwin,7,44,0.0828588217833
John_Walsh,7,45,0.260260962001
Mark_Kirk,7,46,0.252754178302
Dean_Heller,7,47,0.202050962256
Jeff_Flake,7,48,0.31939544993
Thad_Cochran,7,49,0.238513478127
Mike_Johanns,7,50,0.227212601356
Robert_Portman,7,51,0.275573889274
Edward_Markey,7,52,0.0762504879936
Cory_Booker,7,53,0.0571538737141
Roger_Wicker,7,54,0.28426597813
Benjamin_Cardin,7,55,0.133335350058
Tom_Udall,7,56,0.120806632776
Mike_Lee,7,57,0.237755791821
Ted_Cruz,7,58,0.0746082144603
Amy_Klobuchar,7,59,0.0963944296468
Pat_Roberts,7,60,0.343775674262
Patrick_Leahy,7,61,0.0129203743417
Orrin_Hatch,7,62,0.289625881785
Charles_Grassley,7,63,0.237098971455
Ron_Wyden,7,64,0.0120954459059
Debbie_Stabenow,7,65,0.139246969513
Dianne_Feinstein,7,66,0.132019334841
John_Isakson,7,67,0.220235130119
Barbara_Boxer,7,68,0.0880659716471
Chris_Coons,7,69,0.149469673768
John_McCain,7,70,0.186695682437
Lisa_Murkowski,7,71,0.307704240356
John_Hoeven,7,72,0.382764370121
Jon_Tester,7,73,0.110290465743
Maria_Cantwell,7,74,0.100270484407
Heidi_Heitkamp,7,75,0.087591626564
Marco_Rubio,7,76,0.237792431584
Barbara_Mikulski,7,77,0.0682858633404
Angus_King,7,78,0.165007864495
Mazie_Hirono,7,79,0.193902137329
John_Reed,7,80,0.142232205737
Tim_Scott,7,81,0.327262415243
Bill_Nelson,7,82,0.207441428141
Richard_Blumenthal,7,83,0.116851559246
Joe_Donnelly,7,84,0.0924366846645
Elizabeth_Warren,7,85,0.114875866416
Timothy_Kaine,7,86,0.184530517452
John_Thune,7,87,0.340203850583
Sherrod_Brown,7,88,0.079618396873
Michael_Bennet,7,89,0.242347248607
Richard_Shelby,7,90,0.0241823655092
Lamar_Alexander,7,91,0.359275577605
Lindsey_Graham,7,92,0.153443885942
Jeff_Merkley,7,93,0.0471453123588
Christopher_Murphy,7,94,0.112593215363
Kelly_Ayotte,7,95,0.22005383631
Joe_Manchin,7,96,0.226499817762
Patrick_Toomey,7,97,0.241605339075
Robert_MenÌ.ndez,7,98,0.103121466536
Ron_Johnson,7,99,0.0466312457632
Rand_Paul,7,100,0.194419650477
