,source,target,value
Harry_Reid,37,0,0.343538585618
Thomas_Harkin,37,1,0.263503430671
Max_Baucus,37,2,0.129466263728
Mitch_McConnell,37,3,0.375600866698
Mark_Pryor,37,4,0.278920233189
Susan_Collins,37,5,0.296622551819
Carl_Levin,37,6,0.0676578936929
James_Inhofe,37,7,0.322005572884
Jefferson_Sessions,37,8,0.5379730032
David_Vitter,37,9,0.317236007524
John_Rockefeller,37,10,0.180954769854
Bernard_Sanders,37,11,0.0390080323985
Thomas_Carper,37,12,0.213366382971
Saxby_Chambliss,37,13,0.438822759436
Richard_Burr,37,14,0.406552145842
Robert_Casey,37,15,0.335512642555
John_Boozman,37,16,0.237460157763
Patty_Murray,37,17,0.205894039573
Mary_Landrieu,37,18,0.264273281258
Jerry_Moran,37,19,0.258663373134
Claire_McCaskill,37,20,0.0773651173932
Mark_Udall,37,21,0.261596134176
Kay_Hagan,37,22,0.232453036496
John_Cornyn,37,23,0.440710320131
Michael_Crapo,37,24,0.498779562488
Bob_Corker,37,25,0.632066387311
John_Barrasso,37,26,0.572444638057
Michael_Enzi,37,27,0.407989901982
Thomas_Coburn,37,28,0.210305294564
Sheldon_Whitehouse,37,29,0.270713087687
Jeanne_Shaheen,37,30,0.262000428876
Martin_Heinrich,37,31,0.238653627179
Daniel_Coats,37,32,0.593275117337
Charles_Schumer,37,33,0.201185583077
Richard_Durbin,37,34,0.345293928953
Roy_Blunt,37,35,0.265618310779
Mark_Warner,37,36,0.305053541064
James_Risch,37,37,1.0
Tim_Johnson,37,38,0.294786731642
Alan_Franken,37,39,0.316068565186
Mark_Begich,37,40,0.211341744675
Brian_Schatz,37,41,0.236865358315
Deb_Fischer,37,42,0.255440107918
Kirsten_Gillibrand,37,43,0.200084293269
Tammy_Baldwin,37,44,0.182244720873
John_Walsh,37,45,0.304355399084
Mark_Kirk,37,46,0.302073886424
Dean_Heller,37,47,0.293553182839
Jeff_Flake,37,48,0.296952318741
Thad_Cochran,37,49,0.381271373865
Mike_Johanns,37,50,0.214873099546
Robert_Portman,37,51,0.26531696861
Edward_Markey,37,52,0.0868492221134
Cory_Booker,37,53,0.0854383115496
Roger_Wicker,37,54,0.323039704194
Benjamin_Cardin,37,55,0.283988071843
Tom_Udall,37,56,0.140309129755
Mike_Lee,37,57,0.11489601116
Ted_Cruz,37,58,0.133710575538
Amy_Klobuchar,37,59,0.12724100952
Pat_Roberts,37,60,0.412744767539
Patrick_Leahy,37,61,0.0414801397912
Orrin_Hatch,37,62,0.369364002748
Charles_Grassley,37,63,0.19903908837
Ron_Wyden,37,64,0.0898556880858
Debbie_Stabenow,37,65,0.1872448444
Dianne_Feinstein,37,66,0.226311620222
John_Isakson,37,67,0.173284861107
Barbara_Boxer,37,68,0.177181470615
Chris_Coons,37,69,0.225776811363
John_McCain,37,70,0.33554166989
Lisa_Murkowski,37,71,0.348435096592
John_Hoeven,37,72,0.438870515326
Jon_Tester,37,73,0.22763242448
Maria_Cantwell,37,74,0.112571051055
Heidi_Heitkamp,37,75,0.238702979896
Marco_Rubio,37,76,0.339727147124
Barbara_Mikulski,37,77,0.149349575455
Angus_King,37,78,0.294127085155
Mazie_Hirono,37,79,0.302492574896
John_Reed,37,80,0.302045390846
Tim_Scott,37,81,0.375683522211
Bill_Nelson,37,82,0.284869638637
Richard_Blumenthal,37,83,0.246219623219
Joe_Donnelly,37,84,0.0784315455002
Elizabeth_Warren,37,85,0.165895723036
Timothy_Kaine,37,86,0.230945241265
John_Thune,37,87,0.312386373602
Sherrod_Brown,37,88,0.171680872355
Michael_Bennet,37,89,0.245497173819
Richard_Shelby,37,90,0.083152705521
Lamar_Alexander,37,91,0.441455396715
Lindsey_Graham,37,92,0.242994414765
Jeff_Merkley,37,93,0.0711727914957
Christopher_Murphy,37,94,0.207179243075
Kelly_Ayotte,37,95,0.194962528297
Joe_Manchin,37,96,0.486078242395
Patrick_Toomey,37,97,0.349173910682
Robert_MenÌ.ndez,37,98,0.154086439463
Ron_Johnson,37,99,0.0555100095931
Rand_Paul,37,100,0.118397368753
