,source,target,value
Harry_Reid,30,0,0.248708391314
Thomas_Harkin,30,1,0.202313214634
Max_Baucus,30,2,0.0806583891829
Mitch_McConnell,30,3,0.273144422506
Mark_Pryor,30,4,0.327502067179
Susan_Collins,30,5,0.275433732079
Carl_Levin,30,6,0.0867464635515
James_Inhofe,30,7,0.179859467263
Jefferson_Sessions,30,8,0.246581332505
David_Vitter,30,9,0.1595121564
John_Rockefeller,30,10,0.231688515102
Bernard_Sanders,30,11,0.171186188889
Thomas_Carper,30,12,0.225041289676
Saxby_Chambliss,30,13,0.211563320978
Richard_Burr,30,14,0.300230640713
Robert_Casey,30,15,0.268128880721
John_Boozman,30,16,0.247507646779
Patty_Murray,30,17,0.167679908945
Mary_Landrieu,30,18,0.338567470685
Jerry_Moran,30,19,0.210910800199
Claire_McCaskill,30,20,0.235576804436
Mark_Udall,30,21,0.362090234245
Kay_Hagan,30,22,0.283510758588
John_Cornyn,30,23,0.184418090175
Michael_Crapo,30,24,0.235793510764
Bob_Corker,30,25,0.29543311949
John_Barrasso,30,26,0.24042848975
Michael_Enzi,30,27,0.227577801139
Thomas_Coburn,30,28,0.208881999305
Sheldon_Whitehouse,30,29,0.332922746836
Jeanne_Shaheen,30,30,1.0
Martin_Heinrich,30,31,0.237225274562
Daniel_Coats,30,32,0.242369911149
Charles_Schumer,30,33,0.270373842024
Richard_Durbin,30,34,0.255777850931
Roy_Blunt,30,35,0.187688092349
Mark_Warner,30,36,0.359243668985
James_Risch,30,37,0.262000428876
Tim_Johnson,30,38,0.204653262057
Alan_Franken,30,39,0.329634735383
Mark_Begich,30,40,0.234714008948
Brian_Schatz,30,41,0.27133353456
Deb_Fischer,30,42,0.174694813575
Kirsten_Gillibrand,30,43,0.350645113969
Tammy_Baldwin,30,44,0.188953471589
John_Walsh,30,45,0.271062370079
Mark_Kirk,30,46,0.244475056508
Dean_Heller,30,47,0.260353032423
Jeff_Flake,30,48,0.162353930348
Thad_Cochran,30,49,0.226245385238
Mike_Johanns,30,50,0.205610490737
Robert_Portman,30,51,0.24614239327
Edward_Markey,30,52,0.193628457825
Cory_Booker,30,53,0.242936088613
Roger_Wicker,30,54,0.197671739107
Benjamin_Cardin,30,55,0.340380704198
Tom_Udall,30,56,0.22861794199
Mike_Lee,30,57,0.162845123845
Ted_Cruz,30,58,0.0899092094534
Amy_Klobuchar,30,59,0.224004155444
Pat_Roberts,30,60,0.242796427974
Patrick_Leahy,30,61,0.18922463781
Orrin_Hatch,30,62,0.215206423485
Charles_Grassley,30,63,0.219176264507
Ron_Wyden,30,64,0.14430459518
Debbie_Stabenow,30,65,0.292474683157
Dianne_Feinstein,30,66,0.22815641637
John_Isakson,30,67,0.205843414956
Barbara_Boxer,30,68,0.269415094926
Chris_Coons,30,69,0.254636442409
John_McCain,30,70,0.172374158678
Lisa_Murkowski,30,71,0.210986945133
John_Hoeven,30,72,0.252450375594
Jon_Tester,30,73,0.245343287542
Maria_Cantwell,30,74,0.230730352461
Heidi_Heitkamp,30,75,0.160516709171
Marco_Rubio,30,76,0.157592060821
Barbara_Mikulski,30,77,0.181960485967
Angus_King,30,78,0.385662003089
Mazie_Hirono,30,79,0.330053743038
John_Reed,30,80,0.349242527335
Tim_Scott,30,81,0.257378412699
Bill_Nelson,30,82,0.270374928696
Richard_Blumenthal,30,83,0.31383917792
Joe_Donnelly,30,84,0.215131052347
Elizabeth_Warren,30,85,0.303335589945
Timothy_Kaine,30,86,0.205094692608
John_Thune,30,87,0.184769231265
Sherrod_Brown,30,88,0.230764628588
Michael_Bennet,30,89,0.34368430426
Richard_Shelby,30,90,0.0523585675352
Lamar_Alexander,30,91,0.29362658289
Lindsey_Graham,30,92,0.210862835709
Jeff_Merkley,30,93,0.345211686532
Christopher_Murphy,30,94,0.262272669381
Kelly_Ayotte,30,95,0.260706059984
Joe_Manchin,30,96,0.249982337867
Patrick_Toomey,30,97,0.181678501489
Robert_MenÌ.ndez,30,98,0.293925393181
Ron_Johnson,30,99,0.129428124133
Rand_Paul,30,100,0.131856780325
