,source,target,value
Harry_Reid,48,0,0.26710979146
Thomas_Harkin,48,1,0.114798468327
Max_Baucus,48,2,0.160467995334
Mitch_McConnell,48,3,0.39526258941
Mark_Pryor,48,4,0.182516530285
Susan_Collins,48,5,0.211259156535
Carl_Levin,48,6,0.0584177417179
James_Inhofe,48,7,0.31939544993
Jefferson_Sessions,48,8,0.254010050006
David_Vitter,48,9,0.327131885902
John_Rockefeller,48,10,0.16392076656
Bernard_Sanders,48,11,0.0450100411185
Thomas_Carper,48,12,0.138709602238
Saxby_Chambliss,48,13,0.256843694473
Richard_Burr,48,14,0.45979179229
Robert_Casey,48,15,0.151008886023
John_Boozman,48,16,0.20921301623
Patty_Murray,48,17,0.287946593959
Mary_Landrieu,48,18,0.156481739147
Jerry_Moran,48,19,0.308044123905
Claire_McCaskill,48,20,0.0685650580251
Mark_Udall,48,21,0.295397306261
Kay_Hagan,48,22,0.206749991012
John_Cornyn,48,23,0.240355200487
Michael_Crapo,48,24,0.36777815014
Bob_Corker,48,25,0.282219609186
John_Barrasso,48,26,0.248585863969
Michael_Enzi,48,27,0.234594336922
Thomas_Coburn,48,28,0.0547178163094
Sheldon_Whitehouse,48,29,0.156537016415
Jeanne_Shaheen,48,30,0.162353930348
Martin_Heinrich,48,31,0.0590466107623
Daniel_Coats,48,32,0.366678116349
Charles_Schumer,48,33,0.122387680551
Richard_Durbin,48,34,0.150350645198
Roy_Blunt,48,35,0.240831060188
Mark_Warner,48,36,0.144318776288
James_Risch,48,37,0.296952318741
Tim_Johnson,48,38,0.247143835043
Alan_Franken,48,39,0.142314969126
Mark_Begich,48,40,0.108521778963
Brian_Schatz,48,41,0.153858854999
Deb_Fischer,48,42,0.206953991218
Kirsten_Gillibrand,48,43,0.0677668882337
Tammy_Baldwin,48,44,0.147681751426
John_Walsh,48,45,0.148270042137
Mark_Kirk,48,46,0.211685801812
Dean_Heller,48,47,0.227319037824
Jeff_Flake,48,48,1.0
Thad_Cochran,48,49,0.20404356201
Mike_Johanns,48,50,0.307809751785
Robert_Portman,48,51,0.166004456655
Edward_Markey,48,52,0.0433725908523
Cory_Booker,48,53,0.0726360771161
Roger_Wicker,48,54,0.189656097841
Benjamin_Cardin,48,55,0.222099275247
Tom_Udall,48,56,0.146928704925
Mike_Lee,48,57,0.18027403483
Ted_Cruz,48,58,0.204123493204
Amy_Klobuchar,48,59,0.0981977053196
Pat_Roberts,48,60,0.245374653127
Patrick_Leahy,48,61,0.022432505449
Orrin_Hatch,48,62,0.191325483859
Charles_Grassley,48,63,0.140903850853
Ron_Wyden,48,64,0.0637117824188
Debbie_Stabenow,48,65,0.11552587031
Dianne_Feinstein,48,66,0.120730903671
John_Isakson,48,67,0.188098666377
Barbara_Boxer,48,68,0.0278145817199
Chris_Coons,48,69,0.142105037776
John_McCain,48,70,0.417351237566
Lisa_Murkowski,48,71,0.176392090517
John_Hoeven,48,72,0.244950671774
Jon_Tester,48,73,0.0357039492745
Maria_Cantwell,48,74,0.15376973914
Heidi_Heitkamp,48,75,0.0554489382157
Marco_Rubio,48,76,0.300241726888
Barbara_Mikulski,48,77,0.0372645995483
Angus_King,48,78,0.282146325361
Mazie_Hirono,48,79,0.201769579843
John_Reed,48,80,0.204785859265
Tim_Scott,48,81,0.400508867168
Bill_Nelson,48,82,0.122641042469
Richard_Blumenthal,48,83,0.139611592888
Joe_Donnelly,48,84,0.0373291801002
Elizabeth_Warren,48,85,0.0514694641573
Timothy_Kaine,48,86,0.329671936558
John_Thune,48,87,0.307163903798
Sherrod_Brown,48,88,0.057677735939
Michael_Bennet,48,89,0.175184035194
Richard_Shelby,48,90,0.108429043204
Lamar_Alexander,48,91,0.269562721696
Lindsey_Graham,48,92,0.328814637846
Jeff_Merkley,48,93,0.0930399075988
Christopher_Murphy,48,94,0.111347398536
Kelly_Ayotte,48,95,0.133087208841
Joe_Manchin,48,96,0.231688072295
Patrick_Toomey,48,97,0.210878125177
Robert_MenÌ.ndez,48,98,0.0629273980853
Ron_Johnson,48,99,0.12183347889
Rand_Paul,48,100,0.0491843188429
