,source,target,value
Harry_Reid,93,0,0.0959258068703
Thomas_Harkin,93,1,0.115028211332
Max_Baucus,93,2,0.05414014666
Mitch_McConnell,93,3,0.13173308805
Mark_Pryor,93,4,0.210993727961
Susan_Collins,93,5,0.19523577404
Carl_Levin,93,6,0.0828320495474
James_Inhofe,93,7,0.0471453123588
Jefferson_Sessions,93,8,0.0240936236345
David_Vitter,93,9,0.141863893131
John_Rockefeller,93,10,0.231280448734
Bernard_Sanders,93,11,0.196800015657
Thomas_Carper,93,12,0.143849423433
Saxby_Chambliss,93,13,0.0844111000455
Richard_Burr,93,14,0.162083801804
Robert_Casey,93,15,0.193979973094
John_Boozman,93,16,0.0908293732976
Patty_Murray,93,17,0.18383741348
Mary_Landrieu,93,18,0.218350493872
Jerry_Moran,93,19,0.182433360055
Claire_McCaskill,93,20,0.315348502467
Mark_Udall,93,21,0.234281942936
Kay_Hagan,93,22,0.0677382824971
John_Cornyn,93,23,0.0533496261103
Michael_Crapo,93,24,0.133614875023
Bob_Corker,93,25,0.0597897915921
John_Barrasso,93,26,0.115138659265
Michael_Enzi,93,27,0.077367671805
Thomas_Coburn,93,28,0.190824444419
Sheldon_Whitehouse,93,29,0.252708104353
Jeanne_Shaheen,93,30,0.345211686532
Martin_Heinrich,93,31,0.20451287624
Daniel_Coats,93,32,0.0655910441243
Charles_Schumer,93,33,0.130691736
Richard_Durbin,93,34,0.167087190783
Roy_Blunt,93,35,0.160757612316
Mark_Warner,93,36,0.12830341522
James_Risch,93,37,0.0711727914957
Tim_Johnson,93,38,0.297356617073
Alan_Franken,93,39,0.225857367009
Mark_Begich,93,40,0.210393694359
Brian_Schatz,93,41,0.205146514725
Deb_Fischer,93,42,0.0774402075787
Kirsten_Gillibrand,93,43,0.291831214939
Tammy_Baldwin,93,44,0.153103782535
John_Walsh,93,45,0.10926850734
Mark_Kirk,93,46,0.145558322029
Dean_Heller,93,47,0.0751580249965
Jeff_Flake,93,48,0.0930399075988
Thad_Cochran,93,49,0.113439790424
Mike_Johanns,93,50,0.0711960697924
Robert_Portman,93,51,0.147546297957
Edward_Markey,93,52,0.250651422196
Cory_Booker,93,53,0.272433652368
Roger_Wicker,93,54,0.108337625721
Benjamin_Cardin,93,55,0.311861165999
Tom_Udall,93,56,0.208886682708
Mike_Lee,93,57,0.103431913381
Ted_Cruz,93,58,0.0973310229624
Amy_Klobuchar,93,59,0.174725902398
Pat_Roberts,93,60,0.121522778012
Patrick_Leahy,93,61,0.329056574587
Orrin_Hatch,93,62,0.0581599271561
Charles_Grassley,93,63,0.142805626431
Ron_Wyden,93,64,0.261359449508
Debbie_Stabenow,93,65,0.293406599212
Dianne_Feinstein,93,66,0.182858051436
John_Isakson,93,67,0.163110915343
Barbara_Boxer,93,68,0.215750231641
Chris_Coons,93,69,0.225221306927
John_McCain,93,70,0.112514280377
Lisa_Murkowski,93,71,0.151931191251
John_Hoeven,93,72,0.0958616710025
Jon_Tester,93,73,0.14260125864
Maria_Cantwell,93,74,0.218408374683
Heidi_Heitkamp,93,75,0.0778954035633
Marco_Rubio,93,76,0.0513747115567
Barbara_Mikulski,93,77,0.171382570061
Angus_King,93,78,0.221457304427
Mazie_Hirono,93,79,0.231831035618
John_Reed,93,80,0.183090890432
Tim_Scott,93,81,0.109888481939
Bill_Nelson,93,82,0.0970693859994
Richard_Blumenthal,93,83,0.350268277642
Joe_Donnelly,93,84,0.12052305153
Elizabeth_Warren,93,85,0.293433949455
Timothy_Kaine,93,86,0.102041301784
John_Thune,93,87,0.0439855701574
Sherrod_Brown,93,88,0.225497738827
Michael_Bennet,93,89,0.275177567714
Richard_Shelby,93,90,0.0205004779551
Lamar_Alexander,93,91,0.112614037682
Lindsey_Graham,93,92,0.0953813411208
Jeff_Merkley,93,93,1.0
Christopher_Murphy,93,94,0.285270772028
Kelly_Ayotte,93,95,0.114433786488
Joe_Manchin,93,96,0.0947863897263
Patrick_Toomey,93,97,0.0477040058323
Robert_MenÌ.ndez,93,98,0.152523808841
Ron_Johnson,93,99,0.0857207836613
Rand_Paul,93,100,0.0895060335565
