,source,target,value
Harry_Reid,8,0,0.258468707168
Thomas_Harkin,8,1,0.249413478667
Max_Baucus,8,2,0.0300161385486
Mitch_McConnell,8,3,0.322571052594
Mark_Pryor,8,4,0.256207402962
Susan_Collins,8,5,0.417335886594
Carl_Levin,8,6,0.0442681863348
James_Inhofe,8,7,0.242927301322
Jefferson_Sessions,8,8,1.0
David_Vitter,8,9,0.294323474102
John_Rockefeller,8,10,0.149479080532
Bernard_Sanders,8,11,0.0215194767197
Thomas_Carper,8,12,0.227191081263
Saxby_Chambliss,8,13,0.341183278767
Richard_Burr,8,14,0.326615051174
Robert_Casey,8,15,0.293027224317
John_Boozman,8,16,0.204203529796
Patty_Murray,8,17,0.137857594228
Mary_Landrieu,8,18,0.170993822698
Jerry_Moran,8,19,0.251269107505
Claire_McCaskill,8,20,0.0761444863387
Mark_Udall,8,21,0.199779159066
Kay_Hagan,8,22,0.176076239
John_Cornyn,8,23,0.388921582714
Michael_Crapo,8,24,0.400248421702
Bob_Corker,8,25,0.64279738778
John_Barrasso,8,26,0.51752247821
Michael_Enzi,8,27,0.447954339923
Thomas_Coburn,8,28,0.129460256265
Sheldon_Whitehouse,8,29,0.213634519392
Jeanne_Shaheen,8,30,0.246581332505
Martin_Heinrich,8,31,0.207001594061
Daniel_Coats,8,32,0.594018038035
Charles_Schumer,8,33,0.190110273111
Richard_Durbin,8,34,0.352821237154
Roy_Blunt,8,35,0.239748254667
Mark_Warner,8,36,0.304548815416
James_Risch,8,37,0.5379730032
Tim_Johnson,8,38,0.224213453758
Alan_Franken,8,39,0.271438498473
Mark_Begich,8,40,0.184185541003
Brian_Schatz,8,41,0.201752211349
Deb_Fischer,8,42,0.171952701414
Kirsten_Gillibrand,8,43,0.187879232904
Tammy_Baldwin,8,44,0.131829759345
John_Walsh,8,45,0.237545851669
Mark_Kirk,8,46,0.316999372884
Dean_Heller,8,47,0.253724791247
Jeff_Flake,8,48,0.254010050006
Thad_Cochran,8,49,0.372195865564
Mike_Johanns,8,50,0.17371399695
Robert_Portman,8,51,0.327451751222
Edward_Markey,8,52,0.0656775517484
Cory_Booker,8,53,0.0916296893758
Roger_Wicker,8,54,0.247405151067
Benjamin_Cardin,8,55,0.277230949669
Tom_Udall,8,56,0.110536884236
Mike_Lee,8,57,0.0848124646575
Ted_Cruz,8,58,0.142382331545
Amy_Klobuchar,8,59,0.0891500522989
Pat_Roberts,8,60,0.415527731262
Patrick_Leahy,8,61,0.00602362263789
Orrin_Hatch,8,62,0.362226111419
Charles_Grassley,8,63,0.133588984032
Ron_Wyden,8,64,0.0792946993965
Debbie_Stabenow,8,65,0.145170049934
Dianne_Feinstein,8,66,0.171221181853
John_Isakson,8,67,0.176186300165
Barbara_Boxer,8,68,0.169145757707
Chris_Coons,8,69,0.253702126496
John_McCain,8,70,0.298584120575
Lisa_Murkowski,8,71,0.331937207935
John_Hoeven,8,72,0.372537513116
Jon_Tester,8,73,0.199512632011
Maria_Cantwell,8,74,0.0352016619471
Heidi_Heitkamp,8,75,0.186437391451
Marco_Rubio,8,76,0.339977271115
Barbara_Mikulski,8,77,0.123772862124
Angus_King,8,78,0.274785478719
Mazie_Hirono,8,79,0.265801534327
John_Reed,8,80,0.271792631096
Tim_Scott,8,81,0.305435826413
Bill_Nelson,8,82,0.267998145967
Richard_Blumenthal,8,83,0.225656562825
Joe_Donnelly,8,84,0.0234819084859
Elizabeth_Warren,8,85,0.212907772136
Timothy_Kaine,8,86,0.247375448217
John_Thune,8,87,0.297724847612
Sherrod_Brown,8,88,0.226131580462
Michael_Bennet,8,89,0.250561114517
Richard_Shelby,8,90,0.218780336927
Lamar_Alexander,8,91,0.419585714551
Lindsey_Graham,8,92,0.1956042336
Jeff_Merkley,8,93,0.0240936236345
Christopher_Murphy,8,94,0.16316156954
Kelly_Ayotte,8,95,0.156787805416
Joe_Manchin,8,96,0.412337609966
Patrick_Toomey,8,97,0.452947055411
Robert_MenÌ.ndez,8,98,0.123051921828
Ron_Johnson,8,99,0.0953623233558
Rand_Paul,8,100,0.0825006407127
