,source,target,value
Harry_Reid,19,0,0.199008286832
Thomas_Harkin,19,1,0.169393538481
Max_Baucus,19,2,0.0379072633181
Mitch_McConnell,19,3,0.22179687113
Mark_Pryor,19,4,0.152861713866
Susan_Collins,19,5,0.23256752725
Carl_Levin,19,6,0.028373855742
James_Inhofe,19,7,0.294504159487
Jefferson_Sessions,19,8,0.251269107505
David_Vitter,19,9,0.22736453517
John_Rockefeller,19,10,0.143753034767
Bernard_Sanders,19,11,0.0636444467495
Thomas_Carper,19,12,0.143329702734
Saxby_Chambliss,19,13,0.241869646636
Richard_Burr,19,14,0.325098550361
Robert_Casey,19,15,0.151040256872
John_Boozman,19,16,0.289900293192
Patty_Murray,19,17,0.210295864492
Mary_Landrieu,19,18,0.131101887205
Jerry_Moran,19,19,1.0
Claire_McCaskill,19,20,0.0469242487295
Mark_Udall,19,21,0.231484361676
Kay_Hagan,19,22,0.168724949899
John_Cornyn,19,23,0.312836036733
Michael_Crapo,19,24,0.33194774889
Bob_Corker,19,25,0.242521391731
John_Barrasso,19,26,0.298921387068
Michael_Enzi,19,27,0.293241732014
Thomas_Coburn,19,28,0.0819617439738
Sheldon_Whitehouse,19,29,0.153236537066
Jeanne_Shaheen,19,30,0.210910800199
Martin_Heinrich,19,31,0.132889013266
Daniel_Coats,19,32,0.408871261202
Charles_Schumer,19,33,0.142923339341
Richard_Durbin,19,34,0.149598389243
Roy_Blunt,19,35,0.270033171447
Mark_Warner,19,36,0.190496786786
James_Risch,19,37,0.258663373134
Tim_Johnson,19,38,0.222472055025
Alan_Franken,19,39,0.170473212007
Mark_Begich,19,40,0.106908824612
Brian_Schatz,19,41,0.195767104079
Deb_Fischer,19,42,0.215532624547
Kirsten_Gillibrand,19,43,0.0776748170831
Tammy_Baldwin,19,44,0.140364087843
John_Walsh,19,45,0.164405936611
Mark_Kirk,19,46,0.240311310879
Dean_Heller,19,47,0.253789275453
Jeff_Flake,19,48,0.308044123905
Thad_Cochran,19,49,0.329850783776
Mike_Johanns,19,50,0.203769498608
Robert_Portman,19,51,0.201962678819
Edward_Markey,19,52,0.0702486601642
Cory_Booker,19,53,0.118920760382
Roger_Wicker,19,54,0.272098663566
Benjamin_Cardin,19,55,0.247676458027
Tom_Udall,19,56,0.0529454954385
Mike_Lee,19,57,0.0515956521642
Ted_Cruz,19,58,0.191265386937
Amy_Klobuchar,19,59,0.105259632944
Pat_Roberts,19,60,0.344629423743
Patrick_Leahy,19,61,0.0613400440547
Orrin_Hatch,19,62,0.252021331534
Charles_Grassley,19,63,0.0866614085332
Ron_Wyden,19,64,0.0613565363638
Debbie_Stabenow,19,65,0.13690668758
Dianne_Feinstein,19,66,0.132118219656
John_Isakson,19,67,0.306634822736
Barbara_Boxer,19,68,0.115730064978
Chris_Coons,19,69,0.131996081648
John_McCain,19,70,0.310067017289
Lisa_Murkowski,19,71,0.216431715177
John_Hoeven,19,72,0.259898564406
Jon_Tester,19,73,0.13111040099
Maria_Cantwell,19,74,0.165717864382
Heidi_Heitkamp,19,75,0.0970263746257
Marco_Rubio,19,76,0.204931330235
Barbara_Mikulski,19,77,0.109667872102
Angus_King,19,78,0.259118009668
Mazie_Hirono,19,79,0.2481060764
John_Reed,19,80,0.179637797469
Tim_Scott,19,81,0.287983008065
Bill_Nelson,19,82,0.142741773415
Richard_Blumenthal,19,83,0.128913943364
Joe_Donnelly,19,84,0.04686566109
Elizabeth_Warren,19,85,0.068211028166
Timothy_Kaine,19,86,0.147032996062
John_Thune,19,87,0.158965833704
Sherrod_Brown,19,88,0.10352885846
Michael_Bennet,19,89,0.126332085752
Richard_Shelby,19,90,0.0484603703711
Lamar_Alexander,19,91,0.224398818842
Lindsey_Graham,19,92,0.399341790179
Jeff_Merkley,19,93,0.182433360055
Christopher_Murphy,19,94,0.104369158722
Kelly_Ayotte,19,95,0.19429217425
Joe_Manchin,19,96,0.209266806588
Patrick_Toomey,19,97,0.279037511737
Robert_MenÌ.ndez,19,98,0.0894584925272
Ron_Johnson,19,99,0.105009944419
Rand_Paul,19,100,0.02927171916
