,source,target,value
Harry_Reid,84,0,0.200164567881
Thomas_Harkin,84,1,0.122131116101
Max_Baucus,84,2,0.0478205739284
Mitch_McConnell,84,3,0.0867296526984
Mark_Pryor,84,4,0.315577925594
Susan_Collins,84,5,0.0794731541844
Carl_Levin,84,6,0.0937990952187
James_Inhofe,84,7,0.0924366846645
Jefferson_Sessions,84,8,0.0234819084859
David_Vitter,84,9,0.110752581326
John_Rockefeller,84,10,0.179079813821
Bernard_Sanders,84,11,0.212633702314
Thomas_Carper,84,12,0.263207397607
Saxby_Chambliss,84,13,0.134260798127
Richard_Burr,84,14,0.164241270816
Robert_Casey,84,15,0.315397781547
John_Boozman,84,16,0.275370851022
Patty_Murray,84,17,0.111783360817
Mary_Landrieu,84,18,0.105298105956
Jerry_Moran,84,19,0.04686566109
Claire_McCaskill,84,20,0.128611497053
Mark_Udall,84,21,0.280125604924
Kay_Hagan,84,22,0.167206488966
John_Cornyn,84,23,0.104733344465
Michael_Crapo,84,24,0.215918897262
Bob_Corker,84,25,0.0137290087894
John_Barrasso,84,26,0.12958459716
Michael_Enzi,84,27,0.114557556888
Thomas_Coburn,84,28,0.171199340188
Sheldon_Whitehouse,84,29,0.248457418049
Jeanne_Shaheen,84,30,0.215131052347
Martin_Heinrich,84,31,0.125894694739
Daniel_Coats,84,32,0.0176174268688
Charles_Schumer,84,33,0.347152259408
Richard_Durbin,84,34,0.0634693829039
Roy_Blunt,84,35,0.073289641943
Mark_Warner,84,36,0.242386174071
James_Risch,84,37,0.0784315455002
Tim_Johnson,84,38,0.142913232955
Alan_Franken,84,39,0.157616006961
Mark_Begich,84,40,0.185761654632
Brian_Schatz,84,41,0.246738648746
Deb_Fischer,84,42,0.081878747083
Kirsten_Gillibrand,84,43,0.10911446792
Tammy_Baldwin,84,44,0.218707704008
John_Walsh,84,45,0.202385424914
Mark_Kirk,84,46,0.140762352611
Dean_Heller,84,47,0.15439824066
Jeff_Flake,84,48,0.0373291801002
Thad_Cochran,84,49,0.13988981913
Mike_Johanns,84,50,0.177936161477
Robert_Portman,84,51,0.152460579689
Edward_Markey,84,52,0.155729874094
Cory_Booker,84,53,0.128123232995
Roger_Wicker,84,54,0.173698652067
Benjamin_Cardin,84,55,0.0947477849628
Tom_Udall,84,56,0.249956597102
Mike_Lee,84,57,0.0831284903164
Ted_Cruz,84,58,0.0386352446978
Amy_Klobuchar,84,59,0.172765013822
Pat_Roberts,84,60,0.0974294186456
Patrick_Leahy,84,61,0.142968028602
Orrin_Hatch,84,62,0.0561567643671
Charles_Grassley,84,63,0.320462097193
Ron_Wyden,84,64,0.14803880146
Debbie_Stabenow,84,65,0.176884995157
Dianne_Feinstein,84,66,0.236779385639
John_Isakson,84,67,0.181954235353
Barbara_Boxer,84,68,0.214087463527
Chris_Coons,84,69,0.262336628882
John_McCain,84,70,0.0607858953829
Lisa_Murkowski,84,71,0.153817467158
John_Hoeven,84,72,0.0901626719089
Jon_Tester,84,73,0.104047336009
Maria_Cantwell,84,74,0.232970935405
Heidi_Heitkamp,84,75,0.126006094227
Marco_Rubio,84,76,0.141120951579
Barbara_Mikulski,84,77,0.122219050643
Angus_King,84,78,0.178692666721
Mazie_Hirono,84,79,0.101036111753
John_Reed,84,80,0.102388455275
Tim_Scott,84,81,0.121154347313
Bill_Nelson,84,82,0.212919601578
Richard_Blumenthal,84,83,0.0949964065064
Joe_Donnelly,84,84,1.0
Elizabeth_Warren,84,85,0.144272666272
Timothy_Kaine,84,86,0.160430948427
John_Thune,84,87,0.172351451243
Sherrod_Brown,84,88,0.244299046581
Michael_Bennet,84,89,0.14774371596
Richard_Shelby,84,90,0.0631612795401
Lamar_Alexander,84,91,0.155127457097
Lindsey_Graham,84,92,0.109272853233
Jeff_Merkley,84,93,0.12052305153
Christopher_Murphy,84,94,0.251621936385
Kelly_Ayotte,84,95,0.242066141689
Joe_Manchin,84,96,0.1149216533
Patrick_Toomey,84,97,0.13285354926
Robert_MenÌ.ndez,84,98,0.251702746242
Ron_Johnson,84,99,0.0901414649183
Rand_Paul,84,100,5.29625494117e-05
