,source,target,value
Harry_Reid,96,0,0.421001811127
Thomas_Harkin,96,1,0.285796338118
Max_Baucus,96,2,0.00843197876631
Mitch_McConnell,96,3,0.328975276185
Mark_Pryor,96,4,0.28245034779
Susan_Collins,96,5,0.321884427463
Carl_Levin,96,6,0.0641541964552
James_Inhofe,96,7,0.226499817762
Jefferson_Sessions,96,8,0.412337609966
David_Vitter,96,9,0.252694867767
John_Rockefeller,96,10,0.254782154537
Bernard_Sanders,96,11,0.182136042304
Thomas_Carper,96,12,0.220965962369
Saxby_Chambliss,96,13,0.327614476595
Richard_Burr,96,14,0.355579085345
Robert_Casey,96,15,0.336043217583
John_Boozman,96,16,0.226535029994
Patty_Murray,96,17,0.224202633245
Mary_Landrieu,96,18,0.260194969344
Jerry_Moran,96,19,0.209266806588
Claire_McCaskill,96,20,0.0829877499606
Mark_Udall,96,21,0.216995135961
Kay_Hagan,96,22,0.257909998639
John_Cornyn,96,23,0.304643960841
Michael_Crapo,96,24,0.372872362896
Bob_Corker,96,25,0.46068544715
John_Barrasso,96,26,0.427604434893
Michael_Enzi,96,27,0.436249421789
Thomas_Coburn,96,28,0.200851578688
Sheldon_Whitehouse,96,29,0.284746378342
Jeanne_Shaheen,96,30,0.249982337867
Martin_Heinrich,96,31,0.265942153994
Daniel_Coats,96,32,0.444429761373
Charles_Schumer,96,33,0.216358178641
Richard_Durbin,96,34,0.270358047432
Roy_Blunt,96,35,0.195402160333
Mark_Warner,96,36,0.26847560558
James_Risch,96,37,0.486078242395
Tim_Johnson,96,38,0.285604534826
Alan_Franken,96,39,0.28644666565
Mark_Begich,96,40,0.225043104734
Brian_Schatz,96,41,0.300298813361
Deb_Fischer,96,42,0.199179633391
Kirsten_Gillibrand,96,43,0.18179302188
Tammy_Baldwin,96,44,0.342026489761
John_Walsh,96,45,0.356295656709
Mark_Kirk,96,46,0.237051319399
Dean_Heller,96,47,0.200621689296
Jeff_Flake,96,48,0.231688072295
Thad_Cochran,96,49,0.294386196551
Mike_Johanns,96,50,0.174168710076
Robert_Portman,96,51,0.165405410281
Edward_Markey,96,52,0.126555459916
Cory_Booker,96,53,0.157077344252
Roger_Wicker,96,54,0.396472561576
Benjamin_Cardin,96,55,0.273315117211
Tom_Udall,96,56,0.184878158005
Mike_Lee,96,57,0.0693207914254
Ted_Cruz,96,58,0.101731137537
Amy_Klobuchar,96,59,0.154806361517
Pat_Roberts,96,60,0.31100350872
Patrick_Leahy,96,61,0.0632860048733
Orrin_Hatch,96,62,0.234200210606
Charles_Grassley,96,63,0.177886635692
Ron_Wyden,96,64,0.168444347986
Debbie_Stabenow,96,65,0.234257810813
Dianne_Feinstein,96,66,0.283935581747
John_Isakson,96,67,0.118791959969
Barbara_Boxer,96,68,0.164413375489
Chris_Coons,96,69,0.239033290716
John_McCain,96,70,0.239264287784
Lisa_Murkowski,96,71,0.28294236664
John_Hoeven,96,72,0.299983894707
Jon_Tester,96,73,0.282385223152
Maria_Cantwell,96,74,0.189448746819
Heidi_Heitkamp,96,75,0.341912681033
Marco_Rubio,96,76,0.240018560079
Barbara_Mikulski,96,77,0.162894558737
Angus_King,96,78,0.302711484154
Mazie_Hirono,96,79,0.342694301088
John_Reed,96,80,0.335510288338
Tim_Scott,96,81,0.335427705655
Bill_Nelson,96,82,0.324122381104
Richard_Blumenthal,96,83,0.216610469723
Joe_Donnelly,96,84,0.1149216533
Elizabeth_Warren,96,85,0.18335843976
Timothy_Kaine,96,86,0.3913059389
John_Thune,96,87,0.35862806704
Sherrod_Brown,96,88,0.135572709329
Michael_Bennet,96,89,0.262020218444
Richard_Shelby,96,90,0.0613511414681
Lamar_Alexander,96,91,0.348403676768
Lindsey_Graham,96,92,0.156301097983
Jeff_Merkley,96,93,0.0947863897263
Christopher_Murphy,96,94,0.215763363054
Kelly_Ayotte,96,95,0.271395663398
Joe_Manchin,96,96,1.0
Patrick_Toomey,96,97,0.349689373
Robert_MenÌ.ndez,96,98,0.175961464841
Ron_Johnson,96,99,0.0666071545809
Rand_Paul,96,100,0.15257135826
