,source,target,value
Harry_Reid,26,0,0.326034862566
Thomas_Harkin,26,1,0.312857378131
Max_Baucus,26,2,0.0276944827315
Mitch_McConnell,26,3,0.263358365799
Mark_Pryor,26,4,0.220690759454
Susan_Collins,26,5,0.237614714732
Carl_Levin,26,6,0.030744271128
James_Inhofe,26,7,0.254348974534
Jefferson_Sessions,26,8,0.51752247821
David_Vitter,26,9,0.292343853814
John_Rockefeller,26,10,0.217366832004
Bernard_Sanders,26,11,0.0699155250558
Thomas_Carper,26,12,0.233005498942
Saxby_Chambliss,26,13,0.347236202086
Richard_Burr,26,14,0.365692754737
Robert_Casey,26,15,0.274761613589
John_Boozman,26,16,0.288247824424
Patty_Murray,26,17,0.184351037608
Mary_Landrieu,26,18,0.180622472477
Jerry_Moran,26,19,0.298921387068
Claire_McCaskill,26,20,0.103936895651
Mark_Udall,26,21,0.248449218005
Kay_Hagan,26,22,0.198378640532
John_Cornyn,26,23,0.427782756963
Michael_Crapo,26,24,0.470751903515
Bob_Corker,26,25,0.532668523548
John_Barrasso,26,26,1.0
Michael_Enzi,26,27,0.459343831569
Thomas_Coburn,26,28,0.232109641624
Sheldon_Whitehouse,26,29,0.244946221955
Jeanne_Shaheen,26,30,0.24042848975
Martin_Heinrich,26,31,0.276234321759
Daniel_Coats,26,32,0.51890570775
Charles_Schumer,26,33,0.175511639729
Richard_Durbin,26,34,0.297138879112
Roy_Blunt,26,35,0.302156330231
Mark_Warner,26,36,0.325820728786
James_Risch,26,37,0.572444638057
Tim_Johnson,26,38,0.286042397561
Alan_Franken,26,39,0.333856500494
Mark_Begich,26,40,0.245230590849
Brian_Schatz,26,41,0.220738212436
Deb_Fischer,26,42,0.2337421181
Kirsten_Gillibrand,26,43,0.20369845896
Tammy_Baldwin,26,44,0.203836395207
John_Walsh,26,45,0.24172474908
Mark_Kirk,26,46,0.30125723226
Dean_Heller,26,47,0.28562754712
Jeff_Flake,26,48,0.248585863969
Thad_Cochran,26,49,0.396602058664
Mike_Johanns,26,50,0.156392967412
Robert_Portman,26,51,0.323671004803
Edward_Markey,26,52,0.0927331324845
Cory_Booker,26,53,0.150140757225
Roger_Wicker,26,54,0.257648252506
Benjamin_Cardin,26,55,0.360837272304
Tom_Udall,26,56,0.218107533839
Mike_Lee,26,57,0.0372712816574
Ted_Cruz,26,58,0.0843688293832
Amy_Klobuchar,26,59,0.127175663438
Pat_Roberts,26,60,0.375057662919
Patrick_Leahy,26,61,0.0975309883156
Orrin_Hatch,26,62,0.311107704212
Charles_Grassley,26,63,0.179245472302
Ron_Wyden,26,64,0.154455429962
Debbie_Stabenow,26,65,0.155106856687
Dianne_Feinstein,26,66,0.226829470979
John_Isakson,26,67,0.232097684716
Barbara_Boxer,26,68,0.208371949469
Chris_Coons,26,69,0.210873140508
John_McCain,26,70,0.279197023142
Lisa_Murkowski,26,71,0.442290856934
John_Hoeven,26,72,0.398108404944
Jon_Tester,26,73,0.250592630903
Maria_Cantwell,26,74,0.121833041759
Heidi_Heitkamp,26,75,0.228816172234
Marco_Rubio,26,76,0.340169216767
Barbara_Mikulski,26,77,0.20099284435
Angus_King,26,78,0.437492758692
Mazie_Hirono,26,79,0.314231914386
John_Reed,26,80,0.311205862769
Tim_Scott,26,81,0.404870273243
Bill_Nelson,26,82,0.269462040782
Richard_Blumenthal,26,83,0.233383898621
Joe_Donnelly,26,84,0.12958459716
Elizabeth_Warren,26,85,0.15277021327
Timothy_Kaine,26,86,0.204646949795
John_Thune,26,87,0.236933927636
Sherrod_Brown,26,88,0.209707226082
Michael_Bennet,26,89,0.19234685776
Richard_Shelby,26,90,0.154037600409
Lamar_Alexander,26,91,0.427702846548
Lindsey_Graham,26,92,0.227518284604
Jeff_Merkley,26,93,0.115138659265
Christopher_Murphy,26,94,0.20230500758
Kelly_Ayotte,26,95,0.194185190952
Joe_Manchin,26,96,0.427604434893
Patrick_Toomey,26,97,0.376789287446
Robert_MenÌ.ndez,26,98,0.122295181599
Ron_Johnson,26,99,0.191003885998
Rand_Paul,26,100,0.0488373939947
