,source,target,value
Harry_Reid,16,0,0.278224394827
Thomas_Harkin,16,1,0.159067262147
Max_Baucus,16,2,0.0212554039276
Mitch_McConnell,16,3,0.267340512848
Mark_Pryor,16,4,0.327233291185
Susan_Collins,16,5,0.207186545107
Carl_Levin,16,6,0.0512605868604
James_Inhofe,16,7,0.220504181021
Jefferson_Sessions,16,8,0.204203529796
David_Vitter,16,9,0.290724153313
John_Rockefeller,16,10,0.170462100845
Bernard_Sanders,16,11,0.155328598333
Thomas_Carper,16,12,0.167214890896
Saxby_Chambliss,16,13,0.248628409189
Richard_Burr,16,14,0.216311202669
Robert_Casey,16,15,0.295213766331
John_Boozman,16,16,1.0
Patty_Murray,16,17,0.182008715401
Mary_Landrieu,16,18,0.240378399517
Jerry_Moran,16,19,0.289900293192
Claire_McCaskill,16,20,0.0979280314092
Mark_Udall,16,21,0.312133997399
Kay_Hagan,16,22,0.224990950116
John_Cornyn,16,23,0.256198495951
Michael_Crapo,16,24,0.354652829341
Bob_Corker,16,25,0.287870167973
John_Barrasso,16,26,0.288247824424
Michael_Enzi,16,27,0.299586408675
Thomas_Coburn,16,28,0.135615408679
Sheldon_Whitehouse,16,29,0.15176639971
Jeanne_Shaheen,16,30,0.247507646779
Martin_Heinrich,16,31,0.161462748572
Daniel_Coats,16,32,0.310641459849
Charles_Schumer,16,33,0.339610929441
Richard_Durbin,16,34,0.18474975982
Roy_Blunt,16,35,0.260031011004
Mark_Warner,16,36,0.270225731055
James_Risch,16,37,0.237460157763
Tim_Johnson,16,38,0.282399127814
Alan_Franken,16,39,0.312504760535
Mark_Begich,16,40,0.115074719731
Brian_Schatz,16,41,0.226367369865
Deb_Fischer,16,42,0.248904254424
Kirsten_Gillibrand,16,43,0.105382691076
Tammy_Baldwin,16,44,0.172489572519
John_Walsh,16,45,0.159396317298
Mark_Kirk,16,46,0.226521672328
Dean_Heller,16,47,0.300899503555
Jeff_Flake,16,48,0.20921301623
Thad_Cochran,16,49,0.363832596916
Mike_Johanns,16,50,0.305768889457
Robert_Portman,16,51,0.201570758995
Edward_Markey,16,52,0.0848453504714
Cory_Booker,16,53,0.0827665300293
Roger_Wicker,16,54,0.349315237775
Benjamin_Cardin,16,55,0.177780073016
Tom_Udall,16,56,0.153320797876
Mike_Lee,16,57,0.128341726447
Ted_Cruz,16,58,0.122017444897
Amy_Klobuchar,16,59,0.143871372751
Pat_Roberts,16,60,0.274785126409
Patrick_Leahy,16,61,0.107846275927
Orrin_Hatch,16,62,0.224093594409
Charles_Grassley,16,63,0.186589365631
Ron_Wyden,16,64,0.112640530476
Debbie_Stabenow,16,65,0.150648335105
Dianne_Feinstein,16,66,0.173830866199
John_Isakson,16,67,0.203509691114
Barbara_Boxer,16,68,0.175964263419
Chris_Coons,16,69,0.242894815976
John_McCain,16,70,0.27306572198
Lisa_Murkowski,16,71,0.289661713062
John_Hoeven,16,72,0.238679760524
Jon_Tester,16,73,0.145872581674
Maria_Cantwell,16,74,0.166557319623
Heidi_Heitkamp,16,75,0.0914562946364
Marco_Rubio,16,76,0.20672560795
Barbara_Mikulski,16,77,0.0891844395024
Angus_King,16,78,0.247979313077
Mazie_Hirono,16,79,0.176951775551
John_Reed,16,80,0.209464480797
Tim_Scott,16,81,0.293873093888
Bill_Nelson,16,82,0.289503578642
Richard_Blumenthal,16,83,0.121120462317
Joe_Donnelly,16,84,0.275370851022
Elizabeth_Warren,16,85,0.113217930842
Timothy_Kaine,16,86,0.189504740704
John_Thune,16,87,0.254436620768
Sherrod_Brown,16,88,0.153230788191
Michael_Bennet,16,89,0.18827265117
Richard_Shelby,16,90,0.0376448199104
Lamar_Alexander,16,91,0.308527028542
Lindsey_Graham,16,92,0.318386795303
Jeff_Merkley,16,93,0.0908293732976
Christopher_Murphy,16,94,0.0893816536966
Kelly_Ayotte,16,95,0.203449585456
Joe_Manchin,16,96,0.226535029994
Patrick_Toomey,16,97,0.315773083137
Robert_MenÌ.ndez,16,98,0.151914114765
Ron_Johnson,16,99,0.235543783274
Rand_Paul,16,100,0.0480016063203
