,source,target,value
Harry_Reid,23,0,0.208778569478
Thomas_Harkin,23,1,0.234089790687
Max_Baucus,23,2,0.0211174394718
Mitch_McConnell,23,3,0.284923729954
Mark_Pryor,23,4,0.177186000138
Susan_Collins,23,5,0.193497423667
Carl_Levin,23,6,0.0287566756086
James_Inhofe,23,7,0.222666660367
Jefferson_Sessions,23,8,0.388921582714
David_Vitter,23,9,0.199390194572
John_Rockefeller,23,10,0.144893282368
Bernard_Sanders,23,11,0.0734180273424
Thomas_Carper,23,12,0.176706950655
Saxby_Chambliss,23,13,0.285776798756
Richard_Burr,23,14,0.309660679139
Robert_Casey,23,15,0.218082662617
John_Boozman,23,16,0.256198495951
Patty_Murray,23,17,0.19946677146
Mary_Landrieu,23,18,0.179947920476
Jerry_Moran,23,19,0.312836036733
Claire_McCaskill,23,20,0.109489706009
Mark_Udall,23,21,0.137933375661
Kay_Hagan,23,22,0.143537569815
John_Cornyn,23,23,1.0
Michael_Crapo,23,24,0.317930635787
Bob_Corker,23,25,0.410061676045
John_Barrasso,23,26,0.427782756963
Michael_Enzi,23,27,0.398677122163
Thomas_Coburn,23,28,0.175726023084
Sheldon_Whitehouse,23,29,0.187652960783
Jeanne_Shaheen,23,30,0.184418090175
Martin_Heinrich,23,31,0.206572996441
Daniel_Coats,23,32,0.509368310525
Charles_Schumer,23,33,0.167479347688
Richard_Durbin,23,34,0.237266654065
Roy_Blunt,23,35,0.247568661817
Mark_Warner,23,36,0.281826147211
James_Risch,23,37,0.440710320131
Tim_Johnson,23,38,0.178735543581
Alan_Franken,23,39,0.242357130458
Mark_Begich,23,40,0.196702022546
Brian_Schatz,23,41,0.15172161757
Deb_Fischer,23,42,0.250034924748
Kirsten_Gillibrand,23,43,0.117648578998
Tammy_Baldwin,23,44,0.102003453344
John_Walsh,23,45,0.191322425446
Mark_Kirk,23,46,0.214940572608
Dean_Heller,23,47,0.239967294047
Jeff_Flake,23,48,0.240355200487
Thad_Cochran,23,49,0.31412968119
Mike_Johanns,23,50,0.163816364644
Robert_Portman,23,51,0.2818646675
Edward_Markey,23,52,0.0757317546285
Cory_Booker,23,53,0.0887158372241
Roger_Wicker,23,54,0.317471308626
Benjamin_Cardin,23,55,0.226150963665
Tom_Udall,23,56,0.129809777536
Mike_Lee,23,57,0.0439946859502
Ted_Cruz,23,58,0.134908071902
Amy_Klobuchar,23,59,0.0773061885326
Pat_Roberts,23,60,0.356021574529
Patrick_Leahy,23,61,0.0639203929137
Orrin_Hatch,23,62,0.366439925924
Charles_Grassley,23,63,0.200786099834
Ron_Wyden,23,64,0.0810941955798
Debbie_Stabenow,23,65,0.103987672862
Dianne_Feinstein,23,66,0.203831565621
John_Isakson,23,67,0.12704814631
Barbara_Boxer,23,68,0.151983209412
Chris_Coons,23,69,0.16453186316
John_McCain,23,70,0.292976979468
Lisa_Murkowski,23,71,0.313388510793
John_Hoeven,23,72,0.392892465141
Jon_Tester,23,73,0.190072164999
Maria_Cantwell,23,74,0.0437323814951
Heidi_Heitkamp,23,75,0.208031314135
Marco_Rubio,23,76,0.289819247412
Barbara_Mikulski,23,77,0.139027358689
Angus_King,23,78,0.246959899776
Mazie_Hirono,23,79,0.214393250355
John_Reed,23,80,0.229318813296
Tim_Scott,23,81,0.33147441311
Bill_Nelson,23,82,0.221865687248
Richard_Blumenthal,23,83,0.205703458964
Joe_Donnelly,23,84,0.104733344465
Elizabeth_Warren,23,85,0.131462815856
Timothy_Kaine,23,86,0.152102651358
John_Thune,23,87,0.401543032163
Sherrod_Brown,23,88,0.151710503119
Michael_Bennet,23,89,0.143377456933
Richard_Shelby,23,90,0.0780442071396
Lamar_Alexander,23,91,0.457833396243
Lindsey_Graham,23,92,0.320676944523
Jeff_Merkley,23,93,0.0533496261103
Christopher_Murphy,23,94,0.158326542443
Kelly_Ayotte,23,95,0.246110679972
Joe_Manchin,23,96,0.304643960841
Patrick_Toomey,23,97,0.312397105163
Robert_MenÌ.ndez,23,98,0.117328240722
Ron_Johnson,23,99,0.0620459865888
Rand_Paul,23,100,0.0273064896053
