,source,target,value
Harry_Reid,72,0,0.264439130489
Thomas_Harkin,72,1,0.182117064816
Max_Baucus,72,2,0.0432128272877
Mitch_McConnell,72,3,0.510543491234
Mark_Pryor,72,4,0.199937850828
Susan_Collins,72,5,0.25951687218
Carl_Levin,72,6,0.0165253763317
James_Inhofe,72,7,0.382764370121
Jefferson_Sessions,72,8,0.372537513116
David_Vitter,72,9,0.327152613068
John_Rockefeller,72,10,0.113087603808
Bernard_Sanders,72,11,0.0491876629527
Thomas_Carper,72,12,0.183258978557
Saxby_Chambliss,72,13,0.24776913728
Richard_Burr,72,14,0.329352222858
Robert_Casey,72,15,0.278948069556
John_Boozman,72,16,0.238679760524
Patty_Murray,72,17,0.194549131403
Mary_Landrieu,72,18,0.227862774744
Jerry_Moran,72,19,0.259898564406
Claire_McCaskill,72,20,0.113048355399
Mark_Udall,72,21,0.262803739678
Kay_Hagan,72,22,0.173148781108
John_Cornyn,72,23,0.392892465141
Michael_Crapo,72,24,0.385553576803
Bob_Corker,72,25,0.499056210764
John_Barrasso,72,26,0.398108404944
Michael_Enzi,72,27,0.40516571274
Thomas_Coburn,72,28,0.269093116033
Sheldon_Whitehouse,72,29,0.224226318821
Jeanne_Shaheen,72,30,0.252450375594
Martin_Heinrich,72,31,0.327001737775
Daniel_Coats,72,32,0.546699646627
Charles_Schumer,72,33,0.207002784415
Richard_Durbin,72,34,0.313545244956
Roy_Blunt,72,35,0.241386144708
Mark_Warner,72,36,0.374674913572
James_Risch,72,37,0.438870515326
Tim_Johnson,72,38,0.269562004088
Alan_Franken,72,39,0.286094242751
Mark_Begich,72,40,0.244272803891
Brian_Schatz,72,41,0.237405140972
Deb_Fischer,72,42,0.377551776032
Kirsten_Gillibrand,72,43,0.170221248378
Tammy_Baldwin,72,44,0.160411752862
John_Walsh,72,45,0.334222419934
Mark_Kirk,72,46,0.300183103933
Dean_Heller,72,47,0.246826466711
Jeff_Flake,72,48,0.244950671774
Thad_Cochran,72,49,0.323128272233
Mike_Johanns,72,50,0.207047817616
Robert_Portman,72,51,0.435387732151
Edward_Markey,72,52,0.0994199173366
Cory_Booker,72,53,0.0922952281272
Roger_Wicker,72,54,0.302725539987
Benjamin_Cardin,72,55,0.183188608903
Tom_Udall,72,56,0.140777401879
Mike_Lee,72,57,0.441297219989
Ted_Cruz,72,58,0.178164683226
Amy_Klobuchar,72,59,0.199517780464
Pat_Roberts,72,60,0.408221294838
Patrick_Leahy,72,61,0.048546791974
Orrin_Hatch,72,62,0.318326056868
Charles_Grassley,72,63,0.338719751687
Ron_Wyden,72,64,0.0280046104077
Debbie_Stabenow,72,65,0.166236577419
Dianne_Feinstein,72,66,0.240761452711
John_Isakson,72,67,0.256284550263
Barbara_Boxer,72,68,0.159001623317
Chris_Coons,72,69,0.20120163609
John_McCain,72,70,0.353582117729
Lisa_Murkowski,72,71,0.438019145584
John_Hoeven,72,72,1.0
Jon_Tester,72,73,0.212545487322
Maria_Cantwell,72,74,0.245495612071
Heidi_Heitkamp,72,75,0.359130086868
Marco_Rubio,72,76,0.259034016127
Barbara_Mikulski,72,77,0.101402406028
Angus_King,72,78,0.239592687398
Mazie_Hirono,72,79,0.266639696128
John_Reed,72,80,0.18526415714
Tim_Scott,72,81,0.411070349838
Bill_Nelson,72,82,0.279138133527
Richard_Blumenthal,72,83,0.184690584835
Joe_Donnelly,72,84,0.0901626719089
Elizabeth_Warren,72,85,0.151528885785
Timothy_Kaine,72,86,0.220243943032
John_Thune,72,87,0.319467250066
Sherrod_Brown,72,88,0.159057120398
Michael_Bennet,72,89,0.307343297042
Richard_Shelby,72,90,0.105622965449
Lamar_Alexander,72,91,0.455270420333
Lindsey_Graham,72,92,0.251543341843
Jeff_Merkley,72,93,0.0958616710025
Christopher_Murphy,72,94,0.149020727617
Kelly_Ayotte,72,95,0.212573184403
Joe_Manchin,72,96,0.299983894707
Patrick_Toomey,72,97,0.371431977095
Robert_MenÌ.ndez,72,98,0.208144654553
Ron_Johnson,72,99,0.0931564572666
Rand_Paul,72,100,0.187977763285
