,source,target,value
Harry_Reid,67,0,0.251500812576
Thomas_Harkin,67,1,0.116322563616
Max_Baucus,67,2,0.1058073044
Mitch_McConnell,67,3,0.186608254069
Mark_Pryor,67,4,0.228669521379
Susan_Collins,67,5,0.094053614875
Carl_Levin,67,6,0.0751933787542
James_Inhofe,67,7,0.220235130119
Jefferson_Sessions,67,8,0.176186300165
David_Vitter,67,9,0.220565306681
John_Rockefeller,67,10,0.0798193236054
Bernard_Sanders,67,11,0.125337453381
Thomas_Carper,67,12,0.128193506591
Saxby_Chambliss,67,13,0.23928076912
Richard_Burr,67,14,0.283922345063
Robert_Casey,67,15,0.12254203268
John_Boozman,67,16,0.203509691114
Patty_Murray,67,17,0.204241441281
Mary_Landrieu,67,18,0.108638967273
Jerry_Moran,67,19,0.306634822736
Claire_McCaskill,67,20,0.136418344576
Mark_Udall,67,21,0.256945499089
Kay_Hagan,67,22,0.099108107138
John_Cornyn,67,23,0.12704814631
Michael_Crapo,67,24,0.24356379238
Bob_Corker,67,25,0.176673108331
John_Barrasso,67,26,0.232097684716
Michael_Enzi,67,27,0.281064924848
Thomas_Coburn,67,28,0.164688896876
Sheldon_Whitehouse,67,29,0.11603399073
Jeanne_Shaheen,67,30,0.205843414956
Martin_Heinrich,67,31,0.183506422867
Daniel_Coats,67,32,0.158802151228
Charles_Schumer,67,33,0.112174761244
Richard_Durbin,67,34,0.120188091478
Roy_Blunt,67,35,0.240739422858
Mark_Warner,67,36,0.134469706401
James_Risch,67,37,0.173284861107
Tim_Johnson,67,38,0.175254562984
Alan_Franken,67,39,0.144481392183
Mark_Begich,67,40,0.21077674333
Brian_Schatz,67,41,0.165536153522
Deb_Fischer,67,42,0.16727501279
Kirsten_Gillibrand,67,43,0.10735209891
Tammy_Baldwin,67,44,0.126883389838
John_Walsh,67,45,0.186516475035
Mark_Kirk,67,46,0.325239256944
Dean_Heller,67,47,0.182396463282
Jeff_Flake,67,48,0.188098666377
Thad_Cochran,67,49,0.340927569898
Mike_Johanns,67,50,0.155394292755
Robert_Portman,67,51,0.385533452867
Edward_Markey,67,52,0.118731671863
Cory_Booker,67,53,0.15406932829
Roger_Wicker,67,54,0.176799631714
Benjamin_Cardin,67,55,0.226100420765
Tom_Udall,67,56,0.282282914435
Mike_Lee,67,57,0.170985141953
Ted_Cruz,67,58,0.111124835935
Amy_Klobuchar,67,59,0.17595459715
Pat_Roberts,67,60,0.294734629863
Patrick_Leahy,67,61,0.0988637273725
Orrin_Hatch,67,62,0.144787639377
Charles_Grassley,67,63,0.275932517885
Ron_Wyden,67,64,0.113266819175
Debbie_Stabenow,67,65,0.122500642863
Dianne_Feinstein,67,66,0.118683004472
John_Isakson,67,67,1.0
Barbara_Boxer,67,68,0.108299017524
Chris_Coons,67,69,0.117311606153
John_McCain,67,70,0.138690329745
Lisa_Murkowski,67,71,0.26188699324
John_Hoeven,67,72,0.256284550263
Jon_Tester,67,73,0.163141265191
Maria_Cantwell,67,74,0.251820807061
Heidi_Heitkamp,67,75,0.104962968794
Marco_Rubio,67,76,0.11446391271
Barbara_Mikulski,67,77,0.172147153375
Angus_King,67,78,0.278075120948
Mazie_Hirono,67,79,0.201122054889
John_Reed,67,80,0.104294149175
Tim_Scott,67,81,0.309227322831
Bill_Nelson,67,82,0.159644788993
Richard_Blumenthal,67,83,0.0691871425749
Joe_Donnelly,67,84,0.181954235353
Elizabeth_Warren,67,85,0.149991381813
Timothy_Kaine,67,86,0.188016909318
John_Thune,67,87,0.219521443856
Sherrod_Brown,67,88,0.212883831955
Michael_Bennet,67,89,0.237241305783
Richard_Shelby,67,90,0.0611270474839
Lamar_Alexander,67,91,0.259723775608
Lindsey_Graham,67,92,0.272501791303
Jeff_Merkley,67,93,0.163110915343
Christopher_Murphy,67,94,0.187770499132
Kelly_Ayotte,67,95,0.169691888333
Joe_Manchin,67,96,0.118791959969
Patrick_Toomey,67,97,0.23717819532
Robert_MenÌ.ndez,67,98,0.104103361937
Ron_Johnson,67,99,0.187513932587
Rand_Paul,67,100,0.0591101093568
