,source,target,value
Harry_Reid,70,0,0.164570678047
Thomas_Harkin,70,1,0.144793155185
Max_Baucus,70,2,0.11046972354
Mitch_McConnell,70,3,0.359137493401
Mark_Pryor,70,4,0.170945399642
Susan_Collins,70,5,0.176310935563
Carl_Levin,70,6,0.018227400193
James_Inhofe,70,7,0.186695682437
Jefferson_Sessions,70,8,0.298584120575
David_Vitter,70,9,0.340487423113
John_Rockefeller,70,10,0.115453106421
Bernard_Sanders,70,11,0.00801288164016
Thomas_Carper,70,12,0.197213057613
Saxby_Chambliss,70,13,0.229471883646
Richard_Burr,70,14,0.304766397612
Robert_Casey,70,15,0.190541091173
John_Boozman,70,16,0.27306572198
Patty_Murray,70,17,0.285814469116
Mary_Landrieu,70,18,0.168506789022
Jerry_Moran,70,19,0.310067017289
Claire_McCaskill,70,20,0.0516143087803
Mark_Udall,70,21,0.275958971335
Kay_Hagan,70,22,0.202322240353
John_Cornyn,70,23,0.292976979468
Michael_Crapo,70,24,0.317511657427
Bob_Corker,70,25,0.363466947165
John_Barrasso,70,26,0.279197023142
Michael_Enzi,70,27,0.261868272664
Thomas_Coburn,70,28,0.296817700028
Sheldon_Whitehouse,70,29,0.203024758409
Jeanne_Shaheen,70,30,0.172374158678
Martin_Heinrich,70,31,0.143678912997
Daniel_Coats,70,32,0.485827096912
Charles_Schumer,70,33,0.122205683101
Richard_Durbin,70,34,0.209366401399
Roy_Blunt,70,35,0.1967162872
Mark_Warner,70,36,0.174567726325
James_Risch,70,37,0.33554166989
Tim_Johnson,70,38,0.243519252326
Alan_Franken,70,39,0.149711004438
Mark_Begich,70,40,0.0790853401276
Brian_Schatz,70,41,0.157347864672
Deb_Fischer,70,42,0.359309268533
Kirsten_Gillibrand,70,43,0.11555959624
Tammy_Baldwin,70,44,0.112032228992
John_Walsh,70,45,0.162410053043
Mark_Kirk,70,46,0.241035905652
Dean_Heller,70,47,0.211257200381
Jeff_Flake,70,48,0.417351237566
Thad_Cochran,70,49,0.301618859419
Mike_Johanns,70,50,0.178055537758
Robert_Portman,70,51,0.137572230452
Edward_Markey,70,52,0.0766945027934
Cory_Booker,70,53,0.0592566378363
Roger_Wicker,70,54,0.263877320319
Benjamin_Cardin,70,55,0.155923607132
Tom_Udall,70,56,0.154173575668
Mike_Lee,70,57,0.255537137307
Ted_Cruz,70,58,0.26208851707
Amy_Klobuchar,70,59,0.116360038173
Pat_Roberts,70,60,0.367182837387
Patrick_Leahy,70,61,0.0471685635173
Orrin_Hatch,70,62,0.256651846281
Charles_Grassley,70,63,0.188796834043
Ron_Wyden,70,64,0.0477593888142
Debbie_Stabenow,70,65,0.141991604414
Dianne_Feinstein,70,66,0.131577026805
John_Isakson,70,67,0.138690329745
Barbara_Boxer,70,68,0.102793323358
Chris_Coons,70,69,0.160981758012
John_McCain,70,70,1.0
Lisa_Murkowski,70,71,0.231504223964
John_Hoeven,70,72,0.353582117729
Jon_Tester,70,73,0.115124205534
Maria_Cantwell,70,74,0.185585402932
Heidi_Heitkamp,70,75,0.107623220512
Marco_Rubio,70,76,0.230628317268
Barbara_Mikulski,70,77,0.0717656995481
Angus_King,70,78,0.198323346516
Mazie_Hirono,70,79,0.199526233511
John_Reed,70,80,0.169352868411
Tim_Scott,70,81,0.366312324244
Bill_Nelson,70,82,0.159464386086
Richard_Blumenthal,70,83,0.137437746451
Joe_Donnelly,70,84,0.0607858953829
Elizabeth_Warren,70,85,0.0801698912109
Timothy_Kaine,70,86,0.240982813442
John_Thune,70,87,0.203415143777
Sherrod_Brown,70,88,0.0899735935506
Michael_Bennet,70,89,0.176242369242
Richard_Shelby,70,90,0.0664480721877
Lamar_Alexander,70,91,0.315125876022
Lindsey_Graham,70,92,0.281631070466
Jeff_Merkley,70,93,0.112514280377
Christopher_Murphy,70,94,0.153198547431
Kelly_Ayotte,70,95,0.188960519287
Joe_Manchin,70,96,0.239264287784
Patrick_Toomey,70,97,0.315343857766
Robert_MenÌ.ndez,70,98,0.157948651915
Ron_Johnson,70,99,0.146562643314
Rand_Paul,70,100,0.165277956239
