,source,target,value
Harry_Reid,80,0,0.29640907694
Thomas_Harkin,80,1,0.289979847661
Max_Baucus,80,2,0.0407424276802
Mitch_McConnell,80,3,0.251197395568
Mark_Pryor,80,4,0.308827265992
Susan_Collins,80,5,0.262191595519
Carl_Levin,80,6,0.212368792825
James_Inhofe,80,7,0.142232205737
Jefferson_Sessions,80,8,0.271792631096
David_Vitter,80,9,0.201853051797
John_Rockefeller,80,10,0.262799397083
Bernard_Sanders,80,11,0.154383433201
Thomas_Carper,80,12,0.243265619712
Saxby_Chambliss,80,13,0.229870742695
Richard_Burr,80,14,0.226335454601
Robert_Casey,80,15,0.320645891784
John_Boozman,80,16,0.209464480797
Patty_Murray,80,17,0.248080936004
Mary_Landrieu,80,18,0.306679008544
Jerry_Moran,80,19,0.179637797469
Claire_McCaskill,80,20,0.259355546899
Mark_Udall,80,21,0.375354159381
Kay_Hagan,80,22,0.309008541355
John_Cornyn,80,23,0.229318813296
Michael_Crapo,80,24,0.317171541639
Bob_Corker,80,25,0.303606036788
John_Barrasso,80,26,0.311205862769
Michael_Enzi,80,27,0.271366089935
Thomas_Coburn,80,28,0.143086326407
Sheldon_Whitehouse,80,29,0.361845403418
Jeanne_Shaheen,80,30,0.349242527335
Martin_Heinrich,80,31,0.219372393312
Daniel_Coats,80,32,0.321155582698
Charles_Schumer,80,33,0.343520457053
Richard_Durbin,80,34,0.373571283685
Roy_Blunt,80,35,0.171948276992
Mark_Warner,80,36,0.326454941814
James_Risch,80,37,0.302045390846
Tim_Johnson,80,38,0.302673406934
Alan_Franken,80,39,0.328289809538
Mark_Begich,80,40,0.216271949699
Brian_Schatz,80,41,0.309231490306
Deb_Fischer,80,42,0.126154501142
Kirsten_Gillibrand,80,43,0.247875437834
Tammy_Baldwin,80,44,0.303217981761
John_Walsh,80,45,0.278996792791
Mark_Kirk,80,46,0.236701629108
Dean_Heller,80,47,0.219346871295
Jeff_Flake,80,48,0.204785859265
Thad_Cochran,80,49,0.238843970691
Mike_Johanns,80,50,0.266910470362
Robert_Portman,80,51,0.137034687238
Edward_Markey,80,52,0.232939040124
Cory_Booker,80,53,0.285917081167
Roger_Wicker,80,54,0.228904076477
Benjamin_Cardin,80,55,0.394974244888
Tom_Udall,80,56,0.230487381852
Mike_Lee,80,57,0.0147225481617
Ted_Cruz,80,58,0.0746170695964
Amy_Klobuchar,80,59,0.225107366806
Pat_Roberts,80,60,0.250887092478
Patrick_Leahy,80,61,0.253349019101
Orrin_Hatch,80,62,0.195543378639
Charles_Grassley,80,63,0.124883192997
Ron_Wyden,80,64,0.253959529796
Debbie_Stabenow,80,65,0.311231153853
Dianne_Feinstein,80,66,0.256282360927
John_Isakson,80,67,0.104294149175
Barbara_Boxer,80,68,0.226757282662
Chris_Coons,80,69,0.207875478659
John_McCain,80,70,0.169352868411
Lisa_Murkowski,80,71,0.225475871287
John_Hoeven,80,72,0.18526415714
Jon_Tester,80,73,0.178273798707
Maria_Cantwell,80,74,0.119437734866
Heidi_Heitkamp,80,75,0.164067796247
Marco_Rubio,80,76,0.213080776262
Barbara_Mikulski,80,77,0.227842945865
Angus_King,80,78,0.418726205239
Mazie_Hirono,80,79,0.445628351557
John_Reed,80,80,1.0
Tim_Scott,80,81,0.200493571783
Bill_Nelson,80,82,0.312805671656
Richard_Blumenthal,80,83,0.255580915731
Joe_Donnelly,80,84,0.102388455275
Elizabeth_Warren,80,85,0.278298619741
Timothy_Kaine,80,86,0.296665198256
John_Thune,80,87,0.159408527631
Sherrod_Brown,80,88,0.254206164588
Michael_Bennet,80,89,0.320814109792
Richard_Shelby,80,90,0.096057723862
Lamar_Alexander,80,91,0.271178750753
Lindsey_Graham,80,92,0.16624313809
Jeff_Merkley,80,93,0.183090890432
Christopher_Murphy,80,94,0.282247558273
Kelly_Ayotte,80,95,0.157542491023
Joe_Manchin,80,96,0.335510288338
Patrick_Toomey,80,97,0.241431638285
Robert_MenÌ.ndez,80,98,0.26449014646
Ron_Johnson,80,99,0.0849226063441
Rand_Paul,80,100,0.0
