,source,target,value
Harry_Reid,10,0,0.37829052796
Thomas_Harkin,10,1,0.197994286594
Max_Baucus,10,2,0.175342108284
Mitch_McConnell,10,3,0.197314046589
Mark_Pryor,10,4,0.234810322307
Susan_Collins,10,5,0.155608764367
Carl_Levin,10,6,0.25727736553
James_Inhofe,10,7,0.105293018243
Jefferson_Sessions,10,8,0.149479080532
David_Vitter,10,9,0.15061176146
John_Rockefeller,10,10,1.0
Bernard_Sanders,10,11,0.17606345076
Thomas_Carper,10,12,0.295730680823
Saxby_Chambliss,10,13,0.181835005517
Richard_Burr,10,14,0.152428222919
Robert_Casey,10,15,0.10309263612
John_Boozman,10,16,0.170462100845
Patty_Murray,10,17,0.162538895941
Mary_Landrieu,10,18,0.127755983504
Jerry_Moran,10,19,0.143753034767
Claire_McCaskill,10,20,0.0958012605743
Mark_Udall,10,21,0.197658198648
Kay_Hagan,10,22,0.197734964686
John_Cornyn,10,23,0.144893282368
Michael_Crapo,10,24,0.244225086442
Bob_Corker,10,25,0.154615995333
John_Barrasso,10,26,0.217366832004
Michael_Enzi,10,27,0.173385570677
Thomas_Coburn,10,28,0.133967775703
Sheldon_Whitehouse,10,29,0.21504730183
Jeanne_Shaheen,10,30,0.231688515102
Martin_Heinrich,10,31,0.170313807165
Daniel_Coats,10,32,0.20077154281
Charles_Schumer,10,33,0.220084679286
Richard_Durbin,10,34,0.189124370769
Roy_Blunt,10,35,0.14032044292
Mark_Warner,10,36,0.215744836959
James_Risch,10,37,0.180954769854
Tim_Johnson,10,38,0.335620607359
Alan_Franken,10,39,0.250162978879
Mark_Begich,10,40,0.123279845653
Brian_Schatz,10,41,0.224281307652
Deb_Fischer,10,42,0.132374150088
Kirsten_Gillibrand,10,43,0.209619943585
Tammy_Baldwin,10,44,0.404266444853
John_Walsh,10,45,0.243020206952
Mark_Kirk,10,46,0.116370251585
Dean_Heller,10,47,0.0857398823735
Jeff_Flake,10,48,0.16392076656
Thad_Cochran,10,49,0.163405498291
Mike_Johanns,10,50,0.121940633147
Robert_Portman,10,51,0.078964317282
Edward_Markey,10,52,0.0896669158719
Cory_Booker,10,53,0.226781683815
Roger_Wicker,10,54,0.155057149588
Benjamin_Cardin,10,55,0.189539807685
Tom_Udall,10,56,0.140804063898
Mike_Lee,10,57,0.0137021508711
Ted_Cruz,10,58,0.0501318331586
Amy_Klobuchar,10,59,0.0745284495765
Pat_Roberts,10,60,0.18941789029
Patrick_Leahy,10,61,0.285361591075
Orrin_Hatch,10,62,0.140596355888
Charles_Grassley,10,63,0.123292939293
Ron_Wyden,10,64,0.12962830819
Debbie_Stabenow,10,65,0.236735728308
Dianne_Feinstein,10,66,0.150539538028
John_Isakson,10,67,0.0798193236054
Barbara_Boxer,10,68,0.190361726475
Chris_Coons,10,69,0.231136252858
John_McCain,10,70,0.115453106421
Lisa_Murkowski,10,71,0.169553966111
John_Hoeven,10,72,0.113087603808
Jon_Tester,10,73,0.098937619237
Maria_Cantwell,10,74,0.114342815115
Heidi_Heitkamp,10,75,0.11913388681
Marco_Rubio,10,76,0.126361427401
Barbara_Mikulski,10,77,0.117813157233
Angus_King,10,78,0.356371794713
Mazie_Hirono,10,79,0.193273293501
John_Reed,10,80,0.262799397083
Tim_Scott,10,81,0.187235410334
Bill_Nelson,10,82,0.16494084936
Richard_Blumenthal,10,83,0.235730703542
Joe_Donnelly,10,84,0.179079813821
Elizabeth_Warren,10,85,0.25530675415
Timothy_Kaine,10,86,0.277392895866
John_Thune,10,87,0.120023198446
Sherrod_Brown,10,88,0.16122701342
Michael_Bennet,10,89,0.145166919675
Richard_Shelby,10,90,0.0575717136474
Lamar_Alexander,10,91,0.202165784012
Lindsey_Graham,10,92,0.1204816217
Jeff_Merkley,10,93,0.231280448734
Christopher_Murphy,10,94,0.134245219282
Kelly_Ayotte,10,95,0.151814089785
Joe_Manchin,10,96,0.254782154537
Patrick_Toomey,10,97,0.102961937174
Robert_MenÌ.ndez,10,98,0.138153440862
Ron_Johnson,10,99,0.0900722833911
Rand_Paul,10,100,0.0
