,source,target,value
Harry_Reid,87,0,0.499729486022
Thomas_Harkin,87,1,0.140446184551
Max_Baucus,87,2,0.0923467437766
Mitch_McConnell,87,3,0.474030216302
Mark_Pryor,87,4,0.192784602693
Susan_Collins,87,5,0.301883997971
Carl_Levin,87,6,0.0487233492413
James_Inhofe,87,7,0.340203850583
Jefferson_Sessions,87,8,0.297724847612
David_Vitter,87,9,0.355050539444
John_Rockefeller,87,10,0.120023198446
Bernard_Sanders,87,11,0.0464351796236
Thomas_Carper,87,12,0.0935345201531
Saxby_Chambliss,87,13,0.238068861191
Richard_Burr,87,14,0.327422712463
Robert_Casey,87,15,0.16868559141
John_Boozman,87,16,0.254436620768
Patty_Murray,87,17,0.186210706682
Mary_Landrieu,87,18,0.129876506971
Jerry_Moran,87,19,0.158965833704
Claire_McCaskill,87,20,0.0726949725342
Mark_Udall,87,21,0.246628563304
Kay_Hagan,87,22,0.139782215378
John_Cornyn,87,23,0.401543032163
Michael_Crapo,87,24,0.279137902068
Bob_Corker,87,25,0.303869471109
John_Barrasso,87,26,0.236933927636
Michael_Enzi,87,27,0.524481348168
Thomas_Coburn,87,28,0.079303084643
Sheldon_Whitehouse,87,29,0.131956721972
Jeanne_Shaheen,87,30,0.184769231265
Martin_Heinrich,87,31,0.179523261075
Daniel_Coats,87,32,0.312600917022
Charles_Schumer,87,33,0.132311383464
Richard_Durbin,87,34,0.223628397309
Roy_Blunt,87,35,0.199690917895
Mark_Warner,87,36,0.218809434778
James_Risch,87,37,0.312386373602
Tim_Johnson,87,38,0.192798632199
Alan_Franken,87,39,0.154524866679
Mark_Begich,87,40,0.149840694346
Brian_Schatz,87,41,0.209911310213
Deb_Fischer,87,42,0.226534976627
Kirsten_Gillibrand,87,43,0.108327773972
Tammy_Baldwin,87,44,0.188971974603
John_Walsh,87,45,0.278252173369
Mark_Kirk,87,46,0.29311701551
Dean_Heller,87,47,0.269719541949
Jeff_Flake,87,48,0.307163903798
Thad_Cochran,87,49,0.21906464072
Mike_Johanns,87,50,0.190482552941
Robert_Portman,87,51,0.389024448566
Edward_Markey,87,52,0.102679769185
Cory_Booker,87,53,0.138745325421
Roger_Wicker,87,54,0.30592638884
Benjamin_Cardin,87,55,0.146452704309
Tom_Udall,87,56,0.162421767582
Mike_Lee,87,57,0.37282224484
Ted_Cruz,87,58,0.114727025904
Amy_Klobuchar,87,59,0.087042058815
Pat_Roberts,87,60,0.260736416403
Patrick_Leahy,87,61,0.0218633437609
Orrin_Hatch,87,62,0.269813985827
Charles_Grassley,87,63,0.312081833299
Ron_Wyden,87,64,0.0565965241558
Debbie_Stabenow,87,65,0.11046318046
Dianne_Feinstein,87,66,0.266215308814
John_Isakson,87,67,0.219521443856
Barbara_Boxer,87,68,0.10764480188
Chris_Coons,87,69,0.129888536032
John_McCain,87,70,0.203415143777
Lisa_Murkowski,87,71,0.295426101161
John_Hoeven,87,72,0.319467250066
Jon_Tester,87,73,0.127738027454
Maria_Cantwell,87,74,0.196595914348
Heidi_Heitkamp,87,75,0.20427009741
Marco_Rubio,87,76,0.264904198195
Barbara_Mikulski,87,77,0.0994985054298
Angus_King,87,78,0.211283379513
Mazie_Hirono,87,79,0.276576998881
John_Reed,87,80,0.159408527631
Tim_Scott,87,81,0.492585724296
Bill_Nelson,87,82,0.224556058196
Richard_Blumenthal,87,83,0.129392422454
Joe_Donnelly,87,84,0.172351451243
Elizabeth_Warren,87,85,0.144718557586
Timothy_Kaine,87,86,0.390792111519
John_Thune,87,87,1.0
Sherrod_Brown,87,88,0.119352227055
Michael_Bennet,87,89,0.289491401201
Richard_Shelby,87,90,0.0859276249282
Lamar_Alexander,87,91,0.484764283364
Lindsey_Graham,87,92,0.201476983755
Jeff_Merkley,87,93,0.0439855701574
Christopher_Murphy,87,94,0.232432706944
Kelly_Ayotte,87,95,0.278921251339
Joe_Manchin,87,96,0.35862806704
Patrick_Toomey,87,97,0.374475210359
Robert_MenÌ.ndez,87,98,0.179159772874
Ron_Johnson,87,99,0.0355572340709
Rand_Paul,87,100,0.0692049365653
