,source,target,value
Harry_Reid,45,0,0.323946249171
Thomas_Harkin,45,1,0.167976929079
Max_Baucus,45,2,0.157514841684
Mitch_McConnell,45,3,0.279108802075
Mark_Pryor,45,4,0.304685137508
Susan_Collins,45,5,0.210637810767
Carl_Levin,45,6,0.178556239358
James_Inhofe,45,7,0.260260962001
Jefferson_Sessions,45,8,0.237545851669
David_Vitter,45,9,0.196368148009
John_Rockefeller,45,10,0.243020206952
Bernard_Sanders,45,11,0.114301251554
Thomas_Carper,45,12,0.207170939855
Saxby_Chambliss,45,13,0.269311274845
Richard_Burr,45,14,0.196865948293
Robert_Casey,45,15,0.265642082527
John_Boozman,45,16,0.159396317298
Patty_Murray,45,17,0.210117771194
Mary_Landrieu,45,18,0.168867118227
Jerry_Moran,45,19,0.164405936611
Claire_McCaskill,45,20,0.100335384799
Mark_Udall,45,21,0.278845091741
Kay_Hagan,45,22,0.224383750144
John_Cornyn,45,23,0.191322425446
Michael_Crapo,45,24,0.24675464426
Bob_Corker,45,25,0.312367778021
John_Barrasso,45,26,0.24172474908
Michael_Enzi,45,27,0.284954280214
Thomas_Coburn,45,28,0.13738182658
Sheldon_Whitehouse,45,29,0.189241987151
Jeanne_Shaheen,45,30,0.271062370079
Martin_Heinrich,45,31,0.293617787333
Daniel_Coats,45,32,0.306884554276
Charles_Schumer,45,33,0.234898709237
Richard_Durbin,45,34,0.269347648343
Roy_Blunt,45,35,0.139070236779
Mark_Warner,45,36,0.265300604243
James_Risch,45,37,0.304355399084
Tim_Johnson,45,38,0.257206386788
Alan_Franken,45,39,0.182726330595
Mark_Begich,45,40,0.335314374877
Brian_Schatz,45,41,0.331841373368
Deb_Fischer,45,42,0.291431882825
Kirsten_Gillibrand,45,43,0.188604358204
Tammy_Baldwin,45,44,0.208631914036
John_Walsh,45,45,1.0
Mark_Kirk,45,46,0.273908508028
Dean_Heller,45,47,0.168885137456
Jeff_Flake,45,48,0.148270042137
Thad_Cochran,45,49,0.258137311925
Mike_Johanns,45,50,0.172736310639
Robert_Portman,45,51,0.215539783304
Edward_Markey,45,52,0.189042267973
Cory_Booker,45,53,0.253078544935
Roger_Wicker,45,54,0.245902042433
Benjamin_Cardin,45,55,0.249902735844
Tom_Udall,45,56,0.183995925381
Mike_Lee,45,57,0.230340499849
Ted_Cruz,45,58,0.0974951538641
Amy_Klobuchar,45,59,0.204764131817
Pat_Roberts,45,60,0.306904835351
Patrick_Leahy,45,61,0.0426384532877
Orrin_Hatch,45,62,0.19006855238
Charles_Grassley,45,63,0.207885951678
Ron_Wyden,45,64,0.0648978174567
Debbie_Stabenow,45,65,0.187303804221
Dianne_Feinstein,45,66,0.193490043275
John_Isakson,45,67,0.186516475035
Barbara_Boxer,45,68,0.140670138788
Chris_Coons,45,69,0.156922478582
John_McCain,45,70,0.162410053043
Lisa_Murkowski,45,71,0.290870683767
John_Hoeven,45,72,0.334222419934
Jon_Tester,45,73,0.327477718419
Maria_Cantwell,45,74,0.198322113743
Heidi_Heitkamp,45,75,0.22986225705
Marco_Rubio,45,76,0.203246484
Barbara_Mikulski,45,77,0.13209686788
Angus_King,45,78,0.22461147776
Mazie_Hirono,45,79,0.330767344468
John_Reed,45,80,0.278996792791
Tim_Scott,45,81,0.223973165849
Bill_Nelson,45,82,0.261653153728
Richard_Blumenthal,45,83,0.175043367116
Joe_Donnelly,45,84,0.202385424914
Elizabeth_Warren,45,85,0.203683394397
Timothy_Kaine,45,86,0.284439795789
John_Thune,45,87,0.278252173369
Sherrod_Brown,45,88,0.228583936948
Michael_Bennet,45,89,0.267757098065
Richard_Shelby,45,90,0.0464861697271
Lamar_Alexander,45,91,0.301523262433
Lindsey_Graham,45,92,0.198087559423
Jeff_Merkley,45,93,0.10926850734
Christopher_Murphy,45,94,0.221855696973
Kelly_Ayotte,45,95,0.204766029472
Joe_Manchin,45,96,0.356295656709
Patrick_Toomey,45,97,0.245920161332
Robert_MenÌ.ndez,45,98,0.248641176846
Ron_Johnson,45,99,0.0280571435064
Rand_Paul,45,100,0.0895952867429
