,source,target,value
Harry_Reid,73,0,0.0509990716219
Thomas_Harkin,73,1,0.265403813831
Max_Baucus,73,2,0.0621835790357
Mitch_McConnell,73,3,0.0711239032735
Mark_Pryor,73,4,0.260395484846
Susan_Collins,73,5,0.0902976475133
Carl_Levin,73,6,0.217167851915
James_Inhofe,73,7,0.110290465743
Jefferson_Sessions,73,8,0.199512632011
David_Vitter,73,9,0.126272288188
John_Rockefeller,73,10,0.098937619237
Bernard_Sanders,73,11,0.125197350732
Thomas_Carper,73,12,0.0496121352798
Saxby_Chambliss,73,13,0.25650029441
Richard_Burr,73,14,0.146269588253
Robert_Casey,73,15,0.280189683792
John_Boozman,73,16,0.145872581674
Patty_Murray,73,17,0.145733526849
Mary_Landrieu,73,18,0.158655263488
Jerry_Moran,73,19,0.13111040099
Claire_McCaskill,73,20,0.0750756588464
Mark_Udall,73,21,0.0636648894393
Kay_Hagan,73,22,0.166919781118
John_Cornyn,73,23,0.190072164999
Michael_Crapo,73,24,0.190355798901
Bob_Corker,73,25,0.233435909462
John_Barrasso,73,26,0.250592630903
Michael_Enzi,73,27,0.267946470651
Thomas_Coburn,73,28,0.0518039903221
Sheldon_Whitehouse,73,29,0.12896908417
Jeanne_Shaheen,73,30,0.245343287542
Martin_Heinrich,73,31,0.292243302014
Daniel_Coats,73,32,0.235938706529
Charles_Schumer,73,33,0.239230748053
Richard_Durbin,73,34,0.1487055059
Roy_Blunt,73,35,0.154147146556
Mark_Warner,73,36,0.245696358455
James_Risch,73,37,0.22763242448
Tim_Johnson,73,38,0.117631213359
Alan_Franken,73,39,0.270450047722
Mark_Begich,73,40,0.256369165329
Brian_Schatz,73,41,0.267903085022
Deb_Fischer,73,42,0.0863732158183
Kirsten_Gillibrand,73,43,0.334165818549
Tammy_Baldwin,73,44,0.15209580767
John_Walsh,73,45,0.327477718419
Mark_Kirk,73,46,0.191802332845
Dean_Heller,73,47,0.159303465746
Jeff_Flake,73,48,0.0357039492745
Thad_Cochran,73,49,0.158497069896
Mike_Johanns,73,50,0.0737480510796
Robert_Portman,73,51,0.202477624261
Edward_Markey,73,52,0.221341084333
Cory_Booker,73,53,0.274471649914
Roger_Wicker,73,54,0.165977751251
Benjamin_Cardin,73,55,0.211124993611
Tom_Udall,73,56,0.152158452702
Mike_Lee,73,57,0.0570221390618
Ted_Cruz,73,58,0.035255746271
Amy_Klobuchar,73,59,0.122650947078
Pat_Roberts,73,60,0.160879817965
Patrick_Leahy,73,61,0.0791037402143
Orrin_Hatch,73,62,0.216240620816
Charles_Grassley,73,63,0.0735517469738
Ron_Wyden,73,64,0.0639162508803
Debbie_Stabenow,73,65,0.23435841019
Dianne_Feinstein,73,66,0.107997857549
John_Isakson,73,67,0.163141265191
Barbara_Boxer,73,68,0.209395993337
Chris_Coons,73,69,0.284737128258
John_McCain,73,70,0.115124205534
Lisa_Murkowski,73,71,0.229784789382
John_Hoeven,73,72,0.212545487322
Jon_Tester,73,73,1.0
Maria_Cantwell,73,74,0.175883525419
Heidi_Heitkamp,73,75,0.2696999341
Marco_Rubio,73,76,0.161053584448
Barbara_Mikulski,73,77,0.207315313627
Angus_King,73,78,0.19651823703
Mazie_Hirono,73,79,0.216631024473
John_Reed,73,80,0.178273798707
Tim_Scott,73,81,0.1372276059
Bill_Nelson,73,82,0.220755879439
Richard_Blumenthal,73,83,0.168698143203
Joe_Donnelly,73,84,0.104047336009
Elizabeth_Warren,73,85,0.311660344218
Timothy_Kaine,73,86,0.132605156886
John_Thune,73,87,0.127738027454
Sherrod_Brown,73,88,0.2924910397
Michael_Bennet,73,89,0.216955730188
Richard_Shelby,73,90,0.0259622819135
Lamar_Alexander,73,91,0.160270527377
Lindsey_Graham,73,92,0.108211304855
Jeff_Merkley,73,93,0.14260125864
Christopher_Murphy,73,94,0.251820682069
Kelly_Ayotte,73,95,0.12816802967
Joe_Manchin,73,96,0.282385223152
Patrick_Toomey,73,97,0.290127593607
Robert_MenÌ.ndez,73,98,0.23657452622
Ron_Johnson,73,99,0.0141335945185
Rand_Paul,73,100,0.0
