,source,target,value
Harry_Reid,22,0,0.187369236816
Thomas_Harkin,22,1,0.178006854532
Max_Baucus,22,2,0.0820832131088
Mitch_McConnell,22,3,0.229998258865
Mark_Pryor,22,4,0.287847033453
Susan_Collins,22,5,0.166403548111
Carl_Levin,22,6,0.0886169797599
James_Inhofe,22,7,0.15784010544
Jefferson_Sessions,22,8,0.176076239
David_Vitter,22,9,0.209914998206
John_Rockefeller,22,10,0.197734964686
Bernard_Sanders,22,11,0.177209449644
Thomas_Carper,22,12,0.239447791207
Saxby_Chambliss,22,13,0.192953453665
Richard_Burr,22,14,0.19749130178
Robert_Casey,22,15,0.268844312509
John_Boozman,22,16,0.224990950116
Patty_Murray,22,17,0.238554263663
Mary_Landrieu,22,18,0.211030330779
Jerry_Moran,22,19,0.168724949899
Claire_McCaskill,22,20,0.277706722418
Mark_Udall,22,21,0.279711555383
Kay_Hagan,22,22,1.0
John_Cornyn,22,23,0.143537569815
Michael_Crapo,22,24,0.267745266004
Bob_Corker,22,25,0.201612031484
John_Barrasso,22,26,0.198378640532
Michael_Enzi,22,27,0.143445038483
Thomas_Coburn,22,28,0.0763830148433
Sheldon_Whitehouse,22,29,0.295952290363
Jeanne_Shaheen,22,30,0.283510758588
Martin_Heinrich,22,31,0.252293420553
Daniel_Coats,22,32,0.214773582467
Charles_Schumer,22,33,0.193110004103
Richard_Durbin,22,34,0.185643861818
Roy_Blunt,22,35,0.111776026703
Mark_Warner,22,36,0.297934622472
James_Risch,22,37,0.232453036496
Tim_Johnson,22,38,0.219357261622
Alan_Franken,22,39,0.187530346232
Mark_Begich,22,40,0.141816451116
Brian_Schatz,22,41,0.278860744832
Deb_Fischer,22,42,0.23098645188
Kirsten_Gillibrand,22,43,0.14553344073
Tammy_Baldwin,22,44,0.219758296986
John_Walsh,22,45,0.224383750144
Mark_Kirk,22,46,0.227836190216
Dean_Heller,22,47,0.137975409336
Jeff_Flake,22,48,0.206749991012
Thad_Cochran,22,49,0.161266292049
Mike_Johanns,22,50,0.214834602547
Robert_Portman,22,51,0.11549406747
Edward_Markey,22,52,0.218950172027
Cory_Booker,22,53,0.197276829409
Roger_Wicker,22,54,0.159104217297
Benjamin_Cardin,22,55,0.236408020632
Tom_Udall,22,56,0.169855381791
Mike_Lee,22,57,0.0797751277037
Ted_Cruz,22,58,0.0419986481392
Amy_Klobuchar,22,59,0.133763565804
Pat_Roberts,22,60,0.24781088165
Patrick_Leahy,22,61,0.159385945255
Orrin_Hatch,22,62,0.172965701815
Charles_Grassley,22,63,0.065310536209
Ron_Wyden,22,64,0.123783128854
Debbie_Stabenow,22,65,0.268878445059
Dianne_Feinstein,22,66,0.17118197563
John_Isakson,22,67,0.099108107138
Barbara_Boxer,22,68,0.16954676358
Chris_Coons,22,69,0.236822769406
John_McCain,22,70,0.202322240353
Lisa_Murkowski,22,71,0.145490968177
John_Hoeven,22,72,0.173148781108
Jon_Tester,22,73,0.166919781118
Maria_Cantwell,22,74,0.160947261415
Heidi_Heitkamp,22,75,0.166876228672
Marco_Rubio,22,76,0.197451298229
Barbara_Mikulski,22,77,0.112142640788
Angus_King,22,78,0.210465028601
Mazie_Hirono,22,79,0.257810589039
John_Reed,22,80,0.309008541355
Tim_Scott,22,81,0.181658340214
Bill_Nelson,22,82,0.284660050776
Richard_Blumenthal,22,83,0.151365564681
Joe_Donnelly,22,84,0.167206488966
Elizabeth_Warren,22,85,0.186813426044
Timothy_Kaine,22,86,0.268285869383
John_Thune,22,87,0.139782215378
Sherrod_Brown,22,88,0.215426948899
Michael_Bennet,22,89,0.265531925058
Richard_Shelby,22,90,0.0505300227773
Lamar_Alexander,22,91,0.236288056397
Lindsey_Graham,22,92,0.219709834166
Jeff_Merkley,22,93,0.0677382824971
Christopher_Murphy,22,94,0.179812367558
Kelly_Ayotte,22,95,0.176635528791
Joe_Manchin,22,96,0.257909998639
Patrick_Toomey,22,97,0.169713426632
Robert_MenÌ.ndez,22,98,0.142629853911
Ron_Johnson,22,99,0.0944566857488
Rand_Paul,22,100,0.0329849349718
