,source,target,value
Harry_Reid,95,0,0.32652145994
Thomas_Harkin,95,1,0.117449030118
Max_Baucus,95,2,0.0412044328954
Mitch_McConnell,95,3,0.250249297925
Mark_Pryor,95,4,0.144286446018
Susan_Collins,95,5,0.284335277248
Carl_Levin,95,6,0.0552706476647
James_Inhofe,95,7,0.22005383631
Jefferson_Sessions,95,8,0.156787805416
David_Vitter,95,9,0.173323625859
John_Rockefeller,95,10,0.151814089785
Bernard_Sanders,95,11,0.0797595850139
Thomas_Carper,95,12,0.155875957135
Saxby_Chambliss,95,13,0.235359824748
Richard_Burr,95,14,0.233289741974
Robert_Casey,95,15,0.133792228453
John_Boozman,95,16,0.203449585456
Patty_Murray,95,17,0.144960281923
Mary_Landrieu,95,18,0.196314611197
Jerry_Moran,95,19,0.19429217425
Claire_McCaskill,95,20,0.126854528522
Mark_Udall,95,21,0.178735917857
Kay_Hagan,95,22,0.176635528791
John_Cornyn,95,23,0.246110679972
Michael_Crapo,95,24,0.180560061133
Bob_Corker,95,25,0.191777733724
John_Barrasso,95,26,0.194185190952
Michael_Enzi,95,27,0.29452726099
Thomas_Coburn,95,28,0.158091692751
Sheldon_Whitehouse,95,29,0.253348986624
Jeanne_Shaheen,95,30,0.260706059984
Martin_Heinrich,95,31,0.166488576874
Daniel_Coats,95,32,0.255229178353
Charles_Schumer,95,33,0.164361987202
Richard_Durbin,95,34,0.168844524152
Roy_Blunt,95,35,0.179149394978
Mark_Warner,95,36,0.211789167764
James_Risch,95,37,0.194962528297
Tim_Johnson,95,38,0.179658993131
Alan_Franken,95,39,0.150950329155
Mark_Begich,95,40,0.120403393434
Brian_Schatz,95,41,0.199433422303
Deb_Fischer,95,42,0.262553178567
Kirsten_Gillibrand,95,43,0.19874444773
Tammy_Baldwin,95,44,0.214131667923
John_Walsh,95,45,0.204766029472
Mark_Kirk,95,46,0.214226401373
Dean_Heller,95,47,0.169694919236
Jeff_Flake,95,48,0.133087208841
Thad_Cochran,95,49,0.232180549989
Mike_Johanns,95,50,0.158917130291
Robert_Portman,95,51,0.229651286831
Edward_Markey,95,52,0.108246080526
Cory_Booker,95,53,0.109711451446
Roger_Wicker,95,54,0.346413584972
Benjamin_Cardin,95,55,0.103869120661
Tom_Udall,95,56,0.186099322773
Mike_Lee,95,57,0.115969769334
Ted_Cruz,95,58,0.100676275659
Amy_Klobuchar,95,59,0.154222251522
Pat_Roberts,95,60,0.290046230856
Patrick_Leahy,95,61,0.0517027334693
Orrin_Hatch,95,62,0.244446027308
Charles_Grassley,95,63,0.240356904605
Ron_Wyden,95,64,0.061050687582
Debbie_Stabenow,95,65,0.157247319357
Dianne_Feinstein,95,66,0.2443053849
John_Isakson,95,67,0.169691888333
Barbara_Boxer,95,68,0.259265964854
Chris_Coons,95,69,0.184710225295
John_McCain,95,70,0.188960519287
Lisa_Murkowski,95,71,0.181354456223
John_Hoeven,95,72,0.212573184403
Jon_Tester,95,73,0.12816802967
Maria_Cantwell,95,74,0.197475502523
Heidi_Heitkamp,95,75,0.150303209497
Marco_Rubio,95,76,0.156005821302
Barbara_Mikulski,95,77,0.0999737108959
Angus_King,95,78,0.213188175422
Mazie_Hirono,95,79,0.230439272574
John_Reed,95,80,0.157542491023
Tim_Scott,95,81,0.208652774541
Bill_Nelson,95,82,0.159099198079
Richard_Blumenthal,95,83,0.181500092439
Joe_Donnelly,95,84,0.242066141689
Elizabeth_Warren,95,85,0.192620957543
Timothy_Kaine,95,86,0.23305568961
John_Thune,95,87,0.278921251339
Sherrod_Brown,95,88,0.119782538194
Michael_Bennet,95,89,0.264765132341
Richard_Shelby,95,90,0.0495055484708
Lamar_Alexander,95,91,0.281130459549
Lindsey_Graham,95,92,0.201081370072
Jeff_Merkley,95,93,0.114433786488
Christopher_Murphy,95,94,0.178668892155
Kelly_Ayotte,95,95,1.0
Joe_Manchin,95,96,0.271395663398
Patrick_Toomey,95,97,0.189277313034
Robert_MenÌ.ndez,95,98,0.121954219433
Ron_Johnson,95,99,0.0867365641204
Rand_Paul,95,100,0.0550339849229
