,source,target,value
Harry_Reid,43,0,0.0464981555194
Thomas_Harkin,43,1,0.199998239989
Max_Baucus,43,2,0.0308009062998
Mitch_McConnell,43,3,0.143688610531
Mark_Pryor,43,4,0.184464050154
Susan_Collins,43,5,0.212836978279
Carl_Levin,43,6,0.196111818259
James_Inhofe,43,7,0.107940756461
Jefferson_Sessions,43,8,0.187879232904
David_Vitter,43,9,0.0995826138931
John_Rockefeller,43,10,0.209619943585
Bernard_Sanders,43,11,0.139984699518
Thomas_Carper,43,12,0.162473074738
Saxby_Chambliss,43,13,0.13110811286
Richard_Burr,43,14,0.193939320127
Robert_Casey,43,15,0.279979454974
John_Boozman,43,16,0.105382691076
Patty_Murray,43,17,0.107797008447
Mary_Landrieu,43,18,0.223450676502
Jerry_Moran,43,19,0.0776748170831
Claire_McCaskill,43,20,0.185586026139
Mark_Udall,43,21,0.110564351483
Kay_Hagan,43,22,0.14553344073
John_Cornyn,43,23,0.117648578998
Michael_Crapo,43,24,0.15415417892
Bob_Corker,43,25,0.27759859835
John_Barrasso,43,26,0.20369845896
Michael_Enzi,43,27,0.187898394633
Thomas_Coburn,43,28,0.163634857483
Sheldon_Whitehouse,43,29,0.323613858909
Jeanne_Shaheen,43,30,0.350645113969
Martin_Heinrich,43,31,0.274635777487
Daniel_Coats,43,32,0.215615189932
Charles_Schumer,43,33,0.234239344775
Richard_Durbin,43,34,0.243349227793
Roy_Blunt,43,35,0.117886251161
Mark_Warner,43,36,0.239453004011
James_Risch,43,37,0.200084293269
Tim_Johnson,43,38,0.163470755528
Alan_Franken,43,39,0.299460110079
Mark_Begich,43,40,0.200608740405
Brian_Schatz,43,41,0.300494009049
Deb_Fischer,43,42,0.134399786214
Kirsten_Gillibrand,43,43,1.0
Tammy_Baldwin,43,44,0.249420996363
John_Walsh,43,45,0.188604358204
Mark_Kirk,43,46,0.272451534772
Dean_Heller,43,47,0.109182681523
Jeff_Flake,43,48,0.0677668882337
Thad_Cochran,43,49,0.173182266799
Mike_Johanns,43,50,0.0866526508215
Robert_Portman,43,51,0.127186500081
Edward_Markey,43,52,0.304079546842
Cory_Booker,43,53,0.264546753261
Roger_Wicker,43,54,0.203218066115
Benjamin_Cardin,43,55,0.323138791945
Tom_Udall,43,56,0.254769611656
Mike_Lee,43,57,0.115324463504
Ted_Cruz,43,58,0.101899045368
Amy_Klobuchar,43,59,0.176604247242
Pat_Roberts,43,60,0.160615937454
Patrick_Leahy,43,61,0.116618061902
Orrin_Hatch,43,62,0.131672491418
Charles_Grassley,43,63,0.171291438207
Ron_Wyden,43,64,0.293601111077
Debbie_Stabenow,43,65,0.362726109952
Dianne_Feinstein,43,66,0.196171466431
John_Isakson,43,67,0.10735209891
Barbara_Boxer,43,68,0.304217997477
Chris_Coons,43,69,0.405292934328
John_McCain,43,70,0.11555959624
Lisa_Murkowski,43,71,0.181307471128
John_Hoeven,43,72,0.170221248378
Jon_Tester,43,73,0.334165818549
Maria_Cantwell,43,74,0.198453545584
Heidi_Heitkamp,43,75,0.268243605604
Marco_Rubio,43,76,0.107482637641
Barbara_Mikulski,43,77,0.247277710633
Angus_King,43,78,0.308371326602
Mazie_Hirono,43,79,0.295977377863
John_Reed,43,80,0.247875437834
Tim_Scott,43,81,0.101693740167
Bill_Nelson,43,82,0.221696013774
Richard_Blumenthal,43,83,0.336582766248
Joe_Donnelly,43,84,0.10911446792
Elizabeth_Warren,43,85,0.389542024685
Timothy_Kaine,43,86,0.225639429346
John_Thune,43,87,0.108327773972
Sherrod_Brown,43,88,0.305632367991
Michael_Bennet,43,89,0.319346333979
Richard_Shelby,43,90,0.0650988253056
Lamar_Alexander,43,91,0.198129485283
Lindsey_Graham,43,92,0.162749176779
Jeff_Merkley,43,93,0.291831214939
Christopher_Murphy,43,94,0.372817775936
Kelly_Ayotte,43,95,0.19874444773
Joe_Manchin,43,96,0.18179302188
Patrick_Toomey,43,97,0.146820691268
Robert_MenÌ.ndez,43,98,0.269928600213
Ron_Johnson,43,99,0.0635790221901
Rand_Paul,43,100,0.13307730495
