,source,target,value
Harry_Reid,91,0,0.439538937935
Thomas_Harkin,91,1,0.253171462063
Max_Baucus,91,2,0.0295843515336
Mitch_McConnell,91,3,0.487495442131
Mark_Pryor,91,4,0.274391268045
Susan_Collins,91,5,0.295912195078
Carl_Levin,91,6,0.066743745694
James_Inhofe,91,7,0.359275577605
Jefferson_Sessions,91,8,0.419585714551
David_Vitter,91,9,0.323999397945
John_Rockefeller,91,10,0.202165784012
Bernard_Sanders,91,11,0.0757050401488
Thomas_Carper,91,12,0.259734557104
Saxby_Chambliss,91,13,0.354438369212
Richard_Burr,91,14,0.384084820966
Robert_Casey,91,15,0.309551570192
John_Boozman,91,16,0.308527028542
Patty_Murray,91,17,0.298301386805
Mary_Landrieu,91,18,0.216732191432
Jerry_Moran,91,19,0.224398818842
Claire_McCaskill,91,20,0.0964589104213
Mark_Udall,91,21,0.348455206079
Kay_Hagan,91,22,0.236288056397
John_Cornyn,91,23,0.457833396243
Michael_Crapo,91,24,0.449527313379
Bob_Corker,91,25,0.554433087845
John_Barrasso,91,26,0.427702846548
Michael_Enzi,91,27,0.43774448489
Thomas_Coburn,91,28,0.30731724592
Sheldon_Whitehouse,91,29,0.26353222791
Jeanne_Shaheen,91,30,0.29362658289
Martin_Heinrich,91,31,0.25318639329
Daniel_Coats,91,32,0.49654264613
Charles_Schumer,91,33,0.216340837617
Richard_Durbin,91,34,0.335160844579
Roy_Blunt,91,35,0.258022807791
Mark_Warner,91,36,0.26812121111
James_Risch,91,37,0.441455396715
Tim_Johnson,91,38,0.315310135597
Alan_Franken,91,39,0.268093071084
Mark_Begich,91,40,0.148361522959
Brian_Schatz,91,41,0.258151743322
Deb_Fischer,91,42,0.286301361849
Kirsten_Gillibrand,91,43,0.198129485283
Tammy_Baldwin,91,44,0.164007469297
John_Walsh,91,45,0.301523262433
Mark_Kirk,91,46,0.321664535998
Dean_Heller,91,47,0.242971549771
Jeff_Flake,91,48,0.269562721696
Thad_Cochran,91,49,0.434188165502
Mike_Johanns,91,50,0.194360746095
Robert_Portman,91,51,0.319258819834
Edward_Markey,91,52,0.135610045591
Cory_Booker,91,53,0.139464455437
Roger_Wicker,91,54,0.297219729862
Benjamin_Cardin,91,55,0.246401245964
Tom_Udall,91,56,0.174517043625
Mike_Lee,91,57,0.27323408576
Ted_Cruz,91,58,0.182089218062
Amy_Klobuchar,91,59,0.198010289141
Pat_Roberts,91,60,0.460209175713
Patrick_Leahy,91,61,0.0728552728604
Orrin_Hatch,91,62,0.311927731733
Charles_Grassley,91,63,0.372213088594
Ron_Wyden,91,64,0.129808834211
Debbie_Stabenow,91,65,0.225310058136
Dianne_Feinstein,91,66,0.22536013457
John_Isakson,91,67,0.259723775608
Barbara_Boxer,91,68,0.156767482952
Chris_Coons,91,69,0.192123347918
John_McCain,91,70,0.315125876022
Lisa_Murkowski,91,71,0.338940912876
John_Hoeven,91,72,0.455270420333
Jon_Tester,91,73,0.160270527377
Maria_Cantwell,91,74,0.201466014241
Heidi_Heitkamp,91,75,0.106943401846
Marco_Rubio,91,76,0.273849142173
Barbara_Mikulski,91,77,0.14386119713
Angus_King,91,78,0.322525338964
Mazie_Hirono,91,79,0.321973253517
John_Reed,91,80,0.271178750753
Tim_Scott,91,81,0.354564930277
Bill_Nelson,91,82,0.275304963964
Richard_Blumenthal,91,83,0.184564831708
Joe_Donnelly,91,84,0.155127457097
Elizabeth_Warren,91,85,0.187802946955
Timothy_Kaine,91,86,0.283986125909
John_Thune,91,87,0.484764283364
Sherrod_Brown,91,88,0.151703937169
Michael_Bennet,91,89,0.346936263286
Richard_Shelby,91,90,0.102540667563
Lamar_Alexander,91,91,1.0
Lindsey_Graham,91,92,0.17387499602
Jeff_Merkley,91,93,0.112614037682
Christopher_Murphy,91,94,0.167344607529
Kelly_Ayotte,91,95,0.281130459549
Joe_Manchin,91,96,0.348403676768
Patrick_Toomey,91,97,0.312405680339
Robert_MenÌ.ndez,91,98,0.160866852899
Ron_Johnson,91,99,0.145128902098
Rand_Paul,91,100,0.213856052674
