,source,target,value
Harry_Reid,92,0,0.173193785205
Thomas_Harkin,92,1,0.163283110812
Max_Baucus,92,2,0.105751859943
Mitch_McConnell,92,3,0.233750228838
Mark_Pryor,92,4,0.224737973306
Susan_Collins,92,5,0.173730776769
Carl_Levin,92,6,0.0641726462857
James_Inhofe,92,7,0.153443885942
Jefferson_Sessions,92,8,0.1956042336
David_Vitter,92,9,0.225340283752
John_Rockefeller,92,10,0.1204816217
Bernard_Sanders,92,11,0.0199026664453
Thomas_Carper,92,12,0.236856151976
Saxby_Chambliss,92,13,0.212822495014
Richard_Burr,92,14,0.353836114886
Robert_Casey,92,15,0.117956519924
John_Boozman,92,16,0.318386795303
Patty_Murray,92,17,0.161814079339
Mary_Landrieu,92,18,0.095924653277
Jerry_Moran,92,19,0.399341790179
Claire_McCaskill,92,20,0.0442875886394
Mark_Udall,92,21,0.207158975177
Kay_Hagan,92,22,0.219709834166
John_Cornyn,92,23,0.320676944523
Michael_Crapo,92,24,0.303804864392
Bob_Corker,92,25,0.253988074636
John_Barrasso,92,26,0.227518284604
Michael_Enzi,92,27,0.20936509482
Thomas_Coburn,92,28,0.0436768571201
Sheldon_Whitehouse,92,29,0.182039198307
Jeanne_Shaheen,92,30,0.210862835709
Martin_Heinrich,92,31,0.115788246143
Daniel_Coats,92,32,0.34052736491
Charles_Schumer,92,33,0.157044449847
Richard_Durbin,92,34,0.130266356231
Roy_Blunt,92,35,0.215731213353
Mark_Warner,92,36,0.193012730188
James_Risch,92,37,0.242994414765
Tim_Johnson,92,38,0.18329857901
Alan_Franken,92,39,0.170222932696
Mark_Begich,92,40,0.152363874941
Brian_Schatz,92,41,0.127684633216
Deb_Fischer,92,42,0.29209392084
Kirsten_Gillibrand,92,43,0.162749176779
Tammy_Baldwin,92,44,0.12077321149
John_Walsh,92,45,0.198087559423
Mark_Kirk,92,46,0.355506765261
Dean_Heller,92,47,0.192570026251
Jeff_Flake,92,48,0.328814637846
Thad_Cochran,92,49,0.327090012142
Mike_Johanns,92,50,0.207370296375
Robert_Portman,92,51,0.137142569829
Edward_Markey,92,52,0.111939047575
Cory_Booker,92,53,0.147411089826
Roger_Wicker,92,54,0.251353122138
Benjamin_Cardin,92,55,0.175053738983
Tom_Udall,92,56,0.0965159658197
Mike_Lee,92,57,0.182097839732
Ted_Cruz,92,58,0.146415574873
Amy_Klobuchar,92,59,0.141638555599
Pat_Roberts,92,60,0.297744737127
Patrick_Leahy,92,61,0.0386818637637
Orrin_Hatch,92,62,0.222391179288
Charles_Grassley,92,63,0.211314539989
Ron_Wyden,92,64,0.05672225614
Debbie_Stabenow,92,65,0.170305445005
Dianne_Feinstein,92,66,0.18716132604
John_Isakson,92,67,0.272501791303
Barbara_Boxer,92,68,0.029610011787
Chris_Coons,92,69,0.229570856826
John_McCain,92,70,0.281631070466
Lisa_Murkowski,92,71,0.229230975054
John_Hoeven,92,72,0.251543341843
Jon_Tester,92,73,0.108211304855
Maria_Cantwell,92,74,0.176649221746
Heidi_Heitkamp,92,75,0.0817213646706
Marco_Rubio,92,76,0.202106428624
Barbara_Mikulski,92,77,0.0246463559593
Angus_King,92,78,0.251735720003
Mazie_Hirono,92,79,0.165127272883
John_Reed,92,80,0.16624313809
Tim_Scott,92,81,0.326695782001
Bill_Nelson,92,82,0.169002972809
Richard_Blumenthal,92,83,0.0838518044405
Joe_Donnelly,92,84,0.109272853233
Elizabeth_Warren,92,85,0.0774345060286
Timothy_Kaine,92,86,0.133347151992
John_Thune,92,87,0.201476983755
Sherrod_Brown,92,88,0.157344063929
Michael_Bennet,92,89,0.107017081084
Richard_Shelby,92,90,0.11428413599
Lamar_Alexander,92,91,0.17387499602
Lindsey_Graham,92,92,1.0
Jeff_Merkley,92,93,0.0953813411208
Christopher_Murphy,92,94,0.149371608619
Kelly_Ayotte,92,95,0.201081370072
Joe_Manchin,92,96,0.156301097983
Patrick_Toomey,92,97,0.163021963264
Robert_MenÌ.ndez,92,98,0.103447251821
Ron_Johnson,92,99,0.17293130868
Rand_Paul,92,100,0.0340082375994
