,source,target,value
Harry_Reid,71,0,0.286363552165
Thomas_Harkin,71,1,0.192697337309
Max_Baucus,71,2,0.0579884304258
Mitch_McConnell,71,3,0.376622706549
Mark_Pryor,71,4,0.26169424627
Susan_Collins,71,5,0.24843076338
Carl_Levin,71,6,0.0527110911531
James_Inhofe,71,7,0.307704240356
Jefferson_Sessions,71,8,0.331937207935
David_Vitter,71,9,0.325816429717
John_Rockefeller,71,10,0.169553966111
Bernard_Sanders,71,11,0.0659396092374
Thomas_Carper,71,12,0.161424514086
Saxby_Chambliss,71,13,0.269498993213
Richard_Burr,71,14,0.223422326346
Robert_Casey,71,15,0.242996857881
John_Boozman,71,16,0.289661713062
Patty_Murray,71,17,0.19970614728
Mary_Landrieu,71,18,0.31109422751
Jerry_Moran,71,19,0.216431715177
Claire_McCaskill,71,20,0.190010888689
Mark_Udall,71,21,0.245115964949
Kay_Hagan,71,22,0.145490968177
John_Cornyn,71,23,0.313388510793
Michael_Crapo,71,24,0.350345683452
Bob_Corker,71,25,0.362875346173
John_Barrasso,71,26,0.442290856934
Michael_Enzi,71,27,0.361018664371
Thomas_Coburn,71,28,0.125957353731
Sheldon_Whitehouse,71,29,0.160769951267
Jeanne_Shaheen,71,30,0.210986945133
Martin_Heinrich,71,31,0.270705999627
Daniel_Coats,71,32,0.39424130156
Charles_Schumer,71,33,0.266061953827
Richard_Durbin,71,34,0.273191623101
Roy_Blunt,71,35,0.382622871509
Mark_Warner,71,36,0.340452877797
James_Risch,71,37,0.348435096592
Tim_Johnson,71,38,0.257876809354
Alan_Franken,71,39,0.303715200424
Mark_Begich,71,40,0.329855619861
Brian_Schatz,71,41,0.187846421332
Deb_Fischer,71,42,0.284727778937
Kirsten_Gillibrand,71,43,0.181307471128
Tammy_Baldwin,71,44,0.159713202879
John_Walsh,71,45,0.290870683767
Mark_Kirk,71,46,0.382393814952
Dean_Heller,71,47,0.240053952545
Jeff_Flake,71,48,0.176392090517
Thad_Cochran,71,49,0.34389165334
Mike_Johanns,71,50,0.203450881048
Robert_Portman,71,51,0.38594409906
Edward_Markey,71,52,0.16100067514
Cory_Booker,71,53,0.110261041164
Roger_Wicker,71,54,0.220673780091
Benjamin_Cardin,71,55,0.253250489326
Tom_Udall,71,56,0.217234849442
Mike_Lee,71,57,0.194192351505
Ted_Cruz,71,58,0.114627332241
Amy_Klobuchar,71,59,0.140326036423
Pat_Roberts,71,60,0.29327370206
Patrick_Leahy,71,61,0.0926433223671
Orrin_Hatch,71,62,0.320346187857
Charles_Grassley,71,63,0.238738437505
Ron_Wyden,71,64,0.13336659604
Debbie_Stabenow,71,65,0.133737240335
Dianne_Feinstein,71,66,0.200364275336
John_Isakson,71,67,0.26188699324
Barbara_Boxer,71,68,0.171989426263
Chris_Coons,71,69,0.249390907164
John_McCain,71,70,0.231504223964
Lisa_Murkowski,71,71,1.0
John_Hoeven,71,72,0.438019145584
Jon_Tester,71,73,0.229784789382
Maria_Cantwell,71,74,0.123784898496
Heidi_Heitkamp,71,75,0.191901845234
Marco_Rubio,71,76,0.290051124618
Barbara_Mikulski,71,77,0.152160845879
Angus_King,71,78,0.315249794732
Mazie_Hirono,71,79,0.216022449921
John_Reed,71,80,0.225475871287
Tim_Scott,71,81,0.321934059472
Bill_Nelson,71,82,0.28724385771
Richard_Blumenthal,71,83,0.194055667359
Joe_Donnelly,71,84,0.153817467158
Elizabeth_Warren,71,85,0.184320424858
Timothy_Kaine,71,86,0.169545244633
John_Thune,71,87,0.295426101161
Sherrod_Brown,71,88,0.187416240104
Michael_Bennet,71,89,0.265935528542
Richard_Shelby,71,90,0.0863897123625
Lamar_Alexander,71,91,0.338940912876
Lindsey_Graham,71,92,0.229230975054
Jeff_Merkley,71,93,0.151931191251
Christopher_Murphy,71,94,0.222385952724
Kelly_Ayotte,71,95,0.181354456223
Joe_Manchin,71,96,0.28294236664
Patrick_Toomey,71,97,0.32606864349
Robert_MenÌ.ndez,71,98,0.188952478454
Ron_Johnson,71,99,0.0607549224237
Rand_Paul,71,100,0.0207195108681
