,source,target,value
Harry_Reid,76,0,0.164482815166
Thomas_Harkin,76,1,0.19143762639
Max_Baucus,76,2,0.0636486708677
Mitch_McConnell,76,3,0.213119444612
Mark_Pryor,76,4,0.20804833356
Susan_Collins,76,5,0.222569604602
Carl_Levin,76,6,0.0316246583737
James_Inhofe,76,7,0.237792431584
Jefferson_Sessions,76,8,0.339977271115
David_Vitter,76,9,0.248323371963
John_Rockefeller,76,10,0.126361427401
Bernard_Sanders,76,11,0.0465381471548
Thomas_Carper,76,12,0.151379245881
Saxby_Chambliss,76,13,0.281843631481
Richard_Burr,76,14,0.31213836545
Robert_Casey,76,15,0.334086782293
John_Boozman,76,16,0.20672560795
Patty_Murray,76,17,0.170598176145
Mary_Landrieu,76,18,0.151416922614
Jerry_Moran,76,19,0.204931330235
Claire_McCaskill,76,20,0.2018706646
Mark_Udall,76,21,0.1589320525
Kay_Hagan,76,22,0.197451298229
John_Cornyn,76,23,0.289819247412
Michael_Crapo,76,24,0.356454818386
Bob_Corker,76,25,0.342322462251
John_Barrasso,76,26,0.340169216767
Michael_Enzi,76,27,0.273856980012
Thomas_Coburn,76,28,0.088575945688
Sheldon_Whitehouse,76,29,0.189048274743
Jeanne_Shaheen,76,30,0.157592060821
Martin_Heinrich,76,31,0.125615336553
Daniel_Coats,76,32,0.372103091826
Charles_Schumer,76,33,0.204551060123
Richard_Durbin,76,34,0.202003394321
Roy_Blunt,76,35,0.1527527059
Mark_Warner,76,36,0.190315941663
James_Risch,76,37,0.339727147124
Tim_Johnson,76,38,0.193138277552
Alan_Franken,76,39,0.260459074443
Mark_Begich,76,40,0.152586538442
Brian_Schatz,76,41,0.180541610413
Deb_Fischer,76,42,0.252834075135
Kirsten_Gillibrand,76,43,0.107482637641
Tammy_Baldwin,76,44,0.112945863086
John_Walsh,76,45,0.203246484
Mark_Kirk,76,46,0.291938741069
Dean_Heller,76,47,0.195081127364
Jeff_Flake,76,48,0.300241726888
Thad_Cochran,76,49,0.239301624382
Mike_Johanns,76,50,0.15204975402
Robert_Portman,76,51,0.340363281901
Edward_Markey,76,52,0.099531005063
Cory_Booker,76,53,0.0816109258495
Roger_Wicker,76,54,0.192629792399
Benjamin_Cardin,76,55,0.323494711731
Tom_Udall,76,56,0.0928099846387
Mike_Lee,76,57,0.0755685878967
Ted_Cruz,76,58,0.273599851146
Amy_Klobuchar,76,59,0.0934854188776
Pat_Roberts,76,60,0.245640249353
Patrick_Leahy,76,61,0.0617972202269
Orrin_Hatch,76,62,0.225361299725
Charles_Grassley,76,63,0.101972963224
Ron_Wyden,76,64,0.092679510451
Debbie_Stabenow,76,65,0.107647388701
Dianne_Feinstein,76,66,0.216065807774
John_Isakson,76,67,0.11446391271
Barbara_Boxer,76,68,0.170766620929
Chris_Coons,76,69,0.180799598603
John_McCain,76,70,0.230628317268
Lisa_Murkowski,76,71,0.290051124618
John_Hoeven,76,72,0.259034016127
Jon_Tester,76,73,0.161053584448
Maria_Cantwell,76,74,0.082297692268
Heidi_Heitkamp,76,75,0.135467365139
Marco_Rubio,76,76,1.0
Barbara_Mikulski,76,77,0.123252756166
Angus_King,76,78,0.209143012763
Mazie_Hirono,76,79,0.215480154246
John_Reed,76,80,0.213080776262
Tim_Scott,76,81,0.340210083998
Bill_Nelson,76,82,0.216031059692
Richard_Blumenthal,76,83,0.197212968912
Joe_Donnelly,76,84,0.141120951579
Elizabeth_Warren,76,85,0.185944636411
Timothy_Kaine,76,86,0.252804009651
John_Thune,76,87,0.264904198195
Sherrod_Brown,76,88,0.177827739711
Michael_Bennet,76,89,0.156224933788
Richard_Shelby,76,90,0.0723664616037
Lamar_Alexander,76,91,0.273849142173
Lindsey_Graham,76,92,0.202106428624
Jeff_Merkley,76,93,0.0513747115567
Christopher_Murphy,76,94,0.184443625938
Kelly_Ayotte,76,95,0.156005821302
Joe_Manchin,76,96,0.240018560079
Patrick_Toomey,76,97,0.264159105971
Robert_MenÌ.ndez,76,98,0.103547482325
Ron_Johnson,76,99,0.0223785441414
Rand_Paul,76,100,0.0545224399929
