,source,target,value
Harry_Reid,74,0,0.247493009557
Thomas_Harkin,74,1,0.129742539142
Max_Baucus,74,2,0.0846486466782
Mitch_McConnell,74,3,0.167274135036
Mark_Pryor,74,4,0.234316843881
Susan_Collins,74,5,0.169225647443
Carl_Levin,74,6,0.0646025145062
James_Inhofe,74,7,0.100270484407
Jefferson_Sessions,74,8,0.0352016619471
David_Vitter,74,9,0.129927191423
John_Rockefeller,74,10,0.114342815115
Bernard_Sanders,74,11,0.166694969567
Thomas_Carper,74,12,0.172601136197
Saxby_Chambliss,74,13,0.0866663313759
Richard_Burr,74,14,0.217188445969
Robert_Casey,74,15,0.169964003792
John_Boozman,74,16,0.166557319623
Patty_Murray,74,17,0.234360466802
Mary_Landrieu,74,18,0.153847957546
Jerry_Moran,74,19,0.165717864382
Claire_McCaskill,74,20,0.175575684184
Mark_Udall,74,21,0.309999529172
Kay_Hagan,74,22,0.160947261415
John_Cornyn,74,23,0.0437323814951
Michael_Crapo,74,24,0.256461182979
Bob_Corker,74,25,0.113715015287
John_Barrasso,74,26,0.121833041759
Michael_Enzi,74,27,0.176733508278
Thomas_Coburn,74,28,0.260051522797
Sheldon_Whitehouse,74,29,0.198848485403
Jeanne_Shaheen,74,30,0.230730352461
Martin_Heinrich,74,31,0.277009200966
Daniel_Coats,74,32,0.0639196757407
Charles_Schumer,74,33,0.106280075909
Richard_Durbin,74,34,0.177723686049
Roy_Blunt,74,35,0.135280448404
Mark_Warner,74,36,0.17634765006
James_Risch,74,37,0.112571051055
Tim_Johnson,74,38,0.191088532902
Alan_Franken,74,39,0.19784923826
Mark_Begich,74,40,0.121766903685
Brian_Schatz,74,41,0.293497480711
Deb_Fischer,74,42,0.197875846072
Kirsten_Gillibrand,74,43,0.198453545584
Tammy_Baldwin,74,44,0.226595466137
John_Walsh,74,45,0.198322113743
Mark_Kirk,74,46,0.163135195145
Dean_Heller,74,47,0.107453936328
Jeff_Flake,74,48,0.15376973914
Thad_Cochran,74,49,0.135635075901
Mike_Johanns,74,50,0.143165741985
Robert_Portman,74,51,0.132701234075
Edward_Markey,74,52,0.21702147822
Cory_Booker,74,53,0.364405737836
Roger_Wicker,74,54,0.19255236704
Benjamin_Cardin,74,55,0.255922767571
Tom_Udall,74,56,0.213401022744
Mike_Lee,74,57,0.210805848298
Ted_Cruz,74,58,0.112321562043
Amy_Klobuchar,74,59,0.289404385317
Pat_Roberts,74,60,0.259015579514
Patrick_Leahy,74,61,0.20522607265
Orrin_Hatch,74,62,0.0810929085082
Charles_Grassley,74,63,0.24554021996
Ron_Wyden,74,64,0.241512998567
Debbie_Stabenow,74,65,0.1874317728
Dianne_Feinstein,74,66,0.214798766836
John_Isakson,74,67,0.251820807061
Barbara_Boxer,74,68,0.121926880285
Chris_Coons,74,69,0.115044371077
John_McCain,74,70,0.185585402932
Lisa_Murkowski,74,71,0.123784898496
John_Hoeven,74,72,0.245495612071
Jon_Tester,74,73,0.175883525419
Maria_Cantwell,74,74,1.0
Heidi_Heitkamp,74,75,0.238841033643
Marco_Rubio,74,76,0.082297692268
Barbara_Mikulski,74,77,0.155683979692
Angus_King,74,78,0.223491720017
Mazie_Hirono,74,79,0.30295298114
John_Reed,74,80,0.119437734866
Tim_Scott,74,81,0.16736860376
Bill_Nelson,74,82,0.150744167121
Richard_Blumenthal,74,83,0.100652611488
Joe_Donnelly,74,84,0.232970935405
Elizabeth_Warren,74,85,0.191952716873
Timothy_Kaine,74,86,0.271975515546
John_Thune,74,87,0.196595914348
Sherrod_Brown,74,88,0.121540547765
Michael_Bennet,74,89,0.262051605953
Richard_Shelby,74,90,0.0192742187363
Lamar_Alexander,74,91,0.201466014241
Lindsey_Graham,74,92,0.176649221746
Jeff_Merkley,74,93,0.218408374683
Christopher_Murphy,74,94,0.231252556662
Kelly_Ayotte,74,95,0.197475502523
Joe_Manchin,74,96,0.189448746819
Patrick_Toomey,74,97,0.0576793727139
Robert_MenÌ.ndez,74,98,0.291852012045
Ron_Johnson,74,99,0.0986203414741
Rand_Paul,74,100,0.132951917187
