,source,target,value
Harry_Reid,40,0,0.126250741022
Thomas_Harkin,40,1,0.216768323679
Max_Baucus,40,2,0.0540917815895
Mitch_McConnell,40,3,0.119232338099
Mark_Pryor,40,4,0.259210160692
Susan_Collins,40,5,0.199779943811
Carl_Levin,40,6,0.15318103888
James_Inhofe,40,7,0.151832850124
Jefferson_Sessions,40,8,0.184185541003
David_Vitter,40,9,0.158483003972
John_Rockefeller,40,10,0.123279845653
Bernard_Sanders,40,11,0.114902727132
Thomas_Carper,40,12,0.0773960288211
Saxby_Chambliss,40,13,0.242258101688
Richard_Burr,40,14,0.221095048951
Robert_Casey,40,15,0.216181928046
John_Boozman,40,16,0.115074719731
Patty_Murray,40,17,0.112795626481
Mary_Landrieu,40,18,0.25118960498
Jerry_Moran,40,19,0.106908824612
Claire_McCaskill,40,20,0.199031435303
Mark_Udall,40,21,0.182047883804
Kay_Hagan,40,22,0.141816451116
John_Cornyn,40,23,0.196702022546
Michael_Crapo,40,24,0.140245696394
Bob_Corker,40,25,0.178856616563
John_Barrasso,40,26,0.245230590849
Michael_Enzi,40,27,0.193226642225
Thomas_Coburn,40,28,0.092864775991
Sheldon_Whitehouse,40,29,0.160476570977
Jeanne_Shaheen,40,30,0.234714008948
Martin_Heinrich,40,31,0.248744726844
Daniel_Coats,40,32,0.168784290489
Charles_Schumer,40,33,0.219528804671
Richard_Durbin,40,34,0.213767232789
Roy_Blunt,40,35,0.296254695985
Mark_Warner,40,36,0.224014323788
James_Risch,40,37,0.211341744675
Tim_Johnson,40,38,0.116432556346
Alan_Franken,40,39,0.192151994742
Mark_Begich,40,40,1.0
Brian_Schatz,40,41,0.274826151627
Deb_Fischer,40,42,0.148519566623
Kirsten_Gillibrand,40,43,0.200608740405
Tammy_Baldwin,40,44,0.141311272754
John_Walsh,40,45,0.335314374877
Mark_Kirk,40,46,0.190927232802
Dean_Heller,40,47,0.158348088775
Jeff_Flake,40,48,0.108521778963
Thad_Cochran,40,49,0.154783630101
Mike_Johanns,40,50,0.0906208760262
Robert_Portman,40,51,0.225866273677
Edward_Markey,40,52,0.155731664706
Cory_Booker,40,53,0.204728914256
Roger_Wicker,40,54,0.138535422356
Benjamin_Cardin,40,55,0.314197786976
Tom_Udall,40,56,0.290288240577
Mike_Lee,40,57,0.0841702045722
Ted_Cruz,40,58,0.0543755028308
Amy_Klobuchar,40,59,0.181045297075
Pat_Roberts,40,60,0.146358465724
Patrick_Leahy,40,61,0.0609380346982
Orrin_Hatch,40,62,0.113125933063
Charles_Grassley,40,63,0.151526346951
Ron_Wyden,40,64,0.0932133205139
Debbie_Stabenow,40,65,0.16575090305
Dianne_Feinstein,40,66,0.114457801618
John_Isakson,40,67,0.21077674333
Barbara_Boxer,40,68,0.190096517989
Chris_Coons,40,69,0.234004058295
John_McCain,40,70,0.0790853401276
Lisa_Murkowski,40,71,0.329855619861
John_Hoeven,40,72,0.244272803891
Jon_Tester,40,73,0.256369165329
Maria_Cantwell,40,74,0.121766903685
Heidi_Heitkamp,40,75,0.226016621244
Marco_Rubio,40,76,0.152586538442
Barbara_Mikulski,40,77,0.166566892171
Angus_King,40,78,0.287805327194
Mazie_Hirono,40,79,0.273639146591
John_Reed,40,80,0.216271949699
Tim_Scott,40,81,0.207298830811
Bill_Nelson,40,82,0.154001732082
Richard_Blumenthal,40,83,0.232159160041
Joe_Donnelly,40,84,0.185761654632
Elizabeth_Warren,40,85,0.195950749608
Timothy_Kaine,40,86,0.166788240791
John_Thune,40,87,0.149840694346
Sherrod_Brown,40,88,0.293776158455
Michael_Bennet,40,89,0.204584314646
Richard_Shelby,40,90,0.0548406671838
Lamar_Alexander,40,91,0.148361522959
Lindsey_Graham,40,92,0.152363874941
Jeff_Merkley,40,93,0.210393694359
Christopher_Murphy,40,94,0.260915826707
Kelly_Ayotte,40,95,0.120403393434
Joe_Manchin,40,96,0.225043104734
Patrick_Toomey,40,97,0.174199055318
Robert_MenÌ.ndez,40,98,0.160583724286
Ron_Johnson,40,99,0.0715294192242
Rand_Paul,40,100,0.0731718375927
