,source,target,value
Harry_Reid,46,0,0.192727637748
Thomas_Harkin,46,1,0.158427912091
Max_Baucus,46,2,0.0162429534752
Mitch_McConnell,46,3,0.264085738162
Mark_Pryor,46,4,0.172324148052
Susan_Collins,46,5,0.263155537594
Carl_Levin,46,6,0.0820145253876
James_Inhofe,46,7,0.252754178302
Jefferson_Sessions,46,8,0.316999372884
David_Vitter,46,9,0.256651054309
John_Rockefeller,46,10,0.116370251585
Bernard_Sanders,46,11,0.0727756713044
Thomas_Carper,46,12,0.258277664459
Saxby_Chambliss,46,13,0.242284606013
Richard_Burr,46,14,0.335221254156
Robert_Casey,46,15,0.211478682098
John_Boozman,46,16,0.226521672328
Patty_Murray,46,17,0.155248389725
Mary_Landrieu,46,18,0.193227978543
Jerry_Moran,46,19,0.240311310879
Claire_McCaskill,46,20,0.138531547221
Mark_Udall,46,21,0.18604742678
Kay_Hagan,46,22,0.227836190216
John_Cornyn,46,23,0.214940572608
Michael_Crapo,46,24,0.320764175942
Bob_Corker,46,25,0.451070270792
John_Barrasso,46,26,0.30125723226
Michael_Enzi,46,27,0.325389952172
Thomas_Coburn,46,28,0.163070468796
Sheldon_Whitehouse,46,29,0.256355587113
Jeanne_Shaheen,46,30,0.244475056508
Martin_Heinrich,46,31,0.23592285359
Daniel_Coats,46,32,0.347627234986
Charles_Schumer,46,33,0.192562750706
Richard_Durbin,46,34,0.300020277518
Roy_Blunt,46,35,0.167581009735
Mark_Warner,46,36,0.226048918463
James_Risch,46,37,0.302073886424
Tim_Johnson,46,38,0.252062682692
Alan_Franken,46,39,0.183564512408
Mark_Begich,46,40,0.190927232802
Brian_Schatz,46,41,0.160422685915
Deb_Fischer,46,42,0.231024151804
Kirsten_Gillibrand,46,43,0.272451534772
Tammy_Baldwin,46,44,0.148112843526
John_Walsh,46,45,0.273908508028
Mark_Kirk,46,46,1.0
Dean_Heller,46,47,0.18945007844
Jeff_Flake,46,48,0.211685801812
Thad_Cochran,46,49,0.342867451715
Mike_Johanns,46,50,0.141418794408
Robert_Portman,46,51,0.382916591459
Edward_Markey,46,52,0.221822746082
Cory_Booker,46,53,0.179820917438
Roger_Wicker,46,54,0.227489777727
Benjamin_Cardin,46,55,0.26871307232
Tom_Udall,46,56,0.188787259876
Mike_Lee,46,57,0.212542441667
Ted_Cruz,46,58,0.170881975099
Amy_Klobuchar,46,59,0.139510772187
Pat_Roberts,46,60,0.340136997125
Patrick_Leahy,46,61,0.177248137319
Orrin_Hatch,46,62,0.191339993217
Charles_Grassley,46,63,0.233164660582
Ron_Wyden,46,64,0.12819842955
Debbie_Stabenow,46,65,0.224591263843
Dianne_Feinstein,46,66,0.238281107705
John_Isakson,46,67,0.325239256944
Barbara_Boxer,46,68,0.128358736082
Chris_Coons,46,69,0.289871159759
John_McCain,46,70,0.241035905652
Lisa_Murkowski,46,71,0.382393814952
John_Hoeven,46,72,0.300183103933
Jon_Tester,46,73,0.191802332845
Maria_Cantwell,46,74,0.163135195145
Heidi_Heitkamp,46,75,0.143629949736
Marco_Rubio,46,76,0.291938741069
Barbara_Mikulski,46,77,0.180918620332
Angus_King,46,78,0.239094891115
Mazie_Hirono,46,79,0.269502043574
John_Reed,46,80,0.236701629108
Tim_Scott,46,81,0.34856115572
Bill_Nelson,46,82,0.236210577097
Richard_Blumenthal,46,83,0.154402182442
Joe_Donnelly,46,84,0.140762352611
Elizabeth_Warren,46,85,0.211634245244
Timothy_Kaine,46,86,0.204978104416
John_Thune,46,87,0.29311701551
Sherrod_Brown,46,88,0.197111684255
Michael_Bennet,46,89,0.265889744714
Richard_Shelby,46,90,0.0478280780657
Lamar_Alexander,46,91,0.321664535998
Lindsey_Graham,46,92,0.355506765261
Jeff_Merkley,46,93,0.145558322029
Christopher_Murphy,46,94,0.248744356961
Kelly_Ayotte,46,95,0.214226401373
Joe_Manchin,46,96,0.237051319399
Patrick_Toomey,46,97,0.245551951466
Robert_MenÌ.ndez,46,98,0.201887430157
Ron_Johnson,46,99,0.110871388053
Rand_Paul,46,100,0.120377030471
