,source,target,value
Harry_Reid,4,0,0.321163426537
Thomas_Harkin,4,1,0.222722702266
Max_Baucus,4,2,0.0972375227874
Mitch_McConnell,4,3,0.291825864536
Mark_Pryor,4,4,1.0
Susan_Collins,4,5,0.237675392622
Carl_Levin,4,6,0.128810179433
James_Inhofe,4,7,0.185492854259
Jefferson_Sessions,4,8,0.256207402962
David_Vitter,4,9,0.221797342685
John_Rockefeller,4,10,0.234810322307
Bernard_Sanders,4,11,0.111207191393
Thomas_Carper,4,12,0.274195627103
Saxby_Chambliss,4,13,0.185923807225
Richard_Burr,4,14,0.184557234608
Robert_Casey,4,15,0.369441653469
John_Boozman,4,16,0.327233291185
Patty_Murray,4,17,0.25196611212
Mary_Landrieu,4,18,0.289375204753
Jerry_Moran,4,19,0.152861713866
Claire_McCaskill,4,20,0.254619591813
Mark_Udall,4,21,0.351536866209
Kay_Hagan,4,22,0.287847033453
John_Cornyn,4,23,0.177186000138
Michael_Crapo,4,24,0.338274393075
Bob_Corker,4,25,0.225075508876
John_Barrasso,4,26,0.220690759454
Michael_Enzi,4,27,0.2310866066
Thomas_Coburn,4,28,0.184472998763
Sheldon_Whitehouse,4,29,0.241549339214
Jeanne_Shaheen,4,30,0.327502067179
Martin_Heinrich,4,31,0.16491579481
Daniel_Coats,4,32,0.258276652687
Charles_Schumer,4,33,0.292064231477
Richard_Durbin,4,34,0.211413843548
Roy_Blunt,4,35,0.193836908411
Mark_Warner,4,36,0.365144666635
James_Risch,4,37,0.278920233189
Tim_Johnson,4,38,0.306915624894
Alan_Franken,4,39,0.360373462945
Mark_Begich,4,40,0.259210160692
Brian_Schatz,4,41,0.307320306108
Deb_Fischer,4,42,0.230689343527
Kirsten_Gillibrand,4,43,0.184464050154
Tammy_Baldwin,4,44,0.144896220576
John_Walsh,4,45,0.304685137508
Mark_Kirk,4,46,0.172324148052
Dean_Heller,4,47,0.231038659431
Jeff_Flake,4,48,0.182516530285
Thad_Cochran,4,49,0.22220906615
Mike_Johanns,4,50,0.308355320981
Robert_Portman,4,51,0.220718394651
Edward_Markey,4,52,0.183461691209
Cory_Booker,4,53,0.233546955435
Roger_Wicker,4,54,0.244378457349
Benjamin_Cardin,4,55,0.240726258934
Tom_Udall,4,56,0.270720247913
Mike_Lee,4,57,0.113005207967
Ted_Cruz,4,58,0.116199730376
Amy_Klobuchar,4,59,0.147205773896
Pat_Roberts,4,60,0.267784327087
Patrick_Leahy,4,61,0.113970035138
Orrin_Hatch,4,62,0.185732851675
Charles_Grassley,4,63,0.221910079528
Ron_Wyden,4,64,0.134198486311
Debbie_Stabenow,4,65,0.223881877827
Dianne_Feinstein,4,66,0.17369140161
John_Isakson,4,67,0.228669521379
Barbara_Boxer,4,68,0.166318583849
Chris_Coons,4,69,0.292638326756
John_McCain,4,70,0.170945399642
Lisa_Murkowski,4,71,0.26169424627
John_Hoeven,4,72,0.199937850828
Jon_Tester,4,73,0.260395484846
Maria_Cantwell,4,74,0.234316843881
Heidi_Heitkamp,4,75,0.104722691234
Marco_Rubio,4,76,0.20804833356
Barbara_Mikulski,4,77,0.0770757189861
Angus_King,4,78,0.310540407698
Mazie_Hirono,4,79,0.21662695937
John_Reed,4,80,0.308827265992
Tim_Scott,4,81,0.225162185952
Bill_Nelson,4,82,0.369208924576
Richard_Blumenthal,4,83,0.201900201898
Joe_Donnelly,4,84,0.315577925594
Elizabeth_Warren,4,85,0.158811183402
Timothy_Kaine,4,86,0.329300216725
John_Thune,4,87,0.192784602693
Sherrod_Brown,4,88,0.22138634728
Michael_Bennet,4,89,0.248205203279
Richard_Shelby,4,90,0.0738879576522
Lamar_Alexander,4,91,0.274391268045
Lindsey_Graham,4,92,0.224737973306
Jeff_Merkley,4,93,0.210993727961
Christopher_Murphy,4,94,0.145362934292
Kelly_Ayotte,4,95,0.144286446018
Joe_Manchin,4,96,0.28245034779
Patrick_Toomey,4,97,0.205352360318
Robert_MenÌ.ndez,4,98,0.223021150938
Ron_Johnson,4,99,0.100387881114
Rand_Paul,4,100,0.13156168687
