,source,target,value
Harry_Reid,21,0,0.366786818449
Thomas_Harkin,21,1,0.178079558942
Max_Baucus,21,2,0.118209756076
Mitch_McConnell,21,3,0.368624632046
Mark_Pryor,21,4,0.351536866209
Susan_Collins,21,5,0.179333305041
Carl_Levin,21,6,0.0785703669147
James_Inhofe,21,7,0.206764154561
Jefferson_Sessions,21,8,0.199779159066
David_Vitter,21,9,0.273846860236
John_Rockefeller,21,10,0.197658198648
Bernard_Sanders,21,11,0.271035649608
Thomas_Carper,21,12,0.278127322674
Saxby_Chambliss,21,13,0.176601456955
Richard_Burr,21,14,0.285835360577
Robert_Casey,21,15,0.365533536507
John_Boozman,21,16,0.312133997399
Patty_Murray,21,17,0.24605021741
Mary_Landrieu,21,18,0.224605901256
Jerry_Moran,21,19,0.231484361676
Claire_McCaskill,21,20,0.206954206919
Mark_Udall,21,21,1.0
Kay_Hagan,21,22,0.279711555383
John_Cornyn,21,23,0.137933375661
Michael_Crapo,21,24,0.290966034784
Bob_Corker,21,25,0.269007485208
John_Barrasso,21,26,0.248449218005
Michael_Enzi,21,27,0.351227900804
Thomas_Coburn,21,28,0.245953478695
Sheldon_Whitehouse,21,29,0.276783301526
Jeanne_Shaheen,21,30,0.362090234245
Martin_Heinrich,21,31,0.233070510683
Daniel_Coats,21,32,0.246392281675
Charles_Schumer,21,33,0.31063875291
Richard_Durbin,21,34,0.291604526785
Roy_Blunt,21,35,0.185477013456
Mark_Warner,21,36,0.355727916174
James_Risch,21,37,0.261596134176
Tim_Johnson,21,38,0.359749461448
Alan_Franken,21,39,0.374051824319
Mark_Begich,21,40,0.182047883804
Brian_Schatz,21,41,0.255489984172
Deb_Fischer,21,42,0.265346891434
Kirsten_Gillibrand,21,43,0.110564351483
Tammy_Baldwin,21,44,0.212333976763
John_Walsh,21,45,0.278845091741
Mark_Kirk,21,46,0.18604742678
Dean_Heller,21,47,0.302679500617
Jeff_Flake,21,48,0.295397306261
Thad_Cochran,21,49,0.267983563585
Mike_Johanns,21,50,0.405099897237
Robert_Portman,21,51,0.226065217188
Edward_Markey,21,52,0.155233501262
Cory_Booker,21,53,0.205607788798
Roger_Wicker,21,54,0.193469706326
Benjamin_Cardin,21,55,0.242106449538
Tom_Udall,21,56,0.261441953914
Mike_Lee,21,57,0.261244150426
Ted_Cruz,21,58,0.135173934121
Amy_Klobuchar,21,59,0.235295330744
Pat_Roberts,21,60,0.322272408175
Patrick_Leahy,21,61,0.191870320007
Orrin_Hatch,21,62,0.213593166289
Charles_Grassley,21,63,0.323114462571
Ron_Wyden,21,64,0.122246669285
Debbie_Stabenow,21,65,0.28557929373
Dianne_Feinstein,21,66,0.180257949676
John_Isakson,21,67,0.256945499089
Barbara_Boxer,21,68,0.249194268841
Chris_Coons,21,69,0.22226578104
John_McCain,21,70,0.275958971335
Lisa_Murkowski,21,71,0.245115964949
John_Hoeven,21,72,0.262803739678
Jon_Tester,21,73,0.0636648894393
Maria_Cantwell,21,74,0.309999529172
Heidi_Heitkamp,21,75,0.055377452973
Marco_Rubio,21,76,0.1589320525
Barbara_Mikulski,21,77,0.106004521104
Angus_King,21,78,0.394885011316
Mazie_Hirono,21,79,0.33020321701
John_Reed,21,80,0.375354159381
Tim_Scott,21,81,0.277550909066
Bill_Nelson,21,82,0.254565548429
Richard_Blumenthal,21,83,0.198880709654
Joe_Donnelly,21,84,0.280125604924
Elizabeth_Warren,21,85,0.156949494966
Timothy_Kaine,21,86,0.331197688141
John_Thune,21,87,0.246628563304
Sherrod_Brown,21,88,0.19775637416
Michael_Bennet,21,89,0.375354395024
Richard_Shelby,21,90,0.0684047987941
Lamar_Alexander,21,91,0.348455206079
Lindsey_Graham,21,92,0.207158975177
Jeff_Merkley,21,93,0.234281942936
Christopher_Murphy,21,94,0.158624120929
Kelly_Ayotte,21,95,0.178735917857
Joe_Manchin,21,96,0.216995135961
Patrick_Toomey,21,97,0.191376522326
Robert_MenÌ.ndez,21,98,0.326710239682
Ron_Johnson,21,99,0.109948256495
Rand_Paul,21,100,0.136877344031
