,source,target,value
Harry_Reid,36,0,0.282724511878
Thomas_Harkin,36,1,0.193804296821
Max_Baucus,36,2,0.0972962126394
Mitch_McConnell,36,3,0.293932723474
Mark_Pryor,36,4,0.365144666635
Susan_Collins,36,5,0.202340984864
Carl_Levin,36,6,0.112107232642
James_Inhofe,36,7,0.18062423582
Jefferson_Sessions,36,8,0.304548815416
David_Vitter,36,9,0.216933189159
John_Rockefeller,36,10,0.215744836959
Bernard_Sanders,36,11,0.104608471691
Thomas_Carper,36,12,0.397243028729
Saxby_Chambliss,36,13,0.365850957785
Richard_Burr,36,14,0.262567786549
Robert_Casey,36,15,0.35765441952
John_Boozman,36,16,0.270225731055
Patty_Murray,36,17,0.272609219789
Mary_Landrieu,36,18,0.374782701111
Jerry_Moran,36,19,0.190496786786
Claire_McCaskill,36,20,0.260197808476
Mark_Udall,36,21,0.355727916174
Kay_Hagan,36,22,0.297934622472
John_Cornyn,36,23,0.281826147211
Michael_Crapo,36,24,0.302284520821
Bob_Corker,36,25,0.299513964348
John_Barrasso,36,26,0.325820728786
Michael_Enzi,36,27,0.295564018507
Thomas_Coburn,36,28,0.108905304945
Sheldon_Whitehouse,36,29,0.304245475095
Jeanne_Shaheen,36,30,0.359243668985
Martin_Heinrich,36,31,0.34330031516
Daniel_Coats,36,32,0.352521355423
Charles_Schumer,36,33,0.362026716424
Richard_Durbin,36,34,0.296270964416
Roy_Blunt,36,35,0.217498143142
Mark_Warner,36,36,1.0
James_Risch,36,37,0.305053541064
Tim_Johnson,36,38,0.212383054417
Alan_Franken,36,39,0.377069088382
Mark_Begich,36,40,0.224014323788
Brian_Schatz,36,41,0.292315132231
Deb_Fischer,36,42,0.23417541478
Kirsten_Gillibrand,36,43,0.239453004011
Tammy_Baldwin,36,44,0.18507990119
John_Walsh,36,45,0.265300604243
Mark_Kirk,36,46,0.226048918463
Dean_Heller,36,47,0.289275685903
Jeff_Flake,36,48,0.144318776288
Thad_Cochran,36,49,0.19190210863
Mike_Johanns,36,50,0.277584860311
Robert_Portman,36,51,0.344647999855
Edward_Markey,36,52,0.23919272486
Cory_Booker,36,53,0.347759551428
Roger_Wicker,36,54,0.173300363708
Benjamin_Cardin,36,55,0.321838580352
Tom_Udall,36,56,0.220639904326
Mike_Lee,36,57,0.123085161292
Ted_Cruz,36,58,0.0281961411307
Amy_Klobuchar,36,59,0.114092466276
Pat_Roberts,36,60,0.304633027128
Patrick_Leahy,36,61,0.0952370787817
Orrin_Hatch,36,62,0.313526208866
Charles_Grassley,36,63,0.231586244943
Ron_Wyden,36,64,0.14799249002
Debbie_Stabenow,36,65,0.260569255278
Dianne_Feinstein,36,66,0.344355258015
John_Isakson,36,67,0.134469706401
Barbara_Boxer,36,68,0.265508951447
Chris_Coons,36,69,0.342789463762
John_McCain,36,70,0.174567726325
Lisa_Murkowski,36,71,0.340452877797
John_Hoeven,36,72,0.374674913572
Jon_Tester,36,73,0.245696358455
Maria_Cantwell,36,74,0.17634765006
Heidi_Heitkamp,36,75,0.29871854631
Marco_Rubio,36,76,0.190315941663
Barbara_Mikulski,36,77,0.203948145737
Angus_King,36,78,0.281378056448
Mazie_Hirono,36,79,0.279872097888
John_Reed,36,80,0.326454941814
Tim_Scott,36,81,0.234605699473
Bill_Nelson,36,82,0.359520334047
Richard_Blumenthal,36,83,0.204148177218
Joe_Donnelly,36,84,0.242386174071
Elizabeth_Warren,36,85,0.213666177803
Timothy_Kaine,36,86,0.307895044494
John_Thune,36,87,0.218809434778
Sherrod_Brown,36,88,0.24042988785
Michael_Bennet,36,89,0.269783692549
Richard_Shelby,36,90,0.0497686817075
Lamar_Alexander,36,91,0.26812121111
Lindsey_Graham,36,92,0.193012730188
Jeff_Merkley,36,93,0.12830341522
Christopher_Murphy,36,94,0.264136630638
Kelly_Ayotte,36,95,0.211789167764
Joe_Manchin,36,96,0.26847560558
Patrick_Toomey,36,97,0.220902838186
Robert_MenÌ.ndez,36,98,0.391929921782
Ron_Johnson,36,99,0.0812595850549
Rand_Paul,36,100,0.00644292848527
