,source,target,value
Harry_Reid,31,0,0.177673928762
Thomas_Harkin,31,1,0.215193003365
Max_Baucus,31,2,0.0307950404727
Mitch_McConnell,31,3,0.182016014306
Mark_Pryor,31,4,0.16491579481
Susan_Collins,31,5,0.137913962878
Carl_Levin,31,6,0.106928256906
James_Inhofe,31,7,0.15397964862
Jefferson_Sessions,31,8,0.207001594061
David_Vitter,31,9,0.161223766289
John_Rockefeller,31,10,0.170313807165
Bernard_Sanders,31,11,0.214504409185
Thomas_Carper,31,12,0.17809215527
Saxby_Chambliss,31,13,0.247777885448
Richard_Burr,31,14,0.200954779584
Robert_Casey,31,15,0.291576129539
John_Boozman,31,16,0.161462748572
Patty_Murray,31,17,0.137330327753
Mary_Landrieu,31,18,0.21701999179
Jerry_Moran,31,19,0.132889013266
Claire_McCaskill,31,20,0.147647853682
Mark_Udall,31,21,0.233070510683
Kay_Hagan,31,22,0.252293420553
John_Cornyn,31,23,0.206572996441
Michael_Crapo,31,24,0.234713326256
Bob_Corker,31,25,0.296811582449
John_Barrasso,31,26,0.276234321759
Michael_Enzi,31,27,0.32164360116
Thomas_Coburn,31,28,0.256756404535
Sheldon_Whitehouse,31,29,0.340723528915
Jeanne_Shaheen,31,30,0.237225274562
Martin_Heinrich,31,31,1.0
Daniel_Coats,31,32,0.238898456091
Charles_Schumer,31,33,0.173943004939
Richard_Durbin,31,34,0.234153232227
Roy_Blunt,31,35,0.128280363722
Mark_Warner,31,36,0.34330031516
James_Risch,31,37,0.238653627179
Tim_Johnson,31,38,0.204162093095
Alan_Franken,31,39,0.224670711633
Mark_Begich,31,40,0.248744726844
Brian_Schatz,31,41,0.318980876802
Deb_Fischer,31,42,0.184971066888
Kirsten_Gillibrand,31,43,0.274635777487
Tammy_Baldwin,31,44,0.191149389575
John_Walsh,31,45,0.293617787333
Mark_Kirk,31,46,0.23592285359
Dean_Heller,31,47,0.148892554198
Jeff_Flake,31,48,0.0590466107623
Thad_Cochran,31,49,0.260518102688
Mike_Johanns,31,50,0.130114588125
Robert_Portman,31,51,0.258851129011
Edward_Markey,31,52,0.256728338569
Cory_Booker,31,53,0.341965407169
Roger_Wicker,31,54,0.236479671069
Benjamin_Cardin,31,55,0.204816647019
Tom_Udall,31,56,0.29919452366
Mike_Lee,31,57,0.276043244861
Ted_Cruz,31,58,0.120753631242
Amy_Klobuchar,31,59,0.293260607444
Pat_Roberts,31,60,0.31147621036
Patrick_Leahy,31,61,0.184944312469
Orrin_Hatch,31,62,0.160109811395
Charles_Grassley,31,63,0.283267659854
Ron_Wyden,31,64,0.171955042078
Debbie_Stabenow,31,65,0.286735326894
Dianne_Feinstein,31,66,0.168903785714
John_Isakson,31,67,0.183506422867
Barbara_Boxer,31,68,0.301985985529
Chris_Coons,31,69,0.221074026652
John_McCain,31,70,0.143678912997
Lisa_Murkowski,31,71,0.270705999627
John_Hoeven,31,72,0.327001737775
Jon_Tester,31,73,0.292243302014
Maria_Cantwell,31,74,0.277009200966
Heidi_Heitkamp,31,75,0.298990952352
Marco_Rubio,31,76,0.125615336553
Barbara_Mikulski,31,77,0.246047154034
Angus_King,31,78,0.256006869267
Mazie_Hirono,31,79,0.285348102511
John_Reed,31,80,0.219372393312
Tim_Scott,31,81,0.195810081255
Bill_Nelson,31,82,0.216465166884
Richard_Blumenthal,31,83,0.213126960022
Joe_Donnelly,31,84,0.125894694739
Elizabeth_Warren,31,85,0.310013182129
Timothy_Kaine,31,86,0.194559409996
John_Thune,31,87,0.179523261075
Sherrod_Brown,31,88,0.220309941831
Michael_Bennet,31,89,0.296245915737
Richard_Shelby,31,90,0.0722299392232
Lamar_Alexander,31,91,0.25318639329
Lindsey_Graham,31,92,0.115788246143
Jeff_Merkley,31,93,0.20451287624
Christopher_Murphy,31,94,0.29091259296
Kelly_Ayotte,31,95,0.166488576874
Joe_Manchin,31,96,0.265942153994
Patrick_Toomey,31,97,0.29214473134
Robert_MenÌ.ndez,31,98,0.219671773654
Ron_Johnson,31,99,0.119432551566
Rand_Paul,31,100,0.123568465736
