,source,target,value
Harry_Reid,18,0,0.156145286944
Thomas_Harkin,18,1,0.114944352023
Max_Baucus,18,2,0.079936832999
Mitch_McConnell,18,3,0.266436502371
Mark_Pryor,18,4,0.289375204753
Susan_Collins,18,5,0.291625813073
Carl_Levin,18,6,0.0812355914741
James_Inhofe,18,7,0.133541924899
Jefferson_Sessions,18,8,0.170993822698
David_Vitter,18,9,0.273921901258
John_Rockefeller,18,10,0.127755983504
Bernard_Sanders,18,11,0.123542848111
Thomas_Carper,18,12,0.131075063104
Saxby_Chambliss,18,13,0.317405896289
Richard_Burr,18,14,0.185128808799
Robert_Casey,18,15,0.240316308364
John_Boozman,18,16,0.240378399517
Patty_Murray,18,17,0.20469511866
Mary_Landrieu,18,18,1.0
Jerry_Moran,18,19,0.131101887205
Claire_McCaskill,18,20,0.266482005091
Mark_Udall,18,21,0.224605901256
Kay_Hagan,18,22,0.211030330779
John_Cornyn,18,23,0.179947920476
Michael_Crapo,18,24,0.241519332233
Bob_Corker,18,25,0.199142278452
John_Barrasso,18,26,0.180622472477
Michael_Enzi,18,27,0.161353169492
Thomas_Coburn,18,28,0.125744147719
Sheldon_Whitehouse,18,29,0.229770295092
Jeanne_Shaheen,18,30,0.338567470685
Martin_Heinrich,18,31,0.21701999179
Daniel_Coats,18,32,0.200365700056
Charles_Schumer,18,33,0.306876783525
Richard_Durbin,18,34,0.177420639491
Roy_Blunt,18,35,0.227115656825
Mark_Warner,18,36,0.374782701111
James_Risch,18,37,0.264273281258
Tim_Johnson,18,38,0.178861286063
Alan_Franken,18,39,0.316458636764
Mark_Begich,18,40,0.25118960498
Brian_Schatz,18,41,0.231396827209
Deb_Fischer,18,42,0.129528006125
Kirsten_Gillibrand,18,43,0.223450676502
Tammy_Baldwin,18,44,0.130264900769
John_Walsh,18,45,0.168867118227
Mark_Kirk,18,46,0.193227978543
Dean_Heller,18,47,0.16673381992
Jeff_Flake,18,48,0.156481739147
Thad_Cochran,18,49,0.172425161362
Mike_Johanns,18,50,0.210711772522
Robert_Portman,18,51,0.159081197763
Edward_Markey,18,52,0.244406916482
Cory_Booker,18,53,0.154227634625
Roger_Wicker,18,54,0.137802944081
Benjamin_Cardin,18,55,0.252463294734
Tom_Udall,18,56,0.223517739829
Mike_Lee,18,57,0.060363248296
Ted_Cruz,18,58,0.0643694731028
Amy_Klobuchar,18,59,0.140737832752
Pat_Roberts,18,60,0.219507553127
Patrick_Leahy,18,61,0.120205484178
Orrin_Hatch,18,62,0.147488034167
Charles_Grassley,18,63,0.103747575751
Ron_Wyden,18,64,0.202282938951
Debbie_Stabenow,18,65,0.205572328504
Dianne_Feinstein,18,66,0.224297108697
John_Isakson,18,67,0.108638967273
Barbara_Boxer,18,68,0.104416750273
Chris_Coons,18,69,0.175824247678
John_McCain,18,70,0.168506789022
Lisa_Murkowski,18,71,0.31109422751
John_Hoeven,18,72,0.227862774744
Jon_Tester,18,73,0.158655263488
Maria_Cantwell,18,74,0.153847957546
Heidi_Heitkamp,18,75,0.191855418281
Marco_Rubio,18,76,0.151416922614
Barbara_Mikulski,18,77,0.259793009398
Angus_King,18,78,0.278765297124
Mazie_Hirono,18,79,0.266779834005
John_Reed,18,80,0.306679008544
Tim_Scott,18,81,0.166117580886
Bill_Nelson,18,82,0.318285508459
Richard_Blumenthal,18,83,0.237503436889
Joe_Donnelly,18,84,0.105298105956
Elizabeth_Warren,18,85,0.232161780271
Timothy_Kaine,18,86,0.184010633049
John_Thune,18,87,0.129876506971
Sherrod_Brown,18,88,0.187235469355
Michael_Bennet,18,89,0.260816438066
Richard_Shelby,18,90,0.0488012211537
Lamar_Alexander,18,91,0.216732191432
Lindsey_Graham,18,92,0.095924653277
Jeff_Merkley,18,93,0.218350493872
Christopher_Murphy,18,94,0.259507252109
Kelly_Ayotte,18,95,0.196314611197
Joe_Manchin,18,96,0.260194969344
Patrick_Toomey,18,97,0.109294071052
Robert_MenÌ.ndez,18,98,0.280146566402
Ron_Johnson,18,99,0.0614832155926
Rand_Paul,18,100,0.145673942619
