,source,target,value
Harry_Reid,2,0,0.190733618047
Thomas_Harkin,2,1,0.0199842065759
Max_Baucus,2,2,1.0
Mitch_McConnell,2,3,0.0404780812449
Mark_Pryor,2,4,0.0972375227874
Susan_Collins,2,5,0.0278716870383
Carl_Levin,2,6,0.0414109607989
James_Inhofe,2,7,0.0550823665216
Jefferson_Sessions,2,8,0.0300161385486
David_Vitter,2,9,0.176382995683
John_Rockefeller,2,10,0.175342108284
Bernard_Sanders,2,11,0.0316373931245
Thomas_Carper,2,12,0.0785316149441
Saxby_Chambliss,2,13,0.174766742877
Richard_Burr,2,14,0.106267908941
Robert_Casey,2,15,0.0389595212246
John_Boozman,2,16,0.0212554039276
Patty_Murray,2,17,0.109808944909
Mary_Landrieu,2,18,0.079936832999
Jerry_Moran,2,19,0.0379072633181
Claire_McCaskill,2,20,0.0652039765738
Mark_Udall,2,21,0.118209756076
Kay_Hagan,2,22,0.0820832131088
John_Cornyn,2,23,0.0211174394718
Michael_Crapo,2,24,0.0579635962072
Bob_Corker,2,25,0.0
John_Barrasso,2,26,0.0276944827315
Michael_Enzi,2,27,0.0135230756368
Thomas_Coburn,2,28,0.019335279514
Sheldon_Whitehouse,2,29,0.0600569678588
Jeanne_Shaheen,2,30,0.0806583891829
Martin_Heinrich,2,31,0.0307950404727
Daniel_Coats,2,32,0.0789880948421
Charles_Schumer,2,33,0.027606938766
Richard_Durbin,2,34,0.00960819143088
Roy_Blunt,2,35,0.10331071816
Mark_Warner,2,36,0.0972962126394
James_Risch,2,37,0.129466263728
Tim_Johnson,2,38,0.10762033874
Alan_Franken,2,39,0.0208275332173
Mark_Begich,2,40,0.0540917815895
Brian_Schatz,2,41,0.0418051333692
Deb_Fischer,2,42,0.0274509983564
Kirsten_Gillibrand,2,43,0.0308009062998
Tammy_Baldwin,2,44,0.0396787113382
John_Walsh,2,45,0.157514841684
Mark_Kirk,2,46,0.0162429534752
Dean_Heller,2,47,0.0130371205415
Jeff_Flake,2,48,0.160467995334
Thad_Cochran,2,49,0.0416177500139
Mike_Johanns,2,50,0.108855590144
Robert_Portman,2,51,0.0444958205834
Edward_Markey,2,52,0.0750936222539
Cory_Booker,2,53,0.0268318265416
Roger_Wicker,2,54,0.090572348211
Benjamin_Cardin,2,55,0.0121820314674
Tom_Udall,2,56,0.13054868848
Mike_Lee,2,57,0.054075575394
Ted_Cruz,2,58,0.0693423681194
Amy_Klobuchar,2,59,0.0493844990684
Pat_Roberts,2,60,0.0621048446967
Patrick_Leahy,2,61,0.0349759819558
Orrin_Hatch,2,62,0.0621849184926
Charles_Grassley,2,63,0.0750647272986
Ron_Wyden,2,64,0.00368770501181
Debbie_Stabenow,2,65,0.0262152881023
Dianne_Feinstein,2,66,0.0723270329274
John_Isakson,2,67,0.1058073044
Barbara_Boxer,2,68,0.0643011642932
Chris_Coons,2,69,0.0313639664957
John_McCain,2,70,0.11046972354
Lisa_Murkowski,2,71,0.0579884304258
John_Hoeven,2,72,0.0432128272877
Jon_Tester,2,73,0.0621835790357
Maria_Cantwell,2,74,0.0846486466782
Heidi_Heitkamp,2,75,0.0392947217111
Marco_Rubio,2,76,0.0636486708677
Barbara_Mikulski,2,77,0.0863276687066
Angus_King,2,78,0.0281789890191
Mazie_Hirono,2,79,0.0358194919703
John_Reed,2,80,0.0407424276802
Tim_Scott,2,81,0.0128641468875
Bill_Nelson,2,82,0.0885086725422
Richard_Blumenthal,2,83,0.03023704024
Joe_Donnelly,2,84,0.0478205739284
Elizabeth_Warren,2,85,0.0372070761138
Timothy_Kaine,2,86,0.166285922611
John_Thune,2,87,0.0923467437766
Sherrod_Brown,2,88,0.0440379866694
Michael_Bennet,2,89,0.0598230268787
Richard_Shelby,2,90,0.0552126226319
Lamar_Alexander,2,91,0.0295843515336
Lindsey_Graham,2,92,0.105751859943
Jeff_Merkley,2,93,0.05414014666
Christopher_Murphy,2,94,0.1141163
Kelly_Ayotte,2,95,0.0412044328954
Joe_Manchin,2,96,0.00843197876631
Patrick_Toomey,2,97,0.0123201636997
Robert_MenÌ.ndez,2,98,0.0734041315282
Ron_Johnson,2,99,0.0
Rand_Paul,2,100,0.0
