,source,target,value
Harry_Reid,79,0,0.35779482125
Thomas_Harkin,79,1,0.191768343136
Max_Baucus,79,2,0.0358194919703
Mitch_McConnell,79,3,0.280863273962
Mark_Pryor,79,4,0.21662695937
Susan_Collins,79,5,0.305422087881
Carl_Levin,79,6,0.245657673361
James_Inhofe,79,7,0.193902137329
Jefferson_Sessions,79,8,0.265801534327
David_Vitter,79,9,0.232524752107
John_Rockefeller,79,10,0.193273293501
Bernard_Sanders,79,11,0.194092334927
Thomas_Carper,79,12,0.225987430713
Saxby_Chambliss,79,13,0.201580870581
Richard_Burr,79,14,0.252028397527
Robert_Casey,79,15,0.284828209117
John_Boozman,79,16,0.176951775551
Patty_Murray,79,17,0.20470665442
Mary_Landrieu,79,18,0.266779834005
Jerry_Moran,79,19,0.2481060764
Claire_McCaskill,79,20,0.228907106987
Mark_Udall,79,21,0.33020321701
Kay_Hagan,79,22,0.257810589039
John_Cornyn,79,23,0.214393250355
Michael_Crapo,79,24,0.276034444022
Bob_Corker,79,25,0.354116834523
John_Barrasso,79,26,0.314231914386
Michael_Enzi,79,27,0.299610804164
Thomas_Coburn,79,28,0.193569585713
Sheldon_Whitehouse,79,29,0.326581269637
Jeanne_Shaheen,79,30,0.330053743038
Martin_Heinrich,79,31,0.285348102511
Daniel_Coats,79,32,0.330157720769
Charles_Schumer,79,33,0.216193474276
Richard_Durbin,79,34,0.38365101127
Roy_Blunt,79,35,0.175722472141
Mark_Warner,79,36,0.279872097888
James_Risch,79,37,0.302492574896
Tim_Johnson,79,38,0.254821169352
Alan_Franken,79,39,0.271685775787
Mark_Begich,79,40,0.273639146591
Brian_Schatz,79,41,0.467330428116
Deb_Fischer,79,42,0.212136164279
Kirsten_Gillibrand,79,43,0.295977377863
Tammy_Baldwin,79,44,0.287266604449
John_Walsh,79,45,0.330767344468
Mark_Kirk,79,46,0.269502043574
Dean_Heller,79,47,0.192110423994
Jeff_Flake,79,48,0.201769579843
Thad_Cochran,79,49,0.224359081078
Mike_Johanns,79,50,0.147110233939
Robert_Portman,79,51,0.231364276959
Edward_Markey,79,52,0.271190764386
Cory_Booker,79,53,0.3933654475
Roger_Wicker,79,54,0.240350403291
Benjamin_Cardin,79,55,0.424332528272
Tom_Udall,79,56,0.244829543191
Mike_Lee,79,57,0.151786983622
Ted_Cruz,79,58,0.118164106917
Amy_Klobuchar,79,59,0.181356336719
Pat_Roberts,79,60,0.273656921125
Patrick_Leahy,79,61,0.18490736811
Orrin_Hatch,79,62,0.205375933996
Charles_Grassley,79,63,0.207742089501
Ron_Wyden,79,64,0.265570302933
Debbie_Stabenow,79,65,0.277396579345
Dianne_Feinstein,79,66,0.349151483164
John_Isakson,79,67,0.201122054889
Barbara_Boxer,79,68,0.23305916807
Chris_Coons,79,69,0.291363457808
John_McCain,79,70,0.199526233511
Lisa_Murkowski,79,71,0.216022449921
John_Hoeven,79,72,0.266639696128
Jon_Tester,79,73,0.216631024473
Maria_Cantwell,79,74,0.30295298114
Heidi_Heitkamp,79,75,0.251437584818
Marco_Rubio,79,76,0.215480154246
Barbara_Mikulski,79,77,0.263698701579
Angus_King,79,78,0.363985568033
Mazie_Hirono,79,79,1.0
John_Reed,79,80,0.445628351557
Tim_Scott,79,81,0.255663897742
Bill_Nelson,79,82,0.215282241453
Richard_Blumenthal,79,83,0.304010378271
Joe_Donnelly,79,84,0.101036111753
Elizabeth_Warren,79,85,0.26689212635
Timothy_Kaine,79,86,0.414012194717
John_Thune,79,87,0.276576998881
Sherrod_Brown,79,88,0.232508696909
Michael_Bennet,79,89,0.388026757024
Richard_Shelby,79,90,0.033394853955
Lamar_Alexander,79,91,0.321973253517
Lindsey_Graham,79,92,0.165127272883
Jeff_Merkley,79,93,0.231831035618
Christopher_Murphy,79,94,0.337743687074
Kelly_Ayotte,79,95,0.230439272574
Joe_Manchin,79,96,0.342694301088
Patrick_Toomey,79,97,0.225457379301
Robert_MenÌ.ndez,79,98,0.308849766315
Ron_Johnson,79,99,0.123637751966
Rand_Paul,79,100,0.129206442674
